date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-07-15,3.1.0,2025-07-15T12:29:34.563+00:00,589,4.333333492279053,3,0,497,4.403204729309272,228
2025-07-15,3.1.0,2025-07-15T12:29:34.563+00:00,589,5,1,0,497,4.403204729309272,228
2025-07-15,3.1.0,2025-07-15T12:29:34.563+00:00,589,5,1,0,497,4.403204729309272,228
2025-07-16,3.1.0,2025-07-15T13:10:20.923+00:00,599,5,6,0,595,4.457579009800322,240
2025-07-16,3.1.0,2025-07-15T13:10:20.923+00:00,599,5,1,0,595,4.457579009800322,240
2025-07-16,3.1.0,2025-07-15T13:10:20.923+00:00,599,5,1,0,595,4.457579009800322,240
2025-07-17,3.1.0,2025-07-15T13:10:20.923+00:00,603,5,6,0.16666666666666669,635,4.457495677945172,249
2025-07-17,3.1.0,2025-07-15T13:10:20.923+00:00,603,5,1,0.16666666666666669,635,4.457495677945172,249
2025-07-17,3.1.0,2025-07-15T13:10:20.923+00:00,603,3.6666667461395264,3,0.16666666666666669,635,4.457495677945172,249
2025-07-18,3.1.0,2025-07-15T13:10:20.923+00:00,605,4.333333492279053,3,0,655,4.4576272381718045,251
2025-07-18,3.1.0,2025-07-15T13:10:20.923+00:00,605,5,1,0,655,4.4576272381718045,251
2025-07-18,3.1.0,2025-07-15T13:10:20.923+00:00,605,3.6666667461395264,3,0,655,4.4576272381718045,251
2025-07-19,3.1.0,2025-07-15T13:10:20.923+00:00,605,4.333333492279053,3,0,656,4.457726522958932,256
2025-07-19,3.1.0,2025-07-15T13:10:20.923+00:00,605,5,1,0,656,4.457726522958932,256
2025-07-19,3.1.0,2025-07-15T13:10:20.923+00:00,605,3.6666667461395264,3,0,656,4.457726522958932,256
2025-07-20,3.1.0,2025-07-15T13:10:20.923+00:00,605,4.333333492279053,3,0,656,4.4577909951304076,257
2025-07-20,3.1.0,2025-07-15T13:10:20.923+00:00,605,5,1,0,656,4.4577909951304076,257
2025-07-20,3.1.0,2025-07-15T13:10:20.923+00:00,605,3.6666667461395264,3,0,656,4.4577909951304076,257
2025-07-21,3.1.0,2025-07-15T13:10:20.923+00:00,607,4.333333492279053,3,0,673,4.457829882271712,257
2025-07-21,3.1.0,2025-07-15T13:10:20.923+00:00,607,5,1,0,673,4.457829882271712,257
2025-07-21,3.1.0,2025-07-15T13:10:20.923+00:00,607,5,2,0,673,4.457829882271712,257
2025-07-22,3.1.0,2025-07-15T13:10:20.923+00:00,609,4.5,4,0,681,4.457674975355584,260
2025-07-22,3.1.0,2025-07-15T13:10:20.923+00:00,609,5,1,0,681,4.457674975355584,260
2025-07-22,3.1.0,2025-07-15T13:10:20.923+00:00,609,5,2,0,681,4.457674975355584,260
2025-07-23,3.1.0,2025-07-15T13:10:20.923+00:00,609,5,1,0,696,4.4577087116253535,260
2025-07-23,3.1.0,2025-07-15T13:10:20.923+00:00,609,5,1,0,696,4.4577087116253535,260
2025-07-23,3.1.0,2025-07-15T13:10:20.923+00:00,609,5,2,0,696,4.4577087116253535,260
2025-07-24,3.1.0,2025-07-15T13:10:20.923+00:00,611,5,1,0,705,4.457541628268531,262
2025-07-24,3.1.0,2025-07-15T13:10:20.923+00:00,611,5,1,0,705,4.457541628268531,262
2025-07-24,3.1.0,2025-07-15T13:10:20.923+00:00,611,5,2,0,705,4.457541628268531,262
2025-07-25,3.1.0,2025-07-15T13:10:20.923+00:00,614,5,1,0,709,4.457681971042226,264
2025-07-25,3.1.0,2025-07-15T13:10:20.923+00:00,614,5,1,0,709,4.457681971042226,264
2025-07-25,3.1.0,2025-07-15T13:10:20.923+00:00,614,5,2,0,709,4.457681971042226,264
2025-07-26,3.1.0,2025-07-15T13:10:20.923+00:00,615,5,1,0,709,4.457387980522629,264
2025-07-26,3.1.0,2025-07-15T13:10:20.923+00:00,615,5,1,0,709,4.457387980522629,264
2025-07-26,3.1.0,2025-07-15T13:10:20.923+00:00,615,5,2,0,709,4.457387980522629,264
2025-07-27,3.1.0,2025-07-15T13:10:20.923+00:00,615,5,1,0,709,4.457345339102096,264
2025-07-27,3.1.0,2025-07-15T13:10:20.923+00:00,615,5,1,0,709,4.457345339102096,264
2025-07-27,3.1.0,2025-07-15T13:10:20.923+00:00,615,5,1,0,709,4.457345339102096,264
2025-07-28,3.1.0,2025-07-15T13:10:20.923+00:00,621,5,1,0,715,4.457094307561597,265
2025-07-28,3.1.0,2025-07-15T13:10:20.923+00:00,621,5,1,0,715,4.457094307561597,265
2025-07-28,3.1.0,2025-07-15T13:10:20.923+00:00,621,4.5,4,0,715,4.457094307561597,265
2025-07-30,3.1.0,2025-07-15T13:10:20.923+00:00,633,5,1,0,729,4.457146665170178,266
2025-07-30,3.1.0,2025-07-15T13:10:20.923+00:00,633,5,1,0,729,4.457146665170178,266
2025-07-30,3.1.0,2025-07-15T13:10:20.923+00:00,633,4.5,4,0,729,4.457146665170178,266
2025-07-31,3.1.0,2025-07-15T13:10:20.923+00:00,635,5,1,0,732,4.457257046697518,266
2025-07-31,3.1.0,2025-07-15T13:10:20.923+00:00,635,5,1,0,732,4.457257046697518,266
2025-07-31,3.1.0,2025-07-15T13:10:20.923+00:00,635,4.5,4,0,732,4.457257046697518,266
2025-08-01,3.1.0,2025-07-15T13:10:20.923+00:00,637,4.5,4,0,738,4.457290622788146,267
2025-08-01,3.1.0,2025-07-15T13:10:20.923+00:00,637,5,1,0,738,4.457290622788146,267
2025-08-01,3.1.0,2025-07-15T13:10:20.923+00:00,637,4.5,4,0,738,4.457290622788146,267
2025-08-02,3.1.0,2025-07-15T13:10:20.923+00:00,637,4.5,4,0,739,4.457275942983224,268
2025-08-02,3.1.0,2025-07-15T13:10:20.923+00:00,637,5,6,0,739,4.457275942983224,268
2025-08-02,3.1.0,2025-07-15T13:10:20.923+00:00,637,4.5,4,0,739,4.457275942983224,268
