date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-08-29,0.1.0,2025-07-07T00:17:39.767+00:00,168,5,1,0,11,4.505162985654945,109
2025-08-30,0.1.0,2025-07-07T00:17:39.767+00:00,173,5,1,0,11,4.505064698638318,109
2025-08-31,0.1.0,2025-07-07T00:17:39.767+00:00,177,5,1,0,11,4.50511768247531,111
2025-09-01,0.1.0,2025-07-07T00:17:39.767+00:00,178,5,1,0,11,4.5049876095953305,112
2025-09-02,0.1.0,2025-07-07T00:17:39.767+00:00,182,5,1,0,11,4.504922670690306,112
2025-09-03,0.1.0,2025-07-07T00:17:39.767+00:00,189,5,1,0,11,4.505083463315984,113
2025-09-04,0.1.0,2025-07-07T00:17:39.767+00:00,192,5,1,0,11,4.505082543828735,115
2025-09-05,0.1.0,2025-07-07T00:17:39.767+00:00,193,5,1,0,11,4.505061598851102,116
2025-09-06,0.1.0,2025-07-07T00:17:39.767+00:00,195,5,1,0,11,4.50515087277021,116
2025-09-07,0.1.0,2025-07-07T00:17:39.767+00:00,195,5,1,0,11,4.5051488940028825,117
2025-09-08,0.1.0,2025-07-07T00:17:39.767+00:00,198,5,1,0,11,4.505089335515926,119
2025-09-09,0.1.0,2025-07-07T00:17:39.767+00:00,201,5,1,0,11,4.505177333876885,119
2025-09-10,0.1.0,2025-07-07T00:17:39.767+00:00,205,5,1,0,11,4.5051922528390485,120
2025-09-11,0.1.0,2025-07-07T00:17:39.767+00:00,210,5,1,0,11,4.505127997859445,121
2025-09-12,0.1.0,2025-07-07T00:17:39.767+00:00,212,5,1,0,11,4.50480846595566,123
2025-09-13,0.1.0,2025-07-07T00:17:39.767+00:00,218,5,1,0,11,4.504753512642761,125
2025-09-14,0.1.0,2025-07-07T00:17:39.767+00:00,218,5,1,0,11,4.503857207684161,125
2025-09-15,0.1.0,2025-07-07T00:17:39.767+00:00,221,5,1,0,11,4.504661042392218,125
2025-09-16,0.1.0,2025-07-07T00:17:39.767+00:00,225,5,1,0,11,4.504608467778233,125
2025-09-17,0.1.0,2025-07-07T00:17:39.767+00:00,231,5,1,0.43478260869565216,11,4.50459859820705,125
2025-09-18,0.1.0,2025-07-07T00:17:39.767+00:00,233,5,1,0,11,4.504572280506489,125
2025-09-19,0.1.0,2025-07-07T00:17:39.767+00:00,237,5,1,0,11,4.504527285464361,127
2025-09-20,0.1.0,2025-07-07T00:17:39.767+00:00,243,5,1,0,11,4.504538525974649,127
2025-09-21,0.1.0,2025-07-07T00:17:39.767+00:00,244,5,1,0,11,4.5046592445739915,129
2025-09-22,0.1.0,2025-07-07T00:17:39.767+00:00,246,5,1,0,11,4.50467784157976,130
2025-09-23,0.1.0,2025-07-07T00:17:39.767+00:00,250,5,1,0.4048582995951417,11,4.504754800486738,131
2025-09-24,0.1.0,2025-07-07T00:17:39.767+00:00,254,5,1,0,11,4.504736374546077,131
2025-09-25,0.1.0,2025-07-07T00:17:39.767+00:00,260,5,1,0,11,4.504487972358701,132
2025-09-26,0.1.0,2025-07-07T00:17:39.767+00:00,265,5,1,0,11,4.50421885743326,133
2025-09-27,0.1.0,2025-07-07T00:17:39.767+00:00,270,5,1,0,11,4.504082430484139,133
2025-09-28,0.1.0,2025-07-07T00:17:39.767+00:00,272,5,1,0,11,4.504095458217115,135
2025-09-29,0.1.0,2025-07-07T00:17:39.767+00:00,276,5,1,0,11,4.5040502140680765,137
2025-09-30,0.1.0,2025-07-07T00:17:39.767+00:00,281,5,1,0,11,4.503942252852745,137
2025-10-01,0.1.0,2025-07-07T00:17:39.767+00:00,285,5,1,0,11,4.503485744656382,137
2025-10-02,0.1.0,2025-07-07T00:17:39.767+00:00,289,5,1,0,11,4.503283812080204,138
2025-10-03,0.1.0,2025-07-07T00:17:39.767+00:00,293,5,1,0,11,4.503087268827434,139
2025-10-04,0.1.0,2025-07-07T00:17:39.767+00:00,295,5,1,0,11,4.502843430688195,139
2025-10-05,0.1.0,2025-07-07T00:17:39.767+00:00,296,5,1,0,11,4.502744056612261,140
2025-10-06,0.1.0,2025-07-07T00:17:39.767+00:00,297,5,1,0,11,4.502731484554257,141
