date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.0.5,2019-10-16T17:14:10.95+00:00,17195,5,1,0,2593,4.457458844826611,90
2024-11-26,0.0.5,2019-10-16T17:14:10.95+00:00,17196,5,1,0,2594,4.457458844826611,90
2024-11-27,0.0.5,2019-10-16T17:14:10.95+00:00,17200,5,1,0,2594,4.457458844826611,90
2024-11-28,0.0.5,2019-10-16T17:14:10.95+00:00,17206,5,1,0,2594,4.457458844826611,90
2024-11-29,0.0.5,2019-10-16T17:14:10.95+00:00,17211,5,1,0,2594,4.457458844826611,90
2024-11-30,0.0.5,2019-10-16T17:14:10.95+00:00,17213,5,1,0,2594,4.457458844826611,90
2024-12-01,0.0.5,2019-10-16T17:14:10.95+00:00,17215,5,1,0,2594,4.457458844826611,90
2024-12-02,0.0.5,2019-10-16T17:14:10.95+00:00,17218,5,1,0,2594,4.457458844826611,90
2024-12-03,0.0.5,2019-10-16T17:14:10.95+00:00,17223,5,1,0,2594,4.457458844826611,90
2024-12-04,0.0.5,2019-10-16T17:14:10.95+00:00,17232,5,1,0,2594,4.457458844826611,90
2024-12-05,0.0.5,2019-10-16T17:14:10.95+00:00,17236,5,1,0,2595,4.457458844826611,90
2024-12-06,0.0.5,2019-10-16T17:14:10.95+00:00,17240,5,1,0,2595,4.457458844826611,90
2024-12-07,0.0.5,2019-10-16T17:14:10.95+00:00,17241,5,1,0,2595,4.457458844826611,90
2024-12-08,0.0.5,2019-10-16T17:14:10.95+00:00,17245,5,1,0,2595,4.457458844826611,91
2024-12-09,0.0.5,2019-10-16T17:14:10.95+00:00,17254,5,1,0,2595,4.457458844826611,91
2024-12-10,0.0.5,2019-10-16T17:14:10.95+00:00,17260,5,1,0,2595,4.457458844826611,91
2024-12-11,0.0.5,2019-10-16T17:14:10.95+00:00,17266,5,1,0,2595,4.457458844826611,91
2024-12-12,0.0.5,2019-10-16T17:14:10.95+00:00,17272,5,1,0,2595,4.457458844826611,91
2024-12-13,0.0.5,2019-10-16T17:14:10.95+00:00,17279,5,1,0,2595,4.457458844826611,91
2024-12-14,0.0.5,2019-10-16T17:14:10.95+00:00,17281,5,1,0,2595,4.457458844826611,91
2024-12-15,0.0.5,2019-10-16T17:14:10.95+00:00,17285,5,1,0,2595,4.457458844826611,91
2024-12-16,0.0.5,2019-10-16T17:14:10.95+00:00,17291,5,1,0,2595,4.457458844826611,91
2024-12-17,0.0.5,2019-10-16T17:14:10.95+00:00,17293,5,1,0,2595,4.457458844826611,91
2024-12-17,0.0.5,2019-10-16T17:14:10.95+00:00,17294,5,1,0,2595,4.457458844826611,91
2024-12-18,0.0.5,2019-10-16T17:14:10.95+00:00,17299,5,1,0,2595,4.457458844826611,91
2024-12-19,0.0.5,2019-10-16T17:14:10.95+00:00,17304,5,1,0,2595,4.457458844826611,91
2024-12-20,0.0.5,2019-10-16T17:14:10.95+00:00,17309,5,1,0,2595,4.457458844826611,91
2024-12-21,0.0.5,2019-10-16T17:14:10.95+00:00,17312,5,1,0,2595,4.457458844826611,92
