date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.0.5,2019-10-16T17:47:53.127+00:00,41781,5,5,0.002393546997295292,8977,4.602136486206181,122
2024-11-26,0.0.5,2019-10-16T17:47:53.127+00:00,41783,5,5,0.002393546997295292,8977,4.602136486206181,122
2024-11-27,0.0.5,2019-10-16T17:47:53.127+00:00,41785,5,5,0,8977,4.602136486206181,122
2024-11-28,0.0.5,2019-10-16T17:47:53.127+00:00,41785,5,5,0,8977,4.602136486206181,122
2024-11-29,0.0.5,2019-10-16T17:47:53.127+00:00,41790,5,5,0,8977,4.602136486206181,122
2024-11-30,0.0.5,2019-10-16T17:47:53.127+00:00,41791,5,5,0,8977,4.602136486206181,122
2024-12-01,0.0.5,2019-10-16T17:47:53.127+00:00,41795,5,5,0.0023928024502297093,8977,4.602136486206181,122
2024-12-02,0.0.5,2019-10-16T17:47:53.127+00:00,41797,5,5,0,8977,4.602136486206181,122
2024-12-03,0.0.5,2019-10-16T17:47:53.127+00:00,41803,5,5,0,8977,4.602136486206181,122
2024-12-04,0.0.5,2019-10-16T17:47:53.127+00:00,41806,5,5,0,8977,4.602136486206181,122
2024-12-05,0.0.5,2019-10-16T17:47:53.127+00:00,41806,5,5,0,8977,4.602136486206181,122
2024-12-06,0.0.5,2019-10-16T17:47:53.127+00:00,41811,5,5,0,8977,4.602136486206181,122
2024-12-07,0.0.5,2019-10-16T17:47:53.127+00:00,41812,5,5,0,8977,4.602136486206181,122
2024-12-08,0.0.5,2019-10-16T17:47:53.127+00:00,41814,5,5,0,8977,4.602136486206181,122
2024-12-09,0.0.5,2019-10-16T17:47:53.127+00:00,41816,5,5,0,8977,4.602136486206181,122
2024-12-10,0.0.5,2019-10-16T17:47:53.127+00:00,41823,5,5,0,8977,4.602136486206181,122
2024-12-11,0.0.5,2019-10-16T17:47:53.127+00:00,41829,5,5,0,8977,4.602136486206181,122
