date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-03-30,0.1.5,2026-03-30T12:09:01.49+00:00,7,5,1,0,16,4.455505909940742,40
2026-03-31,0.1.6,2026-03-31T04:25:39.22+00:00,11,5,1,0,1,4.455453762132847,146
2026-04-01,0.1.6,2026-03-31T04:25:39.22+00:00,11,5,1,0,2,4.455421030635377,159
2026-04-02,0.1.6,2026-03-31T04:25:39.22+00:00,13,5,1,0,2,4.4552859421280475,159
2026-04-03,1.0.1,2026-04-02T17:10:27.043+00:00,14,5,1,0,3,4.454983648244321,184
2026-04-04,1.0.1,2026-04-02T17:10:27.043+00:00,16,4,1,0,3,4.45495874300528,262
2026-04-05,1.0.1,2026-04-02T17:10:27.043+00:00,16,4,1,0,4,4.454811490693045,276
2026-04-06,1.1.1,2026-04-05T18:30:56.907+00:00,18,5,1,0,5,4.454875151637687,335
2026-04-07,1.1.1,2026-04-05T18:30:56.907+00:00,19,5,1,0,6,4.454877294027004,374
2026-04-08,1.1.1,2026-04-05T18:30:56.907+00:00,21,5,2,0,6,4.454955722608295,383
2026-04-09,1.1.2,2026-04-08T15:37:51.017+00:00,21,5,1,0,10,4.454924521993654,417
2026-04-10,1.1.2,2026-04-08T15:37:51.017+00:00,21,5,1,0,10,4.454800532166434,451
2026-04-11,1.1.2,2026-04-08T15:37:51.017+00:00,21,5,1,0,12,4.454749434328537,461
2026-04-12,1.1.2,2026-04-08T15:37:51.017+00:00,22,5,1,0,12,4.454772286211155,480
2026-04-13,1.1.2,2026-04-08T15:37:51.017+00:00,22,5,1,0,14,4.45482145894091,481
2026-04-16,1.1.2,2026-04-08T15:37:51.017+00:00,23,5,1,0,17,4.454800447781845,519
2026-04-17,1.1.2,2026-04-08T15:37:51.017+00:00,23,5,1,0,17,4.454811192064221,549
2026-04-18,1.1.2,2026-04-08T15:37:51.017+00:00,23,5,1,0,17,4.454777910410253,561
2026-04-19,1.1.2,2026-04-08T15:37:51.017+00:00,23,5,1,0,17,4.45467162360743,581
2026-04-21,1.1.2,2026-04-08T15:37:51.017+00:00,23,5,1,0,17,4.4545426019943895,601
2026-04-22,1.1.2,2026-04-08T15:37:51.017+00:00,24,5,1,0,17,4.454523213579991,621
2026-04-23,1.1.2,2026-04-08T15:37:51.017+00:00,24,5,1,0,17,4.453468401231599,642
2026-04-24,1.1.2,2026-04-08T15:37:51.017+00:00,25,5,1,0,17,4.454509560606915,653
2026-04-25,1.1.2,2026-04-08T15:37:51.017+00:00,25,5,1,0,17,4.4544458084882494,664
2026-04-26,1.1.2,2026-04-08T15:37:51.017+00:00,25,5,1,0,17,4.454483406386975,705
2026-04-27,1.1.2,2026-04-08T15:37:51.017+00:00,26,5,2,0,17,4.454354807409401,706
2026-04-29,1.1.2,2026-04-08T15:37:51.017+00:00,27,5,1,0,18,4.454284499255794,779
2026-04-30,1.1.2,2026-04-08T15:37:51.017+00:00,27,5,1,0,18,4.45437218399855,810
2026-05-01,1.1.2,2026-04-08T15:37:51.017+00:00,27,5,1,0,18,4.45425869478313,831
2026-05-02,1.1.2,2026-04-08T15:37:51.017+00:00,27,5,1,0,18,4.454240102888751,842
2026-05-03,1.1.2,2026-04-08T15:37:51.017+00:00,28,5,1,0,18,4.454280489555443,873
2026-05-06,1.1.2,2026-04-08T15:37:51.017+00:00,28,5,1,0,18,4.454492189934802,975
2026-05-07,1.1.2,2026-04-08T15:37:51.017+00:00,28,5,1,0,18,4.454427651170614,995
2026-05-08,1.1.2,2026-04-08T15:37:51.017+00:00,28,5,1,0,18,4.454476418118554,1015
2026-05-09,1.1.2,2026-04-08T15:37:51.017+00:00,28,5,1,0,18,4.454337274424393,1025
2026-05-10,1.1.2,2026-04-08T15:37:51.017+00:00,28,5,1,0,18,4.454291526435952,1045
2026-05-11,1.1.2,2026-04-08T15:37:51.017+00:00,28,5,1,0,18,4.454356601297433,1075
2026-05-14,1.1.2,2026-04-08T15:37:51.017+00:00,29,5,1,0,18,4.45438567072224,1145
2026-05-15,1.1.2,2026-04-08T15:37:51.017+00:00,30,5,1,0,18,4.454406049393446,1175
2026-05-16,1.1.2,2026-04-08T15:37:51.017+00:00,32,5,1,0,18,4.454322627084988,1215
2026-05-17,1.1.2,2026-04-08T15:37:51.017+00:00,33,5,1,0,18,4.454176618381464,1235
2026-05-18,1.1.2,2026-04-08T15:37:51.017+00:00,33,5,1,0,18,4.454142351270395,1256
2026-05-19,1.1.2,2026-04-08T15:37:51.017+00:00,33,5,1,0,18,4.454006707290614,1286
2026-05-20,1.1.2,2026-04-08T15:37:51.017+00:00,34,5,1,0,18,4.453965105829124,1326
2026-05-21,1.1.2,2026-04-08T15:37:51.017+00:00,35,5,1,0,18,4.454018432266376,1356
2026-05-22,1.1.2,2026-04-08T15:37:51.017+00:00,35,5,1,0,18,4.454076642109825,1396
2026-05-23,1.1.2,2026-04-08T15:37:51.017+00:00,35,5,1,0,18,4.45408876625546,1426
2026-05-24,1.1.2,2026-04-08T15:37:51.017+00:00,35,5,1,0,18,4.45417718074316,1456
2026-05-25,1.1.2,2026-04-08T15:37:51.017+00:00,35,5,1,0,18,4.454221128519668,1486
2026-05-26,1.1.2,2026-04-08T15:37:51.017+00:00,35,5,1,0,18,4.454239802224969,1516
2026-05-27,1.1.2,2026-04-08T15:37:51.017+00:00,35,5,1,0,18,4.454260740649226,1547
2026-05-28,1.1.2,2026-04-08T15:37:51.017+00:00,36,5,1,0,18,4.454249637244914,1577
2026-05-29,1.1.2,2026-04-08T15:37:51.017+00:00,36,5,1,0,18,4.454212748099141,1610
2026-05-30,1.1.2,2026-04-08T15:37:51.017+00:00,36,5,1,0,18,4.454230282841368,1640
2026-05-31,1.1.2,2026-04-08T15:37:51.017+00:00,36,5,1,0,18,4.454223093810898,1671
2026-06-01,1.1.2,2026-04-08T15:37:51.017+00:00,38,5,1,0,18,4.45424846673036,1701
2026-06-02,1.1.2,2026-04-08T15:37:51.017+00:00,39,5,1,0,18,4.454159660501241,1711
2026-06-03,1.1.2,2026-04-08T15:37:51.017+00:00,40,5,1,0,18,4.454088321280197,1721
2026-06-04,1.1.2,2026-04-08T15:37:51.017+00:00,41,5,1,0,18,4.454084614485478,1731
2026-06-05,1.1.2,2026-04-08T15:37:51.017+00:00,42,5,1,0,18,4.4539657748618025,1741
2026-06-06,1.1.2,2026-04-08T15:37:51.017+00:00,42,5,1,0,18,4.453773352999017,1751
2026-06-07,1.1.2,2026-04-08T15:37:51.017+00:00,42,5,1,0,18,4.453772993696317,1761
2026-06-08,1.1.2,2026-04-08T15:37:51.017+00:00,42,5,1,0,18,4.45374584630882,1771
2026-06-09,1.1.2,2026-04-08T15:37:51.017+00:00,43,5,1,0,18,4.453588622519159,1781
2026-06-10,1.1.2,2026-04-08T15:37:51.017+00:00,44,5,7,0,18,4.453388165971028,1791
2026-06-11,1.1.2,2026-04-08T15:37:51.017+00:00,45,5,2,0,18,4.453020298961734,1802
2026-06-12,1.1.2,2026-04-08T15:37:51.017+00:00,45,5,1,0,18,4.453117428772963,1822
2026-06-13,1.1.2,2026-04-08T15:37:51.017+00:00,45,5,1,0,18,4.4529220281627975,1842
2026-06-14,1.1.2,2026-04-08T15:37:51.017+00:00,45,5,2,0,18,4.452845568316929,1862
2026-06-15,1.1.2,2026-04-08T15:37:51.017+00:00,45,5,2,0,18,4.4528858994621485,1883
2026-06-16,1.1.2,2026-04-08T15:37:51.017+00:00,45,5,1,0,18,4.452758895217098,1893
2026-06-17,1.1.2,2026-04-08T15:37:51.017+00:00,45,5,1,0,18,4.452826953577093,1913
2026-06-18,1.1.2,2026-04-08T15:37:51.017+00:00,45,5,1,0,18,4.45282799404955,1933
2026-06-19,1.1.2,2026-04-08T15:37:51.017+00:00,45,5,1,0,18,4.4526559315498595,1944
2026-06-20,1.1.2,2026-04-08T15:37:51.017+00:00,45,5,1,0,18,4.452444613040791,1964
2026-06-21,1.1.2,2026-04-08T15:37:51.017+00:00,45,5,1,0,18,4.452423621517478,1984
2026-06-22,1.1.2,2026-04-08T15:37:51.017+00:00,46,5,1,0,18,4.4522631504914045,2004
2026-06-23,1.1.2,2026-04-08T15:37:51.017+00:00,46,5,1,0,18,4.452128667771303,2024
2026-06-24,1.1.2,2026-04-08T15:37:51.017+00:00,47,5,1,0,18,4.452149995415788,2044
2026-06-25,1.1.2,2026-04-08T15:37:51.017+00:00,47,5,1,0,18,4.4521336396519695,2064
2026-06-26,1.1.2,2026-04-08T15:37:51.017+00:00,49,5,1,0,18,4.452177949331835,2084
2026-06-27,1.1.2,2026-04-08T15:37:51.017+00:00,49,5,1,0,18,4.452105150673221,2104
2026-06-28,1.1.2,2026-04-08T15:37:51.017+00:00,49,5,1,0,18,4.451953363447687,2125
2026-06-29,1.1.2,2026-04-08T15:37:51.017+00:00,50,5,1,0,18,4.452002123880843,2145
2026-06-30,1.1.2,2026-04-08T15:37:51.017+00:00,50,5,1,0,18,4.451831559937524,2165
2026-07-01,1.1.2,2026-04-08T15:37:51.017+00:00,50,5,1,0,18,4.45188067603091,2185
2026-07-02,1.1.2,2026-04-08T15:37:51.017+00:00,51,5,1,0,18,4.451774515002469,2205
2026-07-03,1.1.2,2026-04-08T15:37:51.017+00:00,51,5,1,0,18,4.45166853549142,2230
2026-07-04,1.1.2,2026-04-08T15:37:51.017+00:00,51,5,1,0,18,4.451678150835573,2250
2026-07-05,1.1.2,2026-04-08T15:37:51.017+00:00,51,5,1,0,18,4.451582051000889,2270
2026-07-06,1.1.2,2026-04-08T15:37:51.017+00:00,51,5,1,0,18,4.451540803897686,2290
2026-07-07,1.1.2,2026-04-08T15:37:51.017+00:00,52,5,1,0,18,4.451534743275986,2310
2026-07-08,1.1.2,2026-04-08T15:37:51.017+00:00,52,5,1,0,18,4.451487450398033,2330
2026-07-09,1.1.2,2026-04-08T15:37:51.017+00:00,52,5,1,0,18,4.451488654825578,2350
2026-07-10,1.1.2,2026-04-08T15:37:51.017+00:00,53,5,1,0,18,4.451504792954114,2370
2026-07-11,1.1.2,2026-04-08T15:37:51.017+00:00,54,5,1,0,18,4.451515612173543,2390
2026-07-12,1.1.2,2026-04-08T15:37:51.017+00:00,54,5,1,0,18,4.4514054369498615,2410
2026-07-13,1.1.2,2026-04-08T15:37:51.017+00:00,54,5,1,0,18,4.451434509665696,2430
2026-07-14,1.1.2,2026-04-08T15:37:51.017+00:00,55,5,1,0,18,4.451424960966215,2440
2026-07-15,1.1.2,2026-04-08T15:37:51.017+00:00,56,5,1,0,18,4.451437177750922,2450
2026-07-16,1.1.2,2026-04-08T15:37:51.017+00:00,56,5,1,0,18,4.451444286598915,2470
2026-07-17,1.1.2,2026-04-08T15:37:51.017+00:00,56,5,1,0,18,4.451211963052423,2480
2026-07-18,1.1.2,2026-04-08T15:37:51.017+00:00,56,5,1,0,18,4.451189992295232,2491
2026-07-19,1.1.2,2026-04-08T15:37:51.017+00:00,56,5,1,0,18,4.45117246733711,2501
2026-07-20,1.1.2,2026-04-08T15:37:51.017+00:00,56,5,1,0,18,4.451171590743705,2521
2026-07-21,1.1.2,2026-04-08T15:37:51.017+00:00,56,5,1,0,18,4.451169163428252,2531
2026-07-22,1.1.2,2026-04-08T15:37:51.017+00:00,56,5,1,0,18,4.451255946429113,2542
2026-07-23,1.1.2,2026-04-08T15:37:51.017+00:00,56,5,1,0,18,4.4513326871819725,2552
