date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-02-27,0.0.2,2025-02-27T02:03:42.76+00:00,3,5,1,0,4,4.403204729309272,3
2025-02-27,0.0.2,2025-02-27T02:03:42.76+00:00,3,5,1,0,4,4.403204729309272,3
2025-02-27,0.0.2,2025-02-27T02:03:42.76+00:00,3,5,1,0,4,4.403204729309272,3
2025-02-28,0.0.1,2025-02-27T15:34:18.63+00:00,5,4,1,0,2,4.403204729309272,6
2025-02-28,0.0.1,2025-02-27T15:34:18.63+00:00,5,5,1,0,1,4.403204729309272,6
2025-02-28,0.0.1,2025-02-27T15:34:18.63+00:00,5,5,1,0,3,4.403204729309272,6
2025-03-01,0.0.1,2025-02-27T15:34:18.63+00:00,10,5,1,0,1,4.403204729309272,9
2025-03-01,0.0.1,2025-02-27T15:34:18.63+00:00,10,5,1,0,1,4.403204729309272,9
2025-03-01,0.0.1,2025-02-27T15:34:18.63+00:00,10,5,1,0,1,4.403204729309272,9
2025-03-02,0.0.1,2025-02-27T15:34:18.63+00:00,13,5,1,0,2,4.403204729309272,9
2025-03-02,0.0.1,2025-02-27T15:34:18.63+00:00,13,5,1,0,17,4.403204729309272,9
2025-03-02,0.0.1,2025-02-27T15:34:18.63+00:00,13,5,2,0,1,4.403204729309272,9
2025-03-03,0.0.1,2025-02-27T15:34:18.63+00:00,14,5,1,0,2,4.403204729309272,9
2025-03-03,0.0.1,2025-02-27T15:34:18.63+00:00,14,5,1,0,8,4.403204729309272,9
2025-03-03,0.0.1,2025-02-27T15:34:18.63+00:00,14,5,1,0,1,4.403204729309272,9
2025-03-04,0.0.1,2025-02-27T15:34:18.63+00:00,14,5,1,0,2,4.403204729309272,10
2025-03-04,0.0.1,2025-02-27T15:34:18.63+00:00,14,5,1,0,8,4.403204729309272,10
2025-03-04,0.0.1,2025-02-27T15:34:18.63+00:00,14,5,1,0,1,4.403204729309272,10
2025-03-05,0.0.1,2025-02-27T15:34:18.63+00:00,16,5,1,0,1,4.403204729309272,10
2025-03-05,0.0.1,2025-02-27T15:34:18.63+00:00,16,5,1,0,1,4.403204729309272,10
