date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-12-14,0.0.2,2025-12-14T08:26:13.493+00:00,2,5,1,0,1,4.45116565881604,5
2025-12-15,0.1.1,2025-12-15T07:44:58.24+00:00,5,5,1,0,3,4.451181598223459,14
2025-12-16,0.1.2,2025-12-16T06:50:57.693+00:00,6,5,3,0,4,4.45108432776979,22
2025-12-17,0.1.2,2025-12-16T06:50:57.693+00:00,7,5,1,0,4,4.451159187079087,33
2025-12-18,0.1.2,2025-12-16T06:50:57.693+00:00,8,5,1,0,5,4.450978315549789,36
2025-12-19,0.1.2,2025-12-16T06:50:57.693+00:00,14,5,1,0,5,4.4510051664031645,38
2025-12-20,0.1.2,2025-12-16T06:50:57.693+00:00,14,5,1,0,5,4.451083470544281,44
2025-12-21,0.1.2,2025-12-16T06:50:57.693+00:00,16,5,2,0,6,4.4510405373244835,45
2025-12-22,0.1.2,2025-12-16T06:50:57.693+00:00,18,5,1,0,6,4.451028730428345,47
2025-12-23,0.1.2,2025-12-16T06:50:57.693+00:00,24,5,1,0,6,4.4510223631618935,48
2025-12-24,0.1.2,2025-12-16T06:50:57.693+00:00,25,5,3,0,6,4.451174493320214,49
2025-12-25,0.1.2,2025-12-16T06:50:57.693+00:00,29,5,1,0,6,4.451266850631775,51
2025-12-26,0.1.2,2025-12-16T06:50:57.693+00:00,30,5,1,0,6,4.451345304797165,53
2025-12-27,0.1.2,2025-12-16T06:50:57.693+00:00,32,5,1,0,6,4.45128002111375,53
2025-12-28,0.1.4,2025-12-28T06:28:59.84+00:00,34,5,1,0,14,4.451149690645489,61
2025-12-29,0.1.4,2025-12-28T06:28:59.84+00:00,36,5,1,0,20,4.451195790500933,69
2025-12-30,0.1.4,2025-12-28T06:28:59.84+00:00,37,5,1,0,22,4.451020461976585,71
2025-12-31,0.1.4,2025-12-28T06:28:59.84+00:00,41,5,1,0,22,4.450981167384915,72
2026-01-01,0.1.4,2025-12-28T06:28:59.84+00:00,43,5,1,0,22,4.451067445705515,77
2026-01-02,0.1.4,2025-12-28T06:28:59.84+00:00,45,5,1,0,26,4.448254770032162,78
2026-01-03,0.1.4,2025-12-28T06:28:59.84+00:00,45,5,1,0,27,4.451049848892868,81
2026-01-04,0.1.4,2025-12-28T06:28:59.84+00:00,45,5,1,0,28,4.451136131821562,81
2026-01-05,0.1.5,2026-01-05T06:23:18.13+00:00,46,5,1,0,33,4.4511825268905625,84
2026-01-06,0.1.5,2026-01-05T06:23:18.13+00:00,48,5,1,0,45,4.451311489423261,86
2026-01-07,0.1.5,2026-01-05T06:23:18.13+00:00,50,5,1,0,46,4.451392631343735,90
2026-01-08,0.1.5,2026-01-05T06:23:18.13+00:00,56,5,1,0,47,4.451477513809614,91
2026-01-09,0.1.5,2026-01-05T06:23:18.13+00:00,59,5,1,0,50,4.452780998421339,92
2026-01-10,0.1.5,2026-01-05T06:23:18.13+00:00,62,5,1,0,50,4.45273631840796,95
2026-01-11,0.1.5,2026-01-05T06:23:18.13+00:00,64,5,1,0,52,4.452653002460604,97
2026-01-12,0.1.5,2026-01-05T06:23:18.13+00:00,66,5,1,0,54,4.4526760010468465,99
2026-01-13,0.1.5,2026-01-05T06:23:18.13+00:00,69,5,1,0,55,4.453989335601427,100
2026-01-14,0.1.5,2026-01-05T06:23:18.13+00:00,73,5,1,0,55,4.454015171331415,100
