date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-10-06,0.1.1,2025-10-06T12:16:04.323+00:00,2,4,1,0,1,4.411822393645165,2
2025-10-07,0.1.6,2025-10-06T16:45:45.01+00:00,4,4,1,0,3,4.452742290824017,14
2025-10-08,0.1.6,2025-10-06T16:45:45.01+00:00,5,5,1,0,3,4.452590526968889,17
2025-10-09,0.1.6,2025-10-06T16:45:45.01+00:00,11,5,3,0,3,4.452556535488884,17
2025-10-10,0.1.6,2025-10-06T16:45:45.01+00:00,11,5,3,0,3,4.452215198495954,21
2025-10-11,0.1.6,2025-10-06T16:45:45.01+00:00,11,5,3,0,3,4.452094340650362,21
2025-10-12,0.1.6,2025-10-06T16:45:45.01+00:00,11,5,3,0,3,4.451992513187,22
2025-10-13,0.1.6,2025-10-06T16:45:45.01+00:00,12,5,1,0,3,4.452025064123061,22
2025-10-14,0.1.6,2025-10-06T16:45:45.01+00:00,12,5,1,0,3,4.451773300501993,22
2025-10-15,0.1.6,2025-10-06T16:45:45.01+00:00,12,5,1,0,3,4.45156575064928,23
2025-10-16,0.1.6,2025-10-06T16:45:45.01+00:00,14,5,1,0,3,4.45193431748362,24
2025-10-17,0.1.6,2025-10-06T16:45:45.01+00:00,16,5,2,0,3,4.451965080335609,24
2025-10-18,0.1.6,2025-10-06T16:45:45.01+00:00,16,5,2,0,3,4.451933851743693,25
2025-10-19,0.1.6,2025-10-06T16:45:45.01+00:00,16,5,2,0,3,4.4519173320297645,26
2025-10-20,0.1.6,2025-10-06T16:45:45.01+00:00,16,5,1,0,3,4.451861857377517,26
2025-10-21,0.1.6,2025-10-06T16:45:45.01+00:00,17,5,2,0,3,4.451753850329059,26
2025-10-22,0.1.6,2025-10-06T16:45:45.01+00:00,18,5,1,0,3,4.451679632129026,28
2025-10-23,0.1.6,2025-10-06T16:45:45.01+00:00,20,5,1,0,3,4.451660576642781,30
2025-10-24,0.1.6,2025-10-06T16:45:45.01+00:00,20,5,1,0,3,4.451802207780767,32
2025-10-25,0.1.6,2025-10-06T16:45:45.01+00:00,21,5,1,0,3,4.451867456006069,35
2025-10-26,0.1.6,2025-10-06T16:45:45.01+00:00,21,5,1,0,3,4.451797031580088,36
2025-10-27,0.1.6,2025-10-06T16:45:45.01+00:00,26,5,2,0,3,4.451741320478796,38
2025-10-28,0.1.6,2025-10-06T16:45:45.01+00:00,26,5,2,0,3,4.451830593140606,39
2025-10-29,0.1.6,2025-10-06T16:45:45.01+00:00,29,5,1,0,3,4.451957560256046,40
2025-10-30,0.1.6,2025-10-06T16:45:45.01+00:00,29,5,1,0,3,4.452030056880821,40
2025-10-31,0.1.6,2025-10-06T16:45:45.01+00:00,30,5,1,0,3,4.4519871019205155,40
2025-11-01,0.1.6,2025-10-06T16:45:45.01+00:00,30,5,1,0,3,4.452216515745371,41
2025-11-02,0.1.6,2025-10-06T16:45:45.01+00:00,30,5,1,0,3,4.452313720191853,41
2025-11-03,0.1.6,2025-10-06T16:45:45.01+00:00,32,5,3,0,3,4.452373395282248,42
2025-11-04,0.1.6,2025-10-06T16:45:45.01+00:00,33,5,3,0,3,4.45255085163407,42
2025-11-05,0.1.6,2025-10-06T16:45:45.01+00:00,35,4,1,0,3,4.452682228925826,43
2025-11-06,0.1.6,2025-10-06T16:45:45.01+00:00,35,4,1,0,3,4.452693358518569,44
2025-11-07,0.1.6,2025-10-06T16:45:45.01+00:00,37,4,1,0,3,4.4527261203188,45
2025-11-08,0.1.6,2025-10-06T16:45:45.01+00:00,38,5,1,0,3,4.4526568387562095,45
2025-11-09,0.1.6,2025-10-06T16:45:45.01+00:00,39,5,1,0,3,4.452615050778012,45
2025-11-10,0.1.6,2025-10-06T16:45:45.01+00:00,39,5,1,0,3,4.452681218000539,46
2025-11-11,0.1.6,2025-10-06T16:45:45.01+00:00,39,5,1,0,3,4.452686231464397,46
2025-11-12,0.1.6,2025-10-06T16:45:45.01+00:00,40,5,1,0,3,4.452745226059623,46
2025-11-13,0.1.6,2025-10-06T16:45:45.01+00:00,40,5,5,0,3,4.4527066581435255,47
2025-11-14,0.1.6,2025-10-06T16:45:45.01+00:00,40,5,1,0,3,4.4527331059948745,49
2025-11-15,0.1.6,2025-10-06T16:45:45.01+00:00,40,5,1,0,3,4.4528230848875205,51
2025-11-16,0.1.6,2025-10-06T16:45:45.01+00:00,40,5,1,0,3,4.452704383069964,53
2025-11-17,0.1.6,2025-10-06T16:45:45.01+00:00,41,5,1,0,3,4.452675505500191,53
2025-11-18,0.1.6,2025-10-06T16:45:45.01+00:00,41,5,1,0,3,4.452735148930454,53
2025-11-19,0.1.6,2025-10-06T16:45:45.01+00:00,42,5,1,0,3,4.452614971466935,54
2025-11-20,0.1.6,2025-10-06T16:45:45.01+00:00,43,5,1,0,3,4.452407795136093,56
2025-11-21,0.1.6,2025-10-06T16:45:45.01+00:00,43,5,1,0,3,4.452305566363014,59
2025-11-22,0.1.6,2025-10-06T16:45:45.01+00:00,43,5,1,0,3,4.452153623343882,60
2025-11-23,0.1.6,2025-10-06T16:45:45.01+00:00,43,5,1,0,3,4.452067832964676,60
2025-11-24,0.1.6,2025-10-06T16:45:45.01+00:00,43,5,1,0,3,4.452156957343304,62
2025-11-25,0.1.6,2025-10-06T16:45:45.01+00:00,43,5,1,0,3,4.452130580970114,62
2025-11-26,0.1.6,2025-10-06T16:45:45.01+00:00,43,5,1,0,3,4.452286155925671,64
2025-11-27,0.1.6,2025-10-06T16:45:45.01+00:00,43,5,3,0,3,4.45223875606086,66
2025-11-28,0.1.6,2025-10-06T16:45:45.01+00:00,43,5,1,0,3,4.452517961570593,68
2025-11-29,0.1.6,2025-10-06T16:45:45.01+00:00,44,5,1,0,3,4.45259648724304,69
2025-11-30,0.1.6,2025-10-06T16:45:45.01+00:00,44,5,1,0,3,4.452511019099773,69
2025-12-01,0.1.6,2025-10-06T16:45:45.01+00:00,45,5,1,0,3,4.452530377887569,70
2025-12-02,0.1.6,2025-10-06T16:45:45.01+00:00,46,5,1,0,3,4.4525093432995195,71
2025-12-03,0.1.6,2025-10-06T16:45:45.01+00:00,46,5,1,0,3,4.452543254672305,71
2025-12-04,0.1.6,2025-10-06T16:45:45.01+00:00,47,5,1,0,3,4.452436194895592,73
2025-12-05,0.1.6,2025-10-06T16:45:45.01+00:00,47,5,1,0,3,4.45268825085455,74
2025-12-06,0.1.6,2025-10-06T16:45:45.01+00:00,47,5,1,0,3,4.452994639944069,74
2025-12-07,0.1.6,2025-10-06T16:45:45.01+00:00,48,5,1,0,3,4.453056361651713,75
2025-12-08,0.1.6,2025-10-06T16:45:45.01+00:00,48,5,1,0,3,4.4530176113266045,76
2025-12-09,0.1.6,2025-10-06T16:45:45.01+00:00,48,5,1,0,3,4.453158143215262,77
2025-12-10,0.1.6,2025-10-06T16:45:45.01+00:00,48,5,1,0,3,4.452813887338172,79
2025-12-11,0.1.6,2025-10-06T16:45:45.01+00:00,49,5,1,0,3,4.45188112236427,80
2025-12-12,0.1.6,2025-10-06T16:45:45.01+00:00,49,5,1,0,3,4.451613545552296,80
2025-12-13,0.1.6,2025-10-06T16:45:45.01+00:00,49,5,1,0,3,4.451220482886708,80
2025-12-14,0.1.6,2025-10-06T16:45:45.01+00:00,49,5,1,0,3,4.45116565881604,81
2025-12-15,0.1.6,2025-10-06T16:45:45.01+00:00,50,5,1,0,3,4.451181598223459,82
2025-12-16,0.1.6,2025-10-06T16:45:45.01+00:00,51,5,1,0,3,4.45108432776979,82
2025-12-17,0.1.6,2025-10-06T16:45:45.01+00:00,52,5,1,0,3,4.451159187079087,84
2025-12-18,0.1.6,2025-10-06T16:45:45.01+00:00,52,5,1,0,3,4.450978315549789,84
2025-12-19,0.1.6,2025-10-06T16:45:45.01+00:00,52,5,1,0,3,4.4510051664031645,85
2025-12-20,0.1.6,2025-10-06T16:45:45.01+00:00,52,5,1,0,3,4.451083470544281,86
2025-12-21,0.1.6,2025-10-06T16:45:45.01+00:00,52,5,1,0,3,4.4510405373244835,86
2025-12-22,0.1.6,2025-10-06T16:45:45.01+00:00,52,5,1,0,3,4.451028730428345,88
2025-12-23,0.1.6,2025-10-06T16:45:45.01+00:00,52,5,1,0,3,4.4510223631618935,89
2025-12-24,0.1.6,2025-10-06T16:45:45.01+00:00,54,5,1,0,3,4.451174493320214,89
2025-12-25,0.1.6,2025-10-06T16:45:45.01+00:00,54,5,1,0,3,4.451266850631775,90
2025-12-26,0.1.6,2025-10-06T16:45:45.01+00:00,54,5,1,0,3,4.451345304797165,91
2025-12-27,0.1.6,2025-10-06T16:45:45.01+00:00,54,5,1,0,3,4.45128002111375,92
2025-12-28,0.1.6,2025-10-06T16:45:45.01+00:00,54,5,1,0,3,4.451149690645489,93
2025-12-29,0.1.6,2025-10-06T16:45:45.01+00:00,56,5,1,0,3,4.451195790500933,94
2025-12-30,0.1.6,2025-10-06T16:45:45.01+00:00,56,5,1,0,3,4.451020461976585,95
2025-12-31,0.1.6,2025-10-06T16:45:45.01+00:00,56,5,1,0,3,4.450981167384915,95
2026-01-01,0.1.6,2025-10-06T16:45:45.01+00:00,56,5,1,0,3,4.451067445705515,97
2026-01-02,0.1.6,2025-10-06T16:45:45.01+00:00,56,5,1,0,3,4.448254770032162,97
2026-01-03,0.1.6,2025-10-06T16:45:45.01+00:00,57,5,1,0,3,4.451049848892868,99
2026-01-04,0.1.6,2025-10-06T16:45:45.01+00:00,57,5,1,0,3,4.451136131821562,100
2026-01-05,0.1.6,2025-10-06T16:45:45.01+00:00,57,5,1,0,3,4.4511825268905625,102
2026-01-06,0.1.6,2025-10-06T16:45:45.01+00:00,57,5,1,0,3,4.451311489423261,104
2026-01-07,0.1.6,2025-10-06T16:45:45.01+00:00,57,5,1,0,3,4.451392631343735,104
2026-01-08,0.1.6,2025-10-06T16:45:45.01+00:00,57,5,1,0,3,4.451477513809614,104
2026-01-09,0.1.6,2025-10-06T16:45:45.01+00:00,57,5,1,0,3,4.452780998421339,105
