date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-02-22,5.9.8,2026-02-21T20:34:09.437+00:00,32,5,1,0,141,4.504961582546956,702
2026-02-23,5.9.8,2026-02-21T20:34:09.437+00:00,32,5,1,0,144,4.504838782470777,706
2026-02-24,5.9.8,2026-02-21T20:34:09.437+00:00,33,5,1,0,145,4.504902874001587,707
2026-02-25,5.9.9,2026-02-24T20:48:33.05+00:00,34,5,1,0,148,4.505027412938672,713
2026-02-26,5.9.9,2026-02-24T20:48:33.05+00:00,36,5,1,0,149,4.505022679292798,717
2026-02-27,5.9.12,2026-02-27T12:25:17.797+00:00,37,5,1,0,154,4.5050855308445,732
2026-02-28,5.9.12,2026-02-27T12:25:17.797+00:00,38,5,1,0,159,4.505145963005173,744
2026-03-01,6.0.2,2026-03-01T04:27:40.81+00:00,38,5,1,0,167,4.5053052450810025,765
2026-03-02,6.0.2,2026-03-01T04:27:40.81+00:00,38,5,1,0,168,4.5053159096601885,783
2026-03-03,6.0.2,2026-03-01T04:27:40.81+00:00,38,5,1,0,170,4.505382356563393,784
2026-03-04,6.1.4,2026-03-04T10:23:51.42+00:00,40,5,1,0,173,4.505120250336313,789
2026-03-05,6.1.8,2026-03-05T03:56:57.767+00:00,41,5,1,0,188,4.5050757721529315,816
2026-03-06,6.2.0,2026-03-05T21:48:52.01+00:00,42,5,1,0,196,4.505130273039612,828
2026-03-07,6.2.0,2026-03-05T21:48:52.01+00:00,43,5,1,0,199,4.505084603635012,834
2026-03-08,6.2.0,2026-03-05T21:48:52.01+00:00,43,5,1,0,199,4.505044554605295,837
2026-03-09,6.2.0,2026-03-05T21:48:52.01+00:00,44,5,1,0,200,4.5051144399948555,838
2026-03-10,6.4.6,2026-03-10T04:40:46.233+00:00,45,5,1,0,206,4.505206334586948,854
2026-03-11,6.5.0,2026-03-10T23:36:10.103+00:00,46,5,1,0,216,4.50525134989044,862
2026-03-12,6.5.4,2026-03-12T00:21:51.16+00:00,46,5,1,0,227,4.505258663506531,885
2026-03-13,6.5.5,2026-03-13T00:26:06.487+00:00,47,5,1,0,235,4.505162049630693,895
2026-03-14,6.5.8,2026-03-13T17:20:44.493+00:00,49,5,1,0,241,4.504924065918825,1075
2026-03-15,6.6.0,2026-03-14T18:14:17.527+00:00,49,5,1,0,246,4.504839934404053,1207
2026-03-16,6.7.0,2026-03-15T18:33:54.773+00:00,49,5,1,0,249,4.5048623635087885,1343
2026-03-17,6.7.0,2026-03-15T18:33:54.773+00:00,50,5,1,0,251,4.504894659054685,1462
2026-03-18,6.7.0,2026-03-15T18:33:54.773+00:00,50,5,1,0,254,4.504945849379249,1577
