date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,4.4.0,2021-07-17T02:51:42.943+00:00,97479,4.791666507720947,24,0.0020519765664276115,61563,4.677413043482219,323
2024-11-26,4.4.0,2021-07-17T02:51:42.943+00:00,97482,4.791666507720947,24,0.0020519765664276115,61563,4.677413043482219,323
2024-11-27,4.4.0,2021-07-17T02:51:42.943+00:00,97499,4.791666507720947,24,0,61563,4.677413043482219,323
2024-11-28,4.4.0,2021-07-17T02:51:42.943+00:00,97515,4.791666507720947,24,0,61563,4.677413043482219,323
2024-11-29,4.4.0,2021-07-17T02:51:42.943+00:00,97529,4.791666507720947,24,0,61564,4.677413043482219,323
2024-11-30,4.4.0,2021-07-17T02:51:42.943+00:00,97548,4.791666507720947,24,0,61564,4.677413043482219,323
2024-12-01,4.4.0,2021-07-17T02:51:42.943+00:00,97561,4.791666507720947,24,0,61564,4.677413043482219,323
2024-12-02,4.4.0,2021-07-17T02:51:42.943+00:00,97583,4.791666507720947,24,0.0010248526774276198,61564,4.677413043482219,323
2024-12-03,4.4.0,2021-07-17T02:51:42.943+00:00,97597,4.791666507720947,24,0,61565,4.677413043482219,323
2024-12-04,4.4.0,2021-07-17T02:51:42.943+00:00,97621,4.791666507720947,24,0,61565,4.677413043482219,326
2024-12-05,4.4.0,2021-07-17T02:51:42.943+00:00,97634,4.791666507720947,24,0,61565,4.677413043482219,326
2024-12-06,4.4.0,2021-07-17T02:51:42.943+00:00,97655,4.791666507720947,24,0.0020481730296575454,61566,4.677413043482219,326
2024-12-07,4.4.0,2021-07-17T02:51:42.943+00:00,97667,4.791666507720947,24,0,61566,4.677413043482219,326
2024-12-08,4.4.0,2021-07-17T02:51:42.943+00:00,97686,4.791666507720947,24,0.001023761504519907,61567,4.677413043482219,331
2024-12-09,4.4.0,2021-07-17T02:51:42.943+00:00,97694,4.791666507720947,24,0,61567,4.677413043482219,331
2024-12-10,4.4.0,2021-07-17T02:51:42.943+00:00,97715,4.791666507720947,24,0,61567,4.677413043482219,331
2024-12-11,4.4.0,2021-07-17T02:51:42.943+00:00,97735,4.791666507720947,24,0,61567,4.677413043482219,331
2024-12-12,4.4.0,2021-07-17T02:51:42.943+00:00,97762,4.791666507720947,24,0.001022996971928963,61567,4.677413043482219,331
2024-12-13,4.4.0,2021-07-17T02:51:42.943+00:00,97784,4.791666507720947,24,0,61567,4.677413043482219,331
2024-12-14,4.4.0,2021-07-17T02:51:42.943+00:00,97810,4.791666507720947,24,0.0020449897750511245,61567,4.677413043482219,332
2024-12-15,4.4.0,2021-07-17T02:51:42.943+00:00,97822,4.791666507720947,24,0,61567,4.677413043482219,332
2024-12-16,4.4.0,2021-07-17T02:51:42.943+00:00,97838,4.791666507720947,24,0,61567,4.677413043482219,332
2024-12-17,4.4.0,2021-07-17T02:51:42.943+00:00,97848,4.791666507720947,24,0,61567,4.677413043482219,332
2024-12-17,4.4.0,2021-07-17T02:51:42.943+00:00,97850,4.791666507720947,24,0,61567,4.677413043482219,332
2024-12-18,4.4.0,2021-07-17T02:51:42.943+00:00,97863,4.791666507720947,24,0,61567,4.677413043482219,332
2024-12-19,4.4.0,2021-07-17T02:51:42.943+00:00,97874,4.791666507720947,24,0,61567,4.677413043482219,332
2024-12-20,4.4.0,2021-07-17T02:51:42.943+00:00,97893,4.791666507720947,24,0,61567,4.677413043482219,332
2024-12-21,4.4.0,2021-07-17T02:51:42.943+00:00,97902,4.791666507720947,24,0,61567,4.677413043482219,332
2024-12-22,4.4.0,2021-07-17T02:51:42.943+00:00,97915,4.791666507720947,24,0,61568,4.677413043482219,332
2024-12-23,4.4.0,2021-07-17T02:51:42.943+00:00,97927,4.791666507720947,24,0,61568,4.677413043482219,332
2024-12-24,4.4.0,2021-07-17T02:51:42.943+00:00,97945,4.791666507720947,24,0,61568,4.677413043482219,332
2024-12-25,4.4.0,2021-07-17T02:51:42.943+00:00,97957,4.791666507720947,24,0.0010209186225765944,61568,4.677413043482219,333
2024-12-26,4.4.0,2021-07-17T02:51:42.943+00:00,97968,4.791666507720947,24,0,61568,4.677413043482219,333
2024-12-27,4.4.0,2021-07-17T02:51:42.943+00:00,97979,4.791666507720947,24,0.0010206789556412926,61568,4.677413043482219,333
2024-12-28,4.4.0,2021-07-17T02:51:42.943+00:00,97988,4.791666507720947,24,0,61568,4.677413043482219,333
2024-12-29,4.4.0,2021-07-17T02:51:42.943+00:00,97999,4.791666507720947,24,0,61568,4.677413043482219,334
2024-12-30,4.4.0,2021-07-17T02:51:42.943+00:00,98008,4.791666507720947,24,0,61569,4.677413043482219,335
2024-12-31,4.4.0,2021-07-17T02:51:42.943+00:00,98024,4.791666507720947,24,0,61569,4.677413043482219,335
2025-01-01,4.4.0,2021-07-17T02:51:42.943+00:00,98034,4.791666507720947,24,0,61569,4.677413043482219,335
2025-01-02,4.4.0,2021-07-17T02:51:42.943+00:00,98042,4.791666507720947,24,0,61569,4.677413043482219,335
2025-01-03,4.4.0,2021-07-17T02:51:42.943+00:00,98052,4.791666507720947,24,0,61569,4.677413043482219,335
2025-01-04,4.4.0,2021-07-17T02:51:42.943+00:00,98064,4.791666507720947,24,0,61569,4.677413043482219,337
2025-01-05,4.4.0,2021-07-17T02:51:42.943+00:00,98074,4.791666507720947,24,0,61569,4.677413043482219,337
2025-01-06,4.4.0,2021-07-17T02:51:42.943+00:00,98100,4.791666507720947,24,0.001019492700432265,61569,4.677413043482219,337
2025-01-07,4.4.0,2021-07-17T02:51:42.943+00:00,98112,4.791666507720947,24,0.0010193056489919067,61569,4.677413043482219,338
2025-01-08,4.4.0,2021-07-17T02:51:42.943+00:00,98131,4.791666507720947,24,0,61569,4.677413043482219,339
2025-01-09,4.4.0,2021-07-17T02:51:42.943+00:00,98149,4.791666507720947,24,0.0020378635039025087,61570,4.677413043482219,339
2025-01-10,4.4.0,2021-07-17T02:51:42.943+00:00,98163,4.791666507720947,24,0,61570,4.677413043482219,339
