date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,1.4.19,2024-08-22T19:38:22.6+00:00,37948,5,5,0,418636,4.602136486206181,604
2024-11-26,1.4.19,2024-08-22T19:38:22.6+00:00,37950,5,5,0,418636,4.602136486206181,604
2024-11-27,1.4.19,2024-08-22T19:38:22.6+00:00,37958,5,5,0,418638,4.602136486206181,604
2024-11-28,1.4.19,2024-08-22T19:38:22.6+00:00,37974,5,5,0,418644,4.602136486206181,604
2024-11-29,1.4.19,2024-08-22T19:38:22.6+00:00,37981,5,5,0,418647,4.602136486206181,604
2024-11-30,1.4.19,2024-08-22T19:38:22.6+00:00,37989,5,5,0,418647,4.602136486206181,604
2024-12-01,1.4.19,2024-08-22T19:38:22.6+00:00,37994,5,5,0,418652,4.602136486206181,604
2024-12-02,1.4.19,2024-08-22T19:38:22.6+00:00,37999,5,5,0.0026317174588136216,418654,4.602136486206181,604
2024-12-03,1.4.19,2024-08-22T19:38:22.6+00:00,38009,5,5,0.005262050094716902,418656,4.602136486206181,604
2024-12-04,1.4.19,2024-08-22T19:38:22.6+00:00,38015,5,5,0,418663,4.602136486206181,604
2024-12-05,1.4.19,2024-08-22T19:38:22.6+00:00,38029,5,5,0,418669,4.602136486206181,604
2024-12-06,1.4.19,2024-08-22T19:38:22.6+00:00,38038,5,5,0,418669,4.602136486206181,604
2024-12-07,1.4.19,2024-08-22T19:38:22.6+00:00,38047,5,5,0,418671,4.602136486206181,604
