date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-11-16,1.2.4,2025-11-06T11:47:37.103+00:00,66,5,1,0,11,4.452704383069964,67
2025-11-17,1.2.4,2025-11-06T11:47:37.103+00:00,68,5,1,0,11,4.452675505500191,67
2025-11-18,1.2.4,2025-11-06T11:47:37.103+00:00,68,5,1,0,11,4.452735148930454,67
2025-11-20,1.2.4,2025-11-06T11:47:37.103+00:00,72,5,1,0,12,4.452407795136093,69
2025-11-21,1.2.4,2025-11-06T11:47:37.103+00:00,73,5,1,0,12,4.452305566363014,69
2025-11-22,1.2.4,2025-11-06T11:47:37.103+00:00,75,5,1,0,12,4.452153623343882,70
2025-11-23,1.2.4,2025-11-06T11:47:37.103+00:00,76,5,1,0,12,4.452067832964676,71
2025-11-24,1.2.4,2025-11-06T11:47:37.103+00:00,77,5,1,0,12,4.452156957343304,72
2025-11-25,1.2.4,2025-11-06T11:47:37.103+00:00,77,5,1,0,12,4.452130580970114,73
2025-11-26,1.2.4,2025-11-06T11:47:37.103+00:00,78,5,1,0,12,4.452286155925671,77
2025-11-27,1.2.4,2025-11-06T11:47:37.103+00:00,80,5,1,0,12,4.45223875606086,78
