date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.0.1,2017-12-02T09:43:14.843+00:00,44584,5,2,0,655,4.502670607757727,140
2024-11-26,0.0.1,2017-12-02T09:43:14.843+00:00,44588,5,2,0,655,4.502670607757727,140
2024-11-27,0.0.1,2017-12-02T09:43:14.843+00:00,44596,5,2,0,655,4.502670607757727,140
2024-11-28,0.0.1,2017-12-02T09:43:14.843+00:00,44604,5,2,0,655,4.502670607757727,140
2024-11-29,0.0.1,2017-12-02T09:43:14.843+00:00,44609,5,2,0,655,4.502670607757727,140
2024-11-30,0.0.1,2017-12-02T09:43:14.843+00:00,44612,5,2,0,655,4.502670607757727,140
2024-12-01,0.0.1,2017-12-02T09:43:14.843+00:00,44616,5,2,0,655,4.502670607757727,140
2024-12-02,0.0.1,2017-12-02T09:43:14.843+00:00,44620,5,2,0.0022411474675033617,655,4.502670607757727,140
2024-12-03,0.0.1,2017-12-02T09:43:14.843+00:00,44627,5,2,0,655,4.502670607757727,140
2024-12-04,0.0.1,2017-12-02T09:43:14.843+00:00,44631,5,2,0,655,4.502670607757727,140
2024-12-05,0.0.1,2017-12-02T09:43:14.843+00:00,44639,5,2,0,656,4.502670607757727,140
2024-12-06,0.0.1,2017-12-02T09:43:14.843+00:00,44641,5,2,0,656,4.502670607757727,140
2024-12-07,0.0.1,2017-12-02T09:43:14.843+00:00,44652,5,2,0,656,4.502670607757727,140
2024-12-08,0.0.1,2017-12-02T09:43:14.843+00:00,44669,5,2,0.0022390900338102597,656,4.502670607757727,140
2024-12-09,0.0.1,2017-12-02T09:43:14.843+00:00,44672,5,2,0,656,4.502670607757727,140
2024-12-10,0.0.1,2017-12-02T09:43:14.843+00:00,44677,5,2,0,656,4.502670607757727,140
2024-12-11,0.0.1,2017-12-02T09:43:14.843+00:00,44685,5,2,0.002237987601548687,656,4.502670607757727,140
2024-12-12,0.0.1,2017-12-02T09:43:14.843+00:00,44693,5,2,0,656,4.502670607757727,140
2024-12-13,0.0.1,2017-12-02T09:43:14.843+00:00,44703,5,2,0,656,4.502670607757727,140
2024-12-14,0.0.1,2017-12-02T09:43:14.843+00:00,44710,5,2,0,656,4.502670607757727,140
