date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.0.7,2019-11-04T19:07:26.713+00:00,2081,5,1,0,20,4.403204729309272,99
2024-11-26,0.0.7,2019-11-04T19:07:26.713+00:00,2081,5,1,0,20,4.403204729309272,99
2024-11-27,0.0.7,2019-11-04T19:07:26.713+00:00,2082,5,1,0,20,4.403204729309272,99
2024-11-28,0.0.7,2019-11-04T19:07:26.713+00:00,2082,5,1,0,20,4.403204729309272,99
2024-11-29,0.0.7,2019-11-04T19:07:26.713+00:00,2082,5,1,0,20,4.403204729309272,99
2024-11-30,0.0.7,2019-11-04T19:07:26.713+00:00,2085,5,1,0,20,4.403204729309272,99
2024-12-01,0.0.7,2019-11-04T19:07:26.713+00:00,2086,5,1,0,20,4.403204729309272,99
2024-12-02,0.0.7,2019-11-04T19:07:26.713+00:00,2087,5,1,0,20,4.403204729309272,99
2024-12-03,0.0.7,2019-11-04T19:07:26.713+00:00,2089,5,1,0.04786979415988511,20,4.403204729309272,99
2024-12-04,0.0.7,2019-11-04T19:07:26.713+00:00,2091,5,1,0,20,4.403204729309272,99
2024-12-05,0.0.7,2019-11-04T19:07:26.713+00:00,2091,5,1,0,20,4.403204729309272,99
2024-12-06,0.0.7,2019-11-04T19:07:26.713+00:00,2093,5,1,0,20,4.403204729309272,99
2024-12-07,0.0.7,2019-11-04T19:07:26.713+00:00,2093,5,1,0,20,4.403204729309272,102
2024-12-08,0.0.7,2019-11-04T19:07:26.713+00:00,2093,5,1,0,20,4.403204729309272,102
2024-12-09,0.0.7,2019-11-04T19:07:26.713+00:00,2093,5,1,0,20,4.403204729309272,102
2024-12-10,0.0.7,2019-11-04T19:07:26.713+00:00,2095,5,1,0,20,4.403204729309272,102
2024-12-11,0.0.7,2019-11-04T19:07:26.713+00:00,2095,5,1,0,20,4.403204729309272,102
2024-12-12,0.0.7,2019-11-04T19:07:26.713+00:00,2095,5,1,0,20,4.403204729309272,102
2024-12-13,0.0.7,2019-11-04T19:07:26.713+00:00,2096,5,1,0,20,4.403204729309272,102
2024-12-14,0.0.7,2019-11-04T19:07:26.713+00:00,2096,5,1,0,20,4.403204729309272,102
2024-12-15,0.0.7,2019-11-04T19:07:26.713+00:00,2096,5,1,0,20,4.403204729309272,102
2024-12-16,0.0.7,2019-11-04T19:07:26.713+00:00,2098,5,1,0,20,4.403204729309272,102
2024-12-17,0.0.7,2019-11-04T19:07:26.713+00:00,2099,5,1,0,20,4.403204729309272,102
2024-12-17,0.0.7,2019-11-04T19:07:26.713+00:00,2099,5,1,0,20,4.403204729309272,102
2024-12-18,0.0.7,2019-11-04T19:07:26.713+00:00,2099,5,1,0,20,4.403204729309272,102
2024-12-19,0.0.7,2019-11-04T19:07:26.713+00:00,2099,5,1,0,20,4.403204729309272,102
2024-12-20,0.0.7,2019-11-04T19:07:26.713+00:00,2099,5,1,0,20,4.403204729309272,102
2024-12-21,0.0.7,2019-11-04T19:07:26.713+00:00,2100,5,1,0,20,4.403204729309272,103
2024-12-22,0.0.7,2019-11-04T19:07:26.713+00:00,2101,5,1,0,20,4.403204729309272,103
