date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-03-14,0.1.1,2025-03-14T06:30:11.533+00:00,5,5,1,0,1,4.403204729309272,2
2025-03-15,0.1.3,2025-03-15T12:20:59.38+00:00,5,5,1,0,5,4.403204729309272,12
2025-03-16,0.1.3,2025-03-15T12:20:59.38+00:00,7,5,1,0,5,4.403204729309272,18
2025-03-17,0.1.3,2025-03-15T12:20:59.38+00:00,7,5,1,0,2,4.403204729309272,22
2025-03-18,0.1.3,2025-03-15T12:20:59.38+00:00,8,5,2,0,1,4.403204729309272,22
2025-03-19,0.1.3,2025-03-15T12:20:59.38+00:00,8,5,1,0,1,4.403204729309272,22
2025-03-20,0.1.5,2025-03-19T22:57:43.52+00:00,8,5,1,0,2,4.403204729309272,26
2025-03-21,0.1.6,2025-03-20T23:06:08.493+00:00,9,5,1,0,3,4.403204729309272,34
2025-03-22,0.1.6,2025-03-20T23:06:08.493+00:00,9,5,1,0,3,4.403204729309272,42
2025-03-23,0.1.6,2025-03-20T23:06:08.493+00:00,9,5,2,0,3,4.403204729309272,45
2025-03-24,0.1.7,2025-03-23T18:06:01.573+00:00,10,5,2,0,4,4.403204729309272,49
2025-03-25,0.1.7,2025-03-23T18:06:01.573+00:00,10,5,2,0,4,4.403204729309272,57
2025-03-26,0.1.7,2025-03-23T18:06:01.573+00:00,11,5,2,0,4,4.403204729309272,66
2025-03-27,0.1.7,2025-03-23T18:06:01.573+00:00,11,5,1,0,4,4.403204729309272,67
2025-03-28,0.1.8,2025-03-27T19:19:25.063+00:00,11,5,2,0,5,4.403204729309272,69
2025-03-29,0.1.8,2025-03-27T19:19:25.063+00:00,11,5,2,0,6,4.403204729309272,81
2025-03-30,0.1.9,2025-03-30T11:32:26.997+00:00,12,5,2,0,6,4.403204729309272,82
2025-03-31,0.1.9,2025-03-30T11:32:26.997+00:00,13,5,2,0,6,4.403204729309272,87
2025-04-01,0.1.9,2025-03-30T11:32:26.997+00:00,13,5,2,0,6,4.403204729309272,90
2025-04-02,0.1.9,2025-03-30T11:32:26.997+00:00,15,5,3,0,6,4.403204729309272,96
2025-04-03,0.1.9,2025-03-30T11:32:26.997+00:00,17,5,3,0,6,4.403204729309272,106
2025-04-04,0.1.9,2025-03-30T11:32:26.997+00:00,17,5,1,0,6,4.403204729309272,110
2025-04-05,0.1.9,2025-03-30T11:32:26.997+00:00,18,5,2,0,6,4.403204729309272,112
2025-04-06,0.1.9,2025-03-30T11:32:26.997+00:00,18,5,1,0,6,4.403204729309272,113
2025-04-07,0.1.9,2025-03-30T11:32:26.997+00:00,19,5,1,0,6,4.403204729309272,114
2025-04-08,0.1.9,2025-03-30T11:32:26.997+00:00,21,5,1,0,6,4.403204729309272,115
2025-04-09,0.1.9,2025-03-30T11:32:26.997+00:00,21,5,1,0,6,4.403204729309272,116
2025-04-10,0.1.9,2025-03-30T11:32:26.997+00:00,21,5,1,0,6,4.403204729309272,117
2025-04-11,0.1.9,2025-03-30T11:32:26.997+00:00,21,5,6,0,6,4.403204729309272,117
2025-04-12,0.1.9,2025-03-30T11:32:26.997+00:00,22,5,1,0,6,4.403204729309272,118
2025-04-13,0.1.9,2025-03-30T11:32:26.997+00:00,22,5,1,0,6,4.403204729309272,119
2025-04-14,0.1.10,2025-04-13T18:57:49.5+00:00,22,5,6,0,9,4.403204729309272,120
2025-04-15,0.1.10,2025-04-13T18:57:49.5+00:00,22,5,2,0,9,4.403204729309272,126
2025-04-16,0.1.10,2025-04-13T18:57:49.5+00:00,22,5,6,0,9,4.403204729309272,128
2025-04-17,0.1.10,2025-04-13T18:57:49.5+00:00,22,5,6,0,9,4.403204729309272,129
2025-04-18,0.1.10,2025-04-13T18:57:49.5+00:00,22,5,2,0,9,4.403204729309272,131
2025-04-19,0.1.10,2025-04-13T18:57:49.5+00:00,22,5,2,0,9,4.403204729309272,134
2025-04-20,0.1.10,2025-04-13T18:57:49.5+00:00,22,5,1,0,9,4.403204729309272,135
2025-04-21,0.1.10,2025-04-13T18:57:49.5+00:00,22,5,1,0,9,4.403204729309272,137
2025-04-22,0.1.10,2025-04-13T18:57:49.5+00:00,22,5,1,0,9,4.403204729309272,139
2025-04-23,0.1.10,2025-04-13T18:57:49.5+00:00,22,5,1,0,9,4.403204729309272,139
2025-04-24,0.1.10,2025-04-13T18:57:49.5+00:00,23,5,1,0,9,4.403204729309272,140
2025-04-25,0.1.10,2025-04-13T18:57:49.5+00:00,24,5,1,0,10,4.403204729309272,141
2025-04-26,0.1.10,2025-04-13T18:57:49.5+00:00,24,5,1,0,10,4.403204729309272,142
2025-04-27,0.1.10,2025-04-13T18:57:49.5+00:00,25,5,2,0,10,4.403204729309272,142
2025-04-28,0.1.10,2025-04-13T18:57:49.5+00:00,25,5,3,0,10,4.403204729309272,144
2025-04-29,0.1.10,2025-04-13T18:57:49.5+00:00,25,5,3,0,10,4.403204729309272,145
2025-04-30,0.1.10,2025-04-13T18:57:49.5+00:00,26,5,3,0,10,4.403204729309272,147
2025-05-01,0.1.10,2025-04-13T18:57:49.5+00:00,26,5,1,0,10,4.403204729309272,149
2025-05-02,0.1.10,2025-04-13T18:57:49.5+00:00,26,5,1,0,10,4.403204729309272,149
2025-05-03,0.1.10,2025-04-13T18:57:49.5+00:00,26,5,1,0,11,4.403204729309272,149
2025-05-04,0.1.10,2025-04-13T18:57:49.5+00:00,26,5,1,0,11,4.403204729309272,160
2025-05-05,0.1.10,2025-04-13T18:57:49.5+00:00,26,5,1,0,11,4.403204729309272,162
2025-05-06,0.1.10,2025-04-13T18:57:49.5+00:00,26,5,1,0,11,4.403204729309272,163
2025-05-07,0.1.10,2025-04-13T18:57:49.5+00:00,27,5,1,0,11,4.403204729309272,164
2025-05-08,0.1.10,2025-04-13T18:57:49.5+00:00,27,5,1,0,11,4.403204729309272,164
2025-05-09,0.1.10,2025-04-13T18:57:49.5+00:00,27,5,1,0,11,4.403204729309272,164
2025-05-10,0.1.10,2025-04-13T18:57:49.5+00:00,27,5,1,0,11,4.403204729309272,164
2025-05-11,0.1.10,2025-04-13T18:57:49.5+00:00,27,5,1,0,11,4.403204729309272,164
2025-05-12,0.1.10,2025-04-13T18:57:49.5+00:00,27,5,1,0,11,4.403204729309272,164
