date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-06-13,1.0.3,2025-06-13T08:01:57.55+00:00,3,5,2,0,1,4.403204729309272,11
2025-06-14,1.0.3,2025-06-13T08:01:57.55+00:00,4,5,2,0,1,4.403204729309272,15
2025-06-15,1.0.3,2025-06-13T08:01:57.55+00:00,5,5,2,0,1,4.403204729309272,19
2025-06-16,1.0.3,2025-06-13T08:01:57.55+00:00,6,5,2,0,1,4.403204729309272,24
2025-06-17,1.0.3,2025-06-13T08:01:57.55+00:00,9,5,2,0,1,4.403204729309272,26
2025-06-18,1.0.3,2025-06-13T08:01:57.55+00:00,10,5,2,0,1,4.403204729309272,27
2025-06-19,1.0.3,2025-06-13T08:01:57.55+00:00,10,5,2,0,2,4.403204729309272,27
2025-06-20,1.0.3,2025-06-13T08:01:57.55+00:00,11,5,2,0,2,4.403204729309272,28
2025-06-21,1.0.3,2025-06-13T08:01:57.55+00:00,11,5,2,0,2,4.403204729309272,28
2025-06-22,1.0.3,2025-06-13T08:01:57.55+00:00,11,5,1,0,2,4.403204729309272,29
2025-06-23,1.0.3,2025-06-13T08:01:57.55+00:00,13,5,1,0,2,4.403204729309272,30
2025-06-24,1.0.3,2025-06-13T08:01:57.55+00:00,13,5,1,0,2,4.403204729309272,31
2025-06-25,1.0.3,2025-06-13T08:01:57.55+00:00,13,5,1,0,2,4.403204729309272,32
2025-06-26,1.0.3,2025-06-13T08:01:57.55+00:00,14,5,1,0,2,4.403204729309272,33
2025-06-27,1.0.3,2025-06-13T08:01:57.55+00:00,14,5,1,0,2,4.403204729309272,33
2025-06-28,1.0.4,2025-06-27T13:38:46.213+00:00,16,5,1,0,5,4.403204729309272,38
2025-06-29,1.0.4,2025-06-27T13:38:46.213+00:00,16,5,1,0,7,4.403204729309272,39
2025-06-30,1.0.4,2025-06-27T13:38:46.213+00:00,16,5,4,0,7,4.403204729309272,41
2025-07-01,1.0.4,2025-06-27T13:38:46.213+00:00,19,4.199999809265137,10,0,7,4.403204729309272,41
2025-07-02,1.0.4,2025-06-27T13:38:46.213+00:00,20,4.199999809265137,10,0,7,4.403204729309272,42
2025-07-03,1.0.4,2025-06-27T13:38:46.213+00:00,22,4.199999809265137,10,0,7,4.403204729309272,42
2025-07-04,1.0.4,2025-06-27T13:38:46.213+00:00,23,5,1,0,7,4.403204729309272,43
2025-07-05,1.0.4,2025-06-27T13:38:46.213+00:00,24,5,1,0,7,4.403204729309272,43
2025-07-06,1.0.4,2025-06-27T13:38:46.213+00:00,24,4.199999809265137,10,0,7,4.403204729309272,44
2025-07-07,1.0.4,2025-06-27T13:38:46.213+00:00,26,5,1,0,7,4.403204729309272,46
2025-07-08,1.0.4,2025-06-27T13:38:46.213+00:00,27,5,1,0,7,4.403204729309272,47
2025-07-09,1.0.4,2025-06-27T13:38:46.213+00:00,30,5,1,0,7,4.403204729309272,47
2025-07-10,1.0.4,2025-06-27T13:38:46.213+00:00,30,5,1,0,7,4.403204729309272,48
2025-07-11,1.0.4,2025-06-27T13:38:46.213+00:00,34,5,1,0,7,4.403204729309272,48
2025-07-12,1.0.4,2025-06-27T13:38:46.213+00:00,34,5,1,0,7,4.403204729309272,50
2025-07-13,1.0.4,2025-06-27T13:38:46.213+00:00,36,5,1,0,7,4.403204729309272,51
2025-07-14,1.0.4,2025-06-27T13:38:46.213+00:00,39,5,1,0,7,4.403204729309272,51
2025-07-15,1.0.4,2025-06-27T13:38:46.213+00:00,40,5,1,0,7,4.403204729309272,52
2025-07-16,1.0.4,2025-06-27T13:38:46.213+00:00,41,5,1,0,7,4.457579009800322,53
2025-07-17,1.0.4,2025-06-27T13:38:46.213+00:00,41,5,1,0,7,4.457495677945172,54
2025-07-18,1.0.4,2025-06-27T13:38:46.213+00:00,44,5,1,0,7,4.4576272381718045,55
2025-07-19,1.0.4,2025-06-27T13:38:46.213+00:00,46,5,1,0,7,4.457726522958932,55
2025-07-20,1.0.4,2025-06-27T13:38:46.213+00:00,46,5,1,0,7,4.4577909951304076,55
2025-07-21,1.0.4,2025-06-27T13:38:46.213+00:00,48,5,1,0,7,4.457829882271712,55
2025-07-22,1.0.4,2025-06-27T13:38:46.213+00:00,49,5,1,0,7,4.457674975355584,55
2025-07-23,1.0.4,2025-06-27T13:38:46.213+00:00,50,5,1,0,7,4.4577087116253535,56
2025-07-24,1.0.4,2025-06-27T13:38:46.213+00:00,50,5,1,0,7,4.457541628268531,58
2025-07-25,1.0.4,2025-06-27T13:38:46.213+00:00,50,5,1,0,7,4.457681971042226,60
2025-07-26,1.0.4,2025-06-27T13:38:46.213+00:00,51,5,1,0,7,4.457387980522629,60
2025-07-27,1.0.4,2025-06-27T13:38:46.213+00:00,52,4.5,2,0,7,4.457345339102096,60
2025-07-28,1.0.4,2025-06-27T13:38:46.213+00:00,53,4.5,2,0,7,4.457094307561597,61
2025-07-30,1.0.4,2025-06-27T13:38:46.213+00:00,61,5,1,0,7,4.457146665170178,64
2025-07-31,1.0.4,2025-06-27T13:38:46.213+00:00,61,5,1,0,7,4.457257046697518,65
2025-08-01,1.0.4,2025-06-27T13:38:46.213+00:00,62,5,1,0,7,4.457290622788146,65
2025-08-02,1.0.4,2025-06-27T13:38:46.213+00:00,64,5,2,0,7,4.457275942983224,66
2025-08-03,1.0.4,2025-06-27T13:38:46.213+00:00,66,5,2,0,7,4.457285517202743,67
2025-08-04,1.0.4,2025-06-27T13:38:46.213+00:00,67,5,2,0,7,4.457214271711429,67
