date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-04-01,0.0.3,2025-04-01T09:54:27.563+00:00,2,5,1,0,1,4.403204729309272,6
2025-04-01,0.0.3,2025-04-01T09:54:27.563+00:00,2,5,1,0,1,4.403204729309272,6
2025-04-02,0.0.3,2025-04-01T09:54:27.563+00:00,3,5,1,0,1,4.403204729309272,20
2025-04-02,0.0.3,2025-04-01T09:54:27.563+00:00,3,5,1,0,1,4.403204729309272,20
2025-04-03,0.0.6,2025-04-02T22:29:12.76+00:00,4,5,1,0,1,4.403204729309272,27
2025-04-03,0.0.6,2025-04-02T22:29:12.76+00:00,4,5,1,0,1,4.403204729309272,27
2025-04-04,0.0.8,2025-04-03T20:58:54.89+00:00,4,5,1,0,1,4.403204729309272,41
2025-04-04,0.0.8,2025-04-03T20:58:54.89+00:00,4,5,1,0,1,4.403204729309272,41
2025-04-05,0.1.1,2025-04-05T12:01:19.393+00:00,12,5,1,0,1,4.403204729309272,62
2025-04-05,0.1.1,2025-04-05T12:01:19.393+00:00,12,4.75,4,0,1,4.403204729309272,62
2025-04-06,0.1.2,2025-04-05T14:35:11.62+00:00,14,5,1,0,4,4.403204729309272,75
2025-04-06,0.1.2,2025-04-05T14:35:11.62+00:00,14,4.75,4,0,4,4.403204729309272,75
2025-04-07,0.1.2,2025-04-05T14:35:11.62+00:00,37,5,1,0,5,4.403204729309272,81
2025-04-07,0.1.2,2025-04-05T14:35:11.62+00:00,37,5,1,0,5,4.403204729309272,81
2025-04-08,0.1.2,2025-04-05T14:35:11.62+00:00,49,5,5,0,5,4.403204729309272,82
2025-04-08,0.1.2,2025-04-05T14:35:11.62+00:00,49,5,1,0,5,4.403204729309272,82
2025-04-09,0.1.2,2025-04-05T14:35:11.62+00:00,56,5,5,0,5,4.403204729309272,85
2025-04-09,0.1.2,2025-04-05T14:35:11.62+00:00,56,5,5,0,5,4.403204729309272,85
2025-04-10,0.1.2,2025-04-05T14:35:11.62+00:00,56,5,5,0,5,4.403204729309272,87
2025-04-10,0.1.2,2025-04-05T14:35:11.62+00:00,56,5,5,0,5,4.403204729309272,87
2025-04-11,0.1.2,2025-04-05T14:35:11.62+00:00,58,5,3,0,5,4.403204729309272,88
