date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-05-31,0.1.0,2025-05-29T18:41:26.717+00:00,1,5,1,0,2,4.403204729309272,9
2025-06-01,0.1.0,2025-05-29T18:41:26.717+00:00,1,5,2,0,2,4.403204729309272,9
2025-06-02,0.1.0,2025-05-29T18:41:26.717+00:00,2,5,2,0,2,4.403204729309272,10
2025-06-03,0.1.0,2025-05-29T18:41:26.717+00:00,2,5,1,0,2,4.403204729309272,11
2025-06-04,0.1.0,2025-05-29T18:41:26.717+00:00,3,5,1,0,2,4.403204729309272,12
2025-06-05,0.1.0,2025-05-29T18:41:26.717+00:00,3,5,1,0,3,4.403204729309272,12
2025-06-06,0.1.0,2025-05-29T18:41:26.717+00:00,5,5,2,0,1,4.403204729309272,13
2025-06-07,0.1.0,2025-05-29T18:41:26.717+00:00,5,5,3,0,6,4.403204729309272,14
2025-06-08,0.1.0,2025-05-29T18:41:26.717+00:00,6,5,3,0,6,4.403204729309272,15
2025-06-09,0.1.0,2025-05-29T18:41:26.717+00:00,6,5,1,0,6,4.403204729309272,16
2025-06-10,0.1.0,2025-05-29T18:41:26.717+00:00,6,5,1,0,6,4.403204729309272,18
2025-06-11,0.1.0,2025-05-29T18:41:26.717+00:00,6,5,1,0,6,4.403204729309272,19
2025-06-12,0.1.0,2025-05-29T18:41:26.717+00:00,6,5,1,0,3,4.403204729309272,20
2025-06-13,0.1.0,2025-05-29T18:41:26.717+00:00,6,5,1,0,3,4.403204729309272,21
2025-06-14,0.1.0,2025-05-29T18:41:26.717+00:00,6,5,1,0,3,4.403204729309272,22
2025-06-15,0.1.0,2025-05-29T18:41:26.717+00:00,6,5,4,0,3,4.403204729309272,23
2025-06-16,0.1.0,2025-05-29T18:41:26.717+00:00,7,5,1,0,2,4.403204729309272,23
2025-06-17,0.1.0,2025-05-29T18:41:26.717+00:00,7,5,1,0,2,4.403204729309272,23
2025-06-18,0.1.0,2025-05-29T18:41:26.717+00:00,8,5,1,0,1,4.403204729309272,24
2025-06-19,0.1.0,2025-05-29T18:41:26.717+00:00,8,5,1,0,1,4.403204729309272,26
2025-06-20,0.1.0,2025-05-29T18:41:26.717+00:00,8,5,1,0,1,4.403204729309272,27
