date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.2.18,2023-06-23T09:53:52.677+00:00,32613,5,23,0.006134404809373371,19349,4.819152948275537,299
2024-11-26,0.2.18,2023-06-23T09:53:52.677+00:00,32614,5,23,0.006134404809373371,19349,4.819152948275537,299
2024-11-27,0.2.18,2023-06-23T09:53:52.677+00:00,32621,5,23,0,19349,4.819152948275537,299
2024-11-28,0.2.18,2023-06-23T09:53:52.677+00:00,32629,5,23,0.003065134099616858,19349,4.819152948275537,299
2024-11-29,0.2.18,2023-06-23T09:53:52.677+00:00,32644,5,23,0,19349,4.819152948275537,299
2024-11-30,0.2.18,2023-06-23T09:53:52.677+00:00,32653,5,23,0.0030627871362940273,19352,4.819152948275537,299
2024-12-01,0.2.18,2023-06-23T09:53:52.677+00:00,32660,5,23,0,19352,4.819152948275537,299
2024-12-02,0.2.18,2023-06-23T09:53:52.677+00:00,32672,5,23,0,19352,4.819152948275537,299
2024-12-03,0.2.18,2023-06-23T09:53:52.677+00:00,32683,5,23,0.003060069157562961,19352,4.819152948275537,300
2024-12-04,0.2.18,2023-06-23T09:53:52.677+00:00,32699,5,23,0,19355,4.819152948275537,300
2024-12-05,0.2.18,2023-06-23T09:53:52.677+00:00,32715,5,23,0,19355,4.819152948275537,300
2024-12-06,0.2.18,2023-06-23T09:53:52.677+00:00,32726,5,23,0,19355,4.819152948275537,300
2024-12-07,0.2.18,2023-06-23T09:53:52.677+00:00,32734,5,23,0,19355,4.819152948275537,315
2024-12-08,0.2.18,2023-06-23T09:53:52.677+00:00,32741,5,23,0,19356,4.819152948275537,320
2024-12-09,0.2.18,2023-06-23T09:53:52.677+00:00,32753,5,23,0.003053808098699078,19357,4.819152948275537,320
2024-12-10,0.2.18,2023-06-23T09:53:52.677+00:00,32765,5,23,0,19357,4.819152948275537,320
2024-12-11,0.2.18,2023-06-23T09:53:52.677+00:00,32774,5,23,0,19360,4.819152948275537,320
