date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-05-17,0.3.0,2026-05-16T16:12:15.08+00:00,4,5,1,0,3,4.50379692580133,47
2026-05-18,0.4.0,2026-05-18T02:25:35.147+00:00,5,5,1,0,3,4.5037657738821775,59
2026-05-19,0.4.0,2026-05-18T02:25:35.147+00:00,8,5,1,0,4,4.5036424611732855,67
2026-05-20,0.4.0,2026-05-18T02:25:35.147+00:00,8,5,1,0,5,4.5036046416628395,71
2026-05-21,0.4.0,2026-05-18T02:25:35.147+00:00,8,5,1,0,5,4.503653120242159,75
2026-05-22,0.5.0,2026-05-21T16:44:23.503+00:00,11,5,1,0,10,4.503706038281658,89
2026-05-23,0.5.1,2026-05-22T21:12:12.92+00:00,11,5,1,0,17,4.503717060232235,103
2026-05-24,0.6.0,2026-05-23T16:44:58.287+00:00,11,5,1,0,21,4.5037974370392355,117
2026-05-25,0.6.0,2026-05-23T16:44:58.287+00:00,11,5,1,0,22,4.503837389563335,123
2026-05-26,0.6.0,2026-05-23T16:44:58.287+00:00,12,5,1,0,24,4.503854365659063,127
2026-05-27,0.6.1,2026-05-27T14:30:45.283+00:00,13,5,1,0,24,4.503873400590205,134
2026-05-28,0.6.1,2026-05-27T14:30:45.283+00:00,13,5,1,0,31,4.503863306586284,144
2026-05-29,0.6.1,2026-05-27T14:30:45.283+00:00,13,5,1,0,32,4.50382977099922,150
2026-05-30,0.6.1,2026-05-27T14:30:45.283+00:00,13,5,1,0,33,4.503845711673971,157
2026-05-31,0.7.0,2026-05-30T13:56:51.42+00:00,13,5,1,0,35,4.503839176191725,172
2026-06-01,0.7.0,2026-05-30T13:56:51.42+00:00,13,5,1,0,37,4.503862242482144,177
2026-06-02,0.7.0,2026-05-30T13:56:51.42+00:00,13,5,1,0,38,4.503781509546583,179
2026-06-03,0.7.0,2026-05-30T13:56:51.42+00:00,13,5,1,0,38,4.503716655709269,181
2026-06-04,0.7.0,2026-05-30T13:56:51.42+00:00,13,5,1,0,38,4.5037132858958895,193
2026-06-05,0.7.0,2026-05-30T13:56:51.42+00:00,14,5,1,0,38,4.503605249874365,196
2026-06-06,0.7.0,2026-05-30T13:56:51.42+00:00,14,5,1,0,38,4.503430320908198,199
2026-06-07,0.7.0,2026-05-30T13:56:51.42+00:00,14,5,1,0,39,4.5034299942693785,199
