date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.4.6,2024-10-08T09:30:58.88+00:00,2097,5,1,0,2395,4.403204729309272,79
2024-11-26,0.4.6,2024-10-08T09:30:58.88+00:00,2098,5,1,0,2395,4.403204729309272,79
2024-11-27,0.4.6,2024-10-08T09:30:58.88+00:00,2102,5,2,0,2396,4.403204729309272,79
2024-11-28,0.4.6,2024-10-08T09:30:58.88+00:00,2106,5,1,0.047505938242280284,2396,4.403204729309272,79
2024-11-29,0.4.6,2024-10-08T09:30:58.88+00:00,2107,5,2,0,2398,4.403204729309272,79
2024-11-30,0.4.6,2024-10-08T09:30:58.88+00:00,2109,5,2,0,2399,4.403204729309272,79
2024-12-01,0.4.6,2024-10-08T09:30:58.88+00:00,2110,5,1,0,2399,4.403204729309272,79
2024-12-02,0.4.6,2024-10-08T09:30:58.88+00:00,2111,5,1,0,2401,4.403204729309272,79
2024-12-03,0.4.6,2024-10-08T09:30:58.88+00:00,2113,5,2,0.047326076668244205,2404,4.403204729309272,79
2024-12-04,0.4.6,2024-10-08T09:30:58.88+00:00,2113,5,2,0,2405,4.403204729309272,79
