date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-01-06,1.0.1,2025-01-05T16:12:57.623+00:00,1,5,1,0,3,4.403204729309272,6
2025-01-07,1.0.1,2025-01-05T16:12:57.623+00:00,2,5,1,0,13,4.403204729309272,6
2025-01-08,1.0.1,2025-01-05T16:12:57.623+00:00,2,5,1,0,8,4.403204729309272,6
2025-01-09,1.0.1,2025-01-05T16:12:57.623+00:00,3,5,1,0,8,4.403204729309272,6
2025-01-10,1.0.1,2025-01-05T16:12:57.623+00:00,4,5,1,0,1,4.403204729309272,6
2025-01-11,1.0.1,2025-01-05T16:12:57.623+00:00,5,5,1,0,3,4.403204729309272,8
2025-01-12,1.0.1,2025-01-05T16:12:57.623+00:00,7,5,1,0,8,4.403204729309272,8
2025-01-13,1.0.1,2025-01-05T16:12:57.623+00:00,10,5,1,0,3,4.403204729309272,8
2025-01-14,1.0.1,2025-01-05T16:12:57.623+00:00,12,5,2,0,2,4.403204729309272,8
2025-01-15,1.0.1,2025-01-05T16:12:57.623+00:00,12,5,2,0,3,4.403204729309272,8
2025-01-16,1.0.1,2025-01-05T16:12:57.623+00:00,13,5,2,0,3,4.403204729309272,8
2025-01-17,1.0.1,2025-01-05T16:12:57.623+00:00,13,5,1,0,22,4.403204729309272,8
2025-01-18,1.0.1,2025-01-05T16:12:57.623+00:00,14,5,1,0,3,4.403204729309272,8
2025-01-19,1.0.1,2025-01-05T16:12:57.623+00:00,15,5,2,0,1,4.403204729309272,8
2025-01-20,1.0.1,2025-01-05T16:12:57.623+00:00,16,5,2,0,1,4.403204729309272,8
2025-01-21,1.0.1,2025-01-05T16:12:57.623+00:00,17,5,2,0,8,4.403204729309272,10
2025-01-22,1.0.1,2025-01-05T16:12:57.623+00:00,19,5,2,0,3,4.403204729309272,10
2025-01-23,1.0.1,2025-01-05T16:12:57.623+00:00,24,5,1,0,6,4.403204729309272,10
2025-01-24,1.0.1,2025-01-05T16:12:57.623+00:00,28,5,1,0,20,4.403204729309272,10
2025-01-25,1.0.1,2025-01-05T16:12:57.623+00:00,29,5,1,0,11,4.403204729309272,10
2025-01-26,1.0.1,2025-01-05T16:12:57.623+00:00,34,5,1,0,17,4.403204729309272,10
2025-01-27,1.0.1,2025-01-05T16:12:57.623+00:00,34,5,1,0,17,4.403204729309272,10
2025-01-28,1.0.1,2025-01-05T16:12:57.623+00:00,37,5,1,0,28,4.403204729309272,10
2025-01-29,1.0.1,2025-01-05T16:12:57.623+00:00,40,4,1,0,1,4.403204729309272,10
2025-01-30,1.0.1,2025-01-05T16:12:57.623+00:00,40,5,1,0,3,4.403204729309272,10
2025-01-31,1.0.1,2025-01-05T16:12:57.623+00:00,41,5,1,0,3,4.403204729309272,10
2025-02-01,1.0.1,2025-01-05T16:12:57.623+00:00,42,5,1,0,3,4.403204729309272,10
2025-02-02,1.0.1,2025-01-05T16:12:57.623+00:00,42,5,1,0,1,4.403204729309272,10
2025-02-03,1.0.1,2025-01-05T16:12:57.623+00:00,44,4,1,0,87,4.403204729309272,10
2025-02-04,1.0.1,2025-01-05T16:12:57.623+00:00,46,5,1,0,4,4.403204729309272,10
2025-02-05,1.0.1,2025-01-05T16:12:57.623+00:00,48,5,1,0,2,4.403204729309272,10
2025-02-06,1.0.1,2025-01-05T16:12:57.623+00:00,51,5,1,0,187,4.403204729309272,10
2025-02-07,1.0.1,2025-01-05T16:12:57.623+00:00,53,5,1,0,3,4.403204729309272,10
2025-02-08,1.0.1,2025-01-05T16:12:57.623+00:00,56,5,1,0,26,4.403204729309272,10
2025-02-09,1.0.1,2025-01-05T16:12:57.623+00:00,57,5,1,0,85,4.403204729309272,10
2025-02-10,1.0.1,2025-01-05T16:12:57.623+00:00,59,5,1,0,2,4.403204729309272,10
2025-02-11,1.0.1,2025-01-05T16:12:57.623+00:00,61,5,1,0,2,4.403204729309272,10
2025-02-12,1.0.1,2025-01-05T16:12:57.623+00:00,66,5,1,0,6,4.403204729309272,10
2025-02-13,1.0.1,2025-01-05T16:12:57.623+00:00,67,5,1,0,1,4.403204729309272,12
2025-02-14,1.0.1,2025-01-05T16:12:57.623+00:00,67,5,1,0,9,4.403204729309272,12
2025-02-15,1.0.1,2025-01-05T16:12:57.623+00:00,70,5,1,0,5,4.403204729309272,12
2025-02-16,1.0.1,2025-01-05T16:12:57.623+00:00,71,5,1,0,5,4.403204729309272,12
2025-02-17,1.0.1,2025-01-05T16:12:57.623+00:00,72,5,2,0,5,4.403204729309272,12
2025-02-18,1.0.1,2025-01-05T16:12:57.623+00:00,74,5,1,0,9,4.403204729309272,12
2025-02-19,1.0.1,2025-01-05T16:12:57.623+00:00,77,5,1,0,8,4.403204729309272,12
2025-02-20,1.0.1,2025-01-05T16:12:57.623+00:00,82,5,1,0,5,4.403204729309272,14
2025-02-21,1.0.1,2025-01-05T16:12:57.623+00:00,83,5,1,0,100,4.403204729309272,14
2025-02-22,1.0.1,2025-01-05T16:12:57.623+00:00,86,5,1,0,21,4.403204729309272,14
2025-02-23,1.0.1,2025-01-05T16:12:57.623+00:00,89,5,6,0,32,4.403204729309272,14
2025-02-24,1.0.1,2025-01-05T16:12:57.623+00:00,91,5,6,0,5,4.403204729309272,14
2025-02-25,1.0.1,2025-01-05T16:12:57.623+00:00,92,5,6,0,5,4.403204729309272,14
2025-02-26,1.0.1,2025-01-05T16:12:57.623+00:00,93,5,6,0,49,4.403204729309272,14
2025-02-27,1.0.1,2025-01-05T16:12:57.623+00:00,96,5,1,0,12,4.403204729309272,14
2025-02-28,1.0.1,2025-01-05T16:12:57.623+00:00,98,5,1,0,13,4.403204729309272,14
2025-03-01,1.0.1,2025-01-05T16:12:57.623+00:00,98,5,1,0,13,4.403204729309272,14
2025-03-02,1.0.1,2025-01-05T16:12:57.623+00:00,99,5,1,0,13,4.403204729309272,14
2025-03-03,1.0.1,2025-01-05T16:12:57.623+00:00,101,5,1,0,16,4.403204729309272,16
