date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,1.0.6,2023-08-23T20:54:11.3+00:00,715,5,1,0,304,4.403204729309272,25
2024-11-26,1.0.6,2023-08-23T20:54:11.3+00:00,715,5,1,0,304,4.403204729309272,25
2024-11-27,1.0.6,2023-08-23T20:54:11.3+00:00,720,5,7,0,575,4.403204729309272,25
2024-11-28,1.0.6,2023-08-23T20:54:11.3+00:00,720,5,7,0,579,4.403204729309272,25
2024-11-29,1.0.6,2023-08-23T20:54:11.3+00:00,722,5,2,0,47,4.403204729309272,25
2024-11-30,1.0.6,2023-08-23T20:54:11.3+00:00,723,5,2,0,47,4.403204729309272,25
2024-12-01,1.0.6,2023-08-23T20:54:11.3+00:00,726,5,2,0,47,4.403204729309272,25
2024-12-02,1.0.6,2023-08-23T20:54:11.3+00:00,732,5,2,0,47,4.403204729309272,25
2024-12-03,1.0.6,2023-08-23T20:54:11.3+00:00,733,5,2,0,47,4.403204729309272,25
2024-12-04,1.0.6,2023-08-23T20:54:11.3+00:00,734,5,2,0,47,4.403204729309272,25
2024-12-05,1.0.6,2023-08-23T20:54:11.3+00:00,735,5,7,0,317,4.403204729309272,25
2024-12-06,1.0.6,2023-08-23T20:54:11.3+00:00,736,5,1,0,554,4.403204729309272,25
2024-12-07,1.0.6,2023-08-23T20:54:11.3+00:00,737,5,1,0,317,4.403204729309272,25
2024-12-08,1.0.6,2023-08-23T20:54:11.3+00:00,737,5,1,0,317,4.403204729309272,26
2024-12-09,1.0.6,2023-08-23T20:54:11.3+00:00,738,5,1,0,317,4.403204729309272,30
2024-12-10,1.0.6,2023-08-23T20:54:11.3+00:00,739,5,1,0,317,4.403204729309272,30
2024-12-11,1.0.6,2023-08-23T20:54:11.3+00:00,740,5,1,0,317,4.403204729309272,30
2024-12-12,1.0.6,2023-08-23T20:54:11.3+00:00,741,5,6,0,317,4.403204729309272,30
2024-12-13,1.0.6,2023-08-23T20:54:11.3+00:00,743,5,1,0,317,4.403204729309272,30
2024-12-14,1.0.6,2023-08-23T20:54:11.3+00:00,745,5,1,0,50,4.403204729309272,30
2024-12-15,1.0.6,2023-08-23T20:54:11.3+00:00,747,5,1,0,50,4.403204729309272,33
2024-12-16,1.0.6,2023-08-23T20:54:11.3+00:00,749,5,1,0,50,4.403204729309272,33
2024-12-17,1.0.6,2023-08-23T20:54:11.3+00:00,749,5,1,0,55,4.403204729309272,33
2024-12-17,1.0.6,2023-08-23T20:54:11.3+00:00,750,5,1,0,55,4.403204729309272,33
2024-12-18,1.0.6,2023-08-23T20:54:11.3+00:00,750,5,1,0,55,4.403204729309272,33
2024-12-19,1.0.6,2023-08-23T20:54:11.3+00:00,753,5,1,0,55,4.403204729309272,33
2024-12-20,1.0.6,2023-08-23T20:54:11.3+00:00,754,5,1,0,55,4.403204729309272,33
2024-12-21,1.0.6,2023-08-23T20:54:11.3+00:00,755,5,1,0,55,4.403204729309272,35
2024-12-22,1.0.6,2023-08-23T20:54:11.3+00:00,756,5,1,0,55,4.403204729309272,35
2024-12-23,1.0.6,2023-08-23T20:54:11.3+00:00,758,5,1,0,55,4.403204729309272,35
2024-12-24,1.0.6,2023-08-23T20:54:11.3+00:00,760,4.947368621826172,19,0,1598,4.403204729309272,35
2024-12-25,1.0.6,2023-08-23T20:54:11.3+00:00,761,4.947368621826172,19,0,50,4.403204729309272,35
2024-12-26,1.0.6,2023-08-23T20:54:11.3+00:00,762,4.947368621826172,19,0,50,4.403204729309272,35
2024-12-27,1.0.6,2023-08-23T20:54:11.3+00:00,762,4.947368621826172,19,0,50,4.403204729309272,35
2024-12-28,1.0.6,2023-08-23T20:54:11.3+00:00,764,4.947368621826172,19,0,50,4.403204729309272,35
2024-12-29,1.0.6,2023-08-23T20:54:11.3+00:00,767,4.947368621826172,19,0,50,4.403204729309272,35
2024-12-30,1.0.6,2023-08-23T20:54:11.3+00:00,770,4.947368621826172,19,0,50,4.403204729309272,35
2024-12-31,1.0.6,2023-08-23T20:54:11.3+00:00,772,4.947368621826172,19,0,50,4.403204729309272,35
2025-01-01,1.0.6,2023-08-23T20:54:11.3+00:00,774,4.947368621826172,19,0,50,4.403204729309272,35
2025-01-02,1.0.6,2023-08-23T20:54:11.3+00:00,775,5,1,0,50,4.403204729309272,35
2025-01-03,1.0.6,2023-08-23T20:54:11.3+00:00,776,5,1,0,50,4.403204729309272,35
2025-01-04,1.0.6,2023-08-23T20:54:11.3+00:00,777,5,1,0,50,4.403204729309272,36
2025-01-05,1.0.6,2023-08-23T20:54:11.3+00:00,780,5,1,0,55,4.403204729309272,36
2025-01-06,1.0.6,2023-08-23T20:54:11.3+00:00,783,5,1,0,55,4.403204729309272,36
2025-01-07,1.0.6,2023-08-23T20:54:11.3+00:00,784,5,3,0,55,4.403204729309272,36
2025-01-08,1.0.6,2023-08-23T20:54:11.3+00:00,784,5,3,0,56,4.403204729309272,36
2025-01-09,1.0.6,2023-08-23T20:54:11.3+00:00,786,5,3,0,48,4.403204729309272,36
2025-01-10,1.0.6,2023-08-23T20:54:11.3+00:00,789,5,3,0,55,4.403204729309272,36
2025-01-11,1.0.6,2023-08-23T20:54:11.3+00:00,792,5,3,0,55,4.403204729309272,36
2025-01-12,1.0.6,2023-08-23T20:54:11.3+00:00,793,5,3,0,55,4.403204729309272,36
2025-01-13,1.0.6,2023-08-23T20:54:11.3+00:00,795,5,3,0,55,4.403204729309272,36
2025-01-14,1.0.6,2023-08-23T20:54:11.3+00:00,795,5,3,0,55,4.403204729309272,36
2025-01-15,1.0.6,2023-08-23T20:54:11.3+00:00,796,5,3,0,55,4.403204729309272,36
2025-01-16,1.0.6,2023-08-23T20:54:11.3+00:00,797,5,3,0,48,4.403204729309272,36
2025-01-17,1.0.6,2023-08-23T20:54:11.3+00:00,798,5,3,0,55,4.403204729309272,36
2025-01-18,1.0.6,2023-08-23T20:54:11.3+00:00,800,5,3,0,49,4.403204729309272,36
2025-01-19,1.0.6,2023-08-23T20:54:11.3+00:00,801,5,3,0,49,4.403204729309272,36
2025-01-20,1.0.6,2023-08-23T20:54:11.3+00:00,802,5,3,0,49,4.403204729309272,36
2025-01-21,1.0.6,2023-08-23T20:54:11.3+00:00,806,5,7,0,49,4.403204729309272,36
2025-01-22,1.0.6,2023-08-23T20:54:11.3+00:00,810,5,3,0,49,4.403204729309272,36
2025-01-23,1.0.6,2023-08-23T20:54:11.3+00:00,812,5,3,0,49,4.403204729309272,36
2025-01-24,1.0.6,2023-08-23T20:54:11.3+00:00,813,5,3,0,49,4.403204729309272,36
2025-01-25,1.0.6,2023-08-23T20:54:11.3+00:00,813,5,3,0,49,4.403204729309272,36
2025-01-26,1.0.6,2023-08-23T20:54:11.3+00:00,815,5,3,0.1226993865030675,49,4.403204729309272,36
2025-01-27,1.0.6,2023-08-23T20:54:11.3+00:00,816,5,3,0,11,4.403204729309272,36
2025-01-28,1.0.6,2023-08-23T20:54:11.3+00:00,817,5,3,0,49,4.403204729309272,36
2025-01-29,1.0.6,2023-08-23T20:54:11.3+00:00,820,5,3,0,49,4.403204729309272,36
2025-01-30,1.0.6,2023-08-23T20:54:11.3+00:00,821,5,3,0,49,4.403204729309272,36
2025-01-31,1.0.6,2023-08-23T20:54:11.3+00:00,822,5,3,0,49,4.403204729309272,36
2025-02-01,1.0.6,2023-08-23T20:54:11.3+00:00,824,5,3,0,49,4.403204729309272,36
2025-02-02,1.0.6,2023-08-23T20:54:11.3+00:00,824,5,1,0,278,4.403204729309272,36
2025-02-03,1.0.6,2023-08-23T20:54:11.3+00:00,825,5,1,0,278,4.403204729309272,37
2025-02-04,1.0.6,2023-08-23T20:54:11.3+00:00,826,5,8,0,3805,4.403204729309272,37
2025-02-05,1.0.6,2023-08-23T20:54:11.3+00:00,828,5,8,0,3805,4.403204729309272,37
2025-02-06,1.0.6,2023-08-23T20:54:11.3+00:00,830,5,3,0,58,4.403204729309272,37
2025-02-07,1.0.6,2023-08-23T20:54:11.3+00:00,831,5,3,0,173,4.403204729309272,37
2025-02-08,1.0.6,2023-08-23T20:54:11.3+00:00,834,5,3,0,58,4.403204729309272,37
2025-02-09,1.0.6,2023-08-23T20:54:11.3+00:00,835,5,3,0,58,4.403204729309272,37
2025-02-10,1.0.6,2023-08-23T20:54:11.3+00:00,840,5,3,0,58,4.403204729309272,37
2025-02-11,1.0.6,2023-08-23T20:54:11.3+00:00,841,5,1,0,100,4.403204729309272,37
2025-02-12,1.0.6,2023-08-23T20:54:11.3+00:00,842,5,1,0,100,4.403204729309272,37
2025-02-13,1.0.6,2023-08-23T20:54:11.3+00:00,845,5,1,0,100,4.403204729309272,38
2025-02-14,1.0.6,2023-08-23T20:54:11.3+00:00,845,5,3,0,58,4.403204729309272,39
2025-02-15,1.0.6,2023-08-23T20:54:11.3+00:00,845,5,2,0,17,4.403204729309272,42
2025-02-16,1.0.6,2023-08-23T20:54:11.3+00:00,845,5,2,0,17,4.403204729309272,42
2025-02-17,1.0.6,2023-08-23T20:54:11.3+00:00,845,5,2,0,17,4.403204729309272,42
2025-02-18,1.0.6,2023-08-23T20:54:11.3+00:00,848,5,2,0,17,4.403204729309272,42
