date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-06-23,1.3.2,2025-06-23T01:46:27.82+00:00,1,5,1,0,6,4.403204729309272,2
2025-06-23,1.3.2,2025-06-23T01:46:27.82+00:00,1,5,1,0,6,4.403204729309272,2
2025-06-23,1.3.2,2025-06-23T01:46:27.82+00:00,1,5,1,0,6,4.403204729309272,2
2025-06-24,1.3.2,2025-06-23T01:46:27.82+00:00,2,5,1,0,14,4.403204729309272,3
2025-06-24,1.3.2,2025-06-23T01:46:27.82+00:00,2,5,1,0,14,4.403204729309272,3
2025-06-24,1.3.2,2025-06-23T01:46:27.82+00:00,2,5,1,0,14,4.403204729309272,3
2025-06-25,1.3.2,2025-06-23T01:46:27.82+00:00,5,5,1,0,16,4.403204729309272,6
2025-06-25,1.3.2,2025-06-23T01:46:27.82+00:00,5,5,1,0,16,4.403204729309272,6
2025-06-25,1.3.2,2025-06-23T01:46:27.82+00:00,5,5,1,0,16,4.403204729309272,6
2025-06-26,1.3.2,2025-06-23T01:46:27.82+00:00,7,5,1,0,16,4.403204729309272,6
2025-06-26,1.3.2,2025-06-23T01:46:27.82+00:00,7,5,1,0,16,4.403204729309272,6
2025-06-26,1.3.2,2025-06-23T01:46:27.82+00:00,7,5,1,0,16,4.403204729309272,6
2025-06-27,1.3.2,2025-06-23T01:46:27.82+00:00,7,5,1,0,18,4.403204729309272,7
2025-06-27,1.3.2,2025-06-23T01:46:27.82+00:00,7,5,1,0,18,4.403204729309272,7
2025-06-27,1.3.2,2025-06-23T01:46:27.82+00:00,7,5,2,0,18,4.403204729309272,7
2025-06-28,1.3.2,2025-06-23T01:46:27.82+00:00,9,5,1,0,18,4.403204729309272,9
2025-06-28,1.3.2,2025-06-23T01:46:27.82+00:00,9,5,1,0,18,4.403204729309272,9
2025-06-28,1.3.2,2025-06-23T01:46:27.82+00:00,9,5,1,0,18,4.403204729309272,9
2025-06-29,1.3.2,2025-06-23T01:46:27.82+00:00,10,5,3,0,18,4.403204729309272,10
2025-06-29,1.3.2,2025-06-23T01:46:27.82+00:00,10,5,1,0,18,4.403204729309272,10
2025-06-29,1.3.2,2025-06-23T01:46:27.82+00:00,10,5,3,0,18,4.403204729309272,10
2025-06-30,1.3.2,2025-06-23T01:46:27.82+00:00,11,5,3,0,21,4.403204729309272,11
2025-06-30,1.3.2,2025-06-23T01:46:27.82+00:00,11,5,1,0,21,4.403204729309272,11
2025-06-30,1.3.2,2025-06-23T01:46:27.82+00:00,11,5,1,0,21,4.403204729309272,11
