date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-09-10,1.0.6,2025-09-09T21:59:07.913+00:00,27,5,1,0,10,4.455711478122953,44
2025-09-11,1.0.6,2025-09-09T21:59:07.913+00:00,29,5,1,0,12,4.455640797645389,49
2025-09-12,1.0.6,2025-09-09T21:59:07.913+00:00,30,5,1,0,14,4.455289312551226,51
2025-09-13,1.0.6,2025-09-09T21:59:07.913+00:00,31,5,1,0,16,4.4552288639070365,52
2025-09-14,1.0.6,2025-09-09T21:59:07.913+00:00,33,5,1,0,16,4.454242928452579,52
2025-09-15,1.0.6,2025-09-09T21:59:07.913+00:00,35,5,1,0,18,4.4551271466314395,53
2025-09-16,1.0.6,2025-09-09T21:59:07.913+00:00,36,5,1,0,18,4.455069314556057,54
2025-09-17,1.0.6,2025-09-09T21:59:07.913+00:00,36,5,7,0,19,4.455058458027755,55
2025-09-18,1.0.6,2025-09-09T21:59:07.913+00:00,38,5,1,0,19,4.455029508557138,56
2025-09-19,1.0.6,2025-09-09T21:59:07.913+00:00,39,5,4,0,19,4.454980014010797,57
2025-09-20,1.0.6,2025-09-09T21:59:07.913+00:00,41,5,4,0,19,4.454992378572115,59
2025-09-21,1.0.6,2025-09-09T21:59:07.913+00:00,41,5,1,0,19,4.45512516903139,61
2025-09-22,1.0.6,2025-09-09T21:59:07.913+00:00,41,5,1,0,19,4.455145625737736,63
2025-09-23,1.0.6,2025-09-09T21:59:07.913+00:00,42,5,1,0,20,4.455230280535412,65
2025-09-24,1.0.6,2025-09-09T21:59:07.913+00:00,43,5,1,0,20,4.455210012000686,66
2025-09-25,1.0.6,2025-09-09T21:59:07.913+00:00,43,5,1,0,20,4.454936769594571,66
2025-09-26,1.0.6,2025-09-09T21:59:07.913+00:00,44,5,1,0,20,4.454640743176586,66
2025-09-27,1.0.6,2025-09-09T21:59:07.913+00:00,46,5,1,0,20,4.454490673532554,67
2025-09-28,1.0.6,2025-09-09T21:59:07.913+00:00,46,5,1,0,20,4.454505004038827,68
2025-09-29,1.0.6,2025-09-09T21:59:07.913+00:00,46,5,1,0,20,4.454455235474885,69
2025-09-30,1.0.6,2025-09-09T21:59:07.913+00:00,46,5,1,0,20,4.45433647813802,70
2025-10-01,1.0.6,2025-09-09T21:59:07.913+00:00,47,5,1,0,20,4.453834319122021,72
2025-10-02,1.0.6,2025-09-09T21:59:07.913+00:00,47,5,1,0,20,4.453612193288223,73
2025-10-03,1.0.6,2025-09-09T21:59:07.913+00:00,47,5,2,0,20,4.453395995710177,74
2025-10-04,1.0.6,2025-09-09T21:59:07.913+00:00,48,5,2,0,20,4.453127773757015,75
2025-10-05,1.0.6,2025-09-09T21:59:07.913+00:00,49,5,1,0,20,4.453018462273487,75
2025-10-06,1.0.6,2025-09-09T21:59:07.913+00:00,49,5,2,0,20,4.453004633009682,76
2025-10-07,1.0.6,2025-09-09T21:59:07.913+00:00,50,5,1,0,20,4.452742290824017,78
2025-10-08,1.0.6,2025-09-09T21:59:07.913+00:00,51,5,1,0,20,4.452590526968889,79
2025-10-09,1.0.6,2025-09-09T21:59:07.913+00:00,51,5,1,0,20,4.452556535488884,79
2025-10-10,1.0.6,2025-09-09T21:59:07.913+00:00,51,5,1,0,21,4.452215198495954,81
2025-10-11,1.0.6,2025-09-09T21:59:07.913+00:00,52,5,1,0,21,4.452094340650362,83
2025-10-12,1.0.6,2025-09-09T21:59:07.913+00:00,52,5,1,0,21,4.451992513187,83
2025-10-13,1.0.6,2025-09-09T21:59:07.913+00:00,52,5,1,0,21,4.452025064123061,84
2025-10-14,1.0.6,2025-09-09T21:59:07.913+00:00,52,5,1,0,21,4.451773300501993,84
2025-10-15,1.0.6,2025-09-09T21:59:07.913+00:00,54,5,1,0,21,4.45156575064928,84
