date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-11-30,2.0.7,2025-11-20T04:55:15.723+00:00,10,5,1,0,1,4.452511019099773,26
2025-12-02,2.0.7,2025-11-20T04:55:15.723+00:00,11,5,1,0,1,4.4525093432995195,30
2025-12-03,2.0.7,2025-11-20T04:55:15.723+00:00,11,5,1,0,1,4.452543254672305,31
2025-12-04,2.0.7,2025-11-20T04:55:15.723+00:00,12,5,1,0,1,4.452436194895592,31
2025-12-05,2.0.7,2025-11-20T04:55:15.723+00:00,13,5,1,0,1,4.45268825085455,32
2025-12-06,2.0.7,2025-11-20T04:55:15.723+00:00,13,5,1,0,1,4.452994639944069,32
2025-12-07,2.0.7,2025-11-20T04:55:15.723+00:00,13,5,1,0,1,4.453056361651713,34
2025-12-08,2.0.7,2025-11-20T04:55:15.723+00:00,14,5,1,0,1,4.4530176113266045,35
2025-12-09,2.0.7,2025-11-20T04:55:15.723+00:00,14,5,1,0,1,4.453158143215262,36
2025-12-10,2.0.7,2025-11-20T04:55:15.723+00:00,14,5,1,0,1,4.452813887338172,37
2025-12-11,2.0.7,2025-11-20T04:55:15.723+00:00,15,5,1,0,1,4.45188112236427,38
2025-12-12,2.0.7,2025-11-20T04:55:15.723+00:00,16,5,1,0,1,4.451613545552296,39
2025-12-13,2.0.7,2025-11-20T04:55:15.723+00:00,17,5,1,0,1,4.451220482886708,39
2025-12-14,2.0.7,2025-11-20T04:55:15.723+00:00,18,5,1,0,1,4.45116565881604,39
2025-12-15,2.0.7,2025-11-20T04:55:15.723+00:00,18,5,1,0,1,4.451181598223459,39
2025-12-16,2.0.7,2025-11-20T04:55:15.723+00:00,19,5,1,0,1,4.45108432776979,39
2025-12-17,2.0.7,2025-11-20T04:55:15.723+00:00,19,5,1,0,1,4.451159187079087,39
2025-12-18,2.0.7,2025-11-20T04:55:15.723+00:00,19,5,1,0,1,4.450978315549789,39
2025-12-19,2.0.7,2025-11-20T04:55:15.723+00:00,19,5,1,0,1,4.4510051664031645,40
2025-12-20,2.0.7,2025-11-20T04:55:15.723+00:00,20,5,1,0,1,4.451083470544281,42
2025-12-21,2.0.7,2025-11-20T04:55:15.723+00:00,21,5,1,0,1,4.4510405373244835,44
2025-12-22,2.0.7,2025-11-20T04:55:15.723+00:00,21,5,1,0,1,4.451028730428345,44
2025-12-23,2.0.7,2025-11-20T04:55:15.723+00:00,21,5,1,0,1,4.4510223631618935,45
2025-12-24,2.0.7,2025-11-20T04:55:15.723+00:00,21,5,1,0,1,4.451174493320214,46
2025-12-25,2.0.7,2025-11-20T04:55:15.723+00:00,22,5,1,0,1,4.451266850631775,46
2025-12-26,2.0.7,2025-11-20T04:55:15.723+00:00,22,5,1,0,2,4.451345304797165,48
2025-12-27,2.0.7,2025-11-20T04:55:15.723+00:00,23,5,1,0,2,4.45128002111375,48
2025-12-28,2.0.7,2025-11-20T04:55:15.723+00:00,23,5,1,0,2,4.451149690645489,48
2025-12-29,2.0.7,2025-11-20T04:55:15.723+00:00,25,5,1,0,2,4.451195790500933,48
2025-12-30,2.0.7,2025-11-20T04:55:15.723+00:00,25,5,1,0,3,4.451020461976585,49
2025-12-31,2.0.7,2025-11-20T04:55:15.723+00:00,26,5,1,0,3,4.450981167384915,50
2026-01-01,2.0.7,2025-11-20T04:55:15.723+00:00,26,4,1,0,3,4.451067445705515,52
2026-01-02,2.0.7,2025-11-20T04:55:15.723+00:00,26,4,1,0,3,4.448254770032162,54
2026-01-03,2.0.7,2025-11-20T04:55:15.723+00:00,26,5,1,0,3,4.451049848892868,54
2026-01-04,2.0.7,2025-11-20T04:55:15.723+00:00,26,4,1,0,3,4.451136131821562,54
2026-01-05,2.0.7,2025-11-20T04:55:15.723+00:00,26,5,1,0,3,4.4511825268905625,54
2026-01-06,2.0.7,2025-11-20T04:55:15.723+00:00,27,5,1,0,3,4.451311489423261,54
2026-01-07,2.0.7,2025-11-20T04:55:15.723+00:00,27,5,1,0,3,4.451392631343735,55
2026-01-08,2.0.7,2025-11-20T04:55:15.723+00:00,27,5,1,0,3,4.451477513809614,56
2026-01-09,2.2.9,2026-01-08T22:27:30.86+00:00,27,5,1,0,6,4.452780998421339,61
2026-01-10,2.2.11,2026-01-10T01:29:17.497+00:00,27,5,1,0,8,4.45273631840796,71
2026-01-11,2.2.11,2026-01-10T01:29:17.497+00:00,27,5,1,0,10,4.452653002460604,74
2026-01-12,2.3.4,2026-01-12T01:24:29.193+00:00,31,5,1,0,12,4.4526760010468465,89
2026-01-13,2.3.4,2026-01-12T01:24:29.193+00:00,33,5,3,0,13,4.453989335601427,94
2026-01-14,2.3.4,2026-01-12T01:24:29.193+00:00,33,5,2,0,13,4.454015171331415,95
2026-01-15,2.3.4,2026-01-12T01:24:29.193+00:00,33,5,1,0,14,4.453958936613872,98
2026-01-16,2.3.12,2026-01-16T04:21:41.573+00:00,35,5,1,0,15,4.45398392457216,102
2026-01-17,2.3.13,2026-01-17T01:29:12.667+00:00,38,5,1,0,17,4.453894687340797,121
