date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-07-31,0.2.3,2025-07-30T16:47:07.903+00:00,9,5,1,0,6,4.506597315179562,32
2025-07-31,0.2.3,2025-07-30T16:47:07.903+00:00,9,5,1,0,6,4.506597315179562,32
2025-07-31,0.2.3,2025-07-30T16:47:07.903+00:00,9,5,1,0,6,4.506597315179562,32
2025-08-01,0.2.3,2025-07-30T16:47:07.903+00:00,11,5,1,0,6,4.506627838898314,32
2025-08-01,0.2.3,2025-07-30T16:47:07.903+00:00,11,5,1,0,6,4.506627838898314,32
2025-08-01,0.2.3,2025-07-30T16:47:07.903+00:00,11,5,1,0,6,4.506627838898314,32
2025-08-02,0.2.3,2025-07-30T16:47:07.903+00:00,12,5,1,0,6,4.506614493621113,44
2025-08-02,0.2.3,2025-07-30T16:47:07.903+00:00,12,5,1,0,6,4.506614493621113,44
2025-08-02,0.2.3,2025-07-30T16:47:07.903+00:00,12,5,1,0,6,4.506614493621113,44
2025-08-03,0.2.3,2025-07-30T16:47:07.903+00:00,12,5,1,0,6,4.5066231974570385,45
2025-08-03,0.2.3,2025-07-30T16:47:07.903+00:00,12,5,1,0,6,4.5066231974570385,45
2025-08-03,0.2.3,2025-07-30T16:47:07.903+00:00,12,5,1,0,6,4.5066231974570385,45
2025-08-04,0.3.0,2025-08-04T09:28:20.383+00:00,16,5,1,0,8,4.506558428828571,49
2025-08-04,0.3.0,2025-08-04T09:28:20.383+00:00,16,5,1,0,8,4.506558428828571,49
2025-08-04,0.3.0,2025-08-04T09:28:20.383+00:00,16,5,1,0,8,4.506558428828571,49
2025-08-05,0.3.0,2025-08-04T09:28:20.383+00:00,17,5,1,0,12,4.506373357355889,52
2025-08-05,0.3.0,2025-08-04T09:28:20.383+00:00,17,5,1,0,12,4.506373357355889,52
2025-08-05,0.3.0,2025-08-04T09:28:20.383+00:00,17,5,1,0,12,4.506373357355889,52
2025-08-06,0.3.0,2025-08-04T09:28:20.383+00:00,17,5,1,0,12,4.506202596530413,55
2025-08-06,0.3.0,2025-08-04T09:28:20.383+00:00,17,5,1,0,12,4.506202596530413,55
2025-08-06,0.3.0,2025-08-04T09:28:20.383+00:00,17,5,1,0,12,4.506202596530413,55
