date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-02-12,1.0.5,2025-02-11T14:39:37.82+00:00,203,5,4,0,57,4.403204729309272,31
2025-02-13,1.0.5,2025-02-11T14:39:37.82+00:00,219,5,1,0,64,4.403204729309272,31
2025-02-14,1.0.5,2025-02-11T14:39:37.82+00:00,232,5,1,0,64,4.403204729309272,32
2025-02-15,1.0.5,2025-02-11T14:39:37.82+00:00,237,5,1,0,65,4.403204729309272,35
2025-02-16,1.0.5,2025-02-11T14:39:37.82+00:00,239,4,1,0,65,4.403204729309272,35
2025-02-17,1.0.5,2025-02-11T14:39:37.82+00:00,248,4,1,0.4166666666666667,66,4.403204729309272,37
2025-02-18,1.0.5,2025-02-11T14:39:37.82+00:00,265,5,1,0,68,4.403204729309272,45
2025-02-19,1.0.5,2025-02-11T14:39:37.82+00:00,278,5,1,0,71,4.403204729309272,48
2025-02-20,1.0.5,2025-02-11T14:39:37.82+00:00,296,5,1,0,71,4.403204729309272,49
2025-02-21,1.0.5,2025-02-11T14:39:37.82+00:00,308,5,1,0,73,4.403204729309272,53
2025-02-22,1.0.5,2025-02-11T14:39:37.82+00:00,317,5,2,0,73,4.403204729309272,53
2025-02-23,1.0.5,2025-02-11T14:39:37.82+00:00,323,5,2,0,73,4.403204729309272,53
2025-02-24,1.0.5,2025-02-11T14:39:37.82+00:00,339,5,1,0.3067484662576687,74,4.403204729309272,54
2025-02-25,1.0.5,2025-02-11T14:39:37.82+00:00,352,5,2,0,74,4.403204729309272,56
2025-02-26,1.0.5,2025-02-11T14:39:37.82+00:00,365,5,2,0.2808988764044944,74,4.403204729309272,57
