date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,2.1.1,2024-01-19T06:23:01.303+00:00,25140,5,6,0,19061,4.627002955818295,284
2024-11-26,2.1.1,2024-01-19T06:23:01.303+00:00,25143,5,6,0,19062,4.627002955818295,284
2024-11-27,2.1.1,2024-01-19T06:23:01.303+00:00,25159,5,6,0,19064,4.627002955818295,285
2024-11-28,2.1.1,2024-01-19T06:23:01.303+00:00,25179,5,6,0.003972668043858255,19064,4.627002955818295,285
2024-11-29,2.1.1,2024-01-19T06:23:01.303+00:00,25192,5,6,0.0039703021399928535,19066,4.627002955818295,285
2024-11-30,2.1.1,2024-01-19T06:23:01.303+00:00,25204,5,6,0,19066,4.627002955818295,285
2024-12-01,2.1.1,2024-01-19T06:23:01.303+00:00,25216,5,6,0.003966365222909726,19068,4.627002955818295,285
2024-12-02,2.1.1,2024-01-19T06:23:01.303+00:00,25229,5,6,0,19068,4.627002955818295,285
2024-12-03,2.1.1,2024-01-19T06:23:01.303+00:00,25247,5,6,0.003961808169248445,19071,4.627002955818295,286
2024-12-04,2.1.1,2024-01-19T06:23:01.303+00:00,25269,5,6,0.003958984916267469,19074,4.627002955818295,286
2024-12-05,2.1.1,2024-01-19T06:23:01.303+00:00,25282,5,6,0,19078,4.627002955818295,286
2024-12-06,2.1.1,2024-01-19T06:23:01.303+00:00,25292,5,6,0,19080,4.627002955818295,286
2024-12-07,2.1.1,2024-01-19T06:23:01.303+00:00,25307,5,6,0.003952569169960474,19083,4.627002955818295,287
2024-12-08,2.1.1,2024-01-19T06:23:01.303+00:00,25311,5,6,0,19084,4.627002955818295,287
2024-12-09,2.1.1,2024-01-19T06:23:01.303+00:00,25329,5,6,0,19086,4.627002955818295,287
2024-12-10,2.1.1,2024-01-19T06:23:01.303+00:00,25343,5,6,0.003946485654524646,19087,4.627002955818295,287
2024-12-11,2.1.1,2024-01-19T06:23:01.303+00:00,25358,5,6,0.003944461975386558,19088,4.627002955818295,287
2024-12-12,2.1.1,2024-01-19T06:23:01.303+00:00,25372,5,6,0,19091,4.627002955818295,287
2024-12-13,2.1.1,2024-01-19T06:23:01.303+00:00,25391,5,6,0,19092,4.627002955818295,287
2024-12-14,2.1.1,2024-01-19T06:23:01.303+00:00,25406,5,6,0,19092,4.627002955818295,287
2024-12-15,2.1.1,2024-01-19T06:23:01.303+00:00,25419,5,6,0,19094,4.627002955818295,292
2024-12-16,2.1.1,2024-01-19T06:23:01.303+00:00,25436,5,6,0,19094,4.627002955818295,293
2024-12-17,2.1.1,2024-01-19T06:23:01.303+00:00,25444,5,6,0,19094,4.627002955818295,293
2024-12-17,2.1.1,2024-01-19T06:23:01.303+00:00,25453,5,6,0.003929890749037177,19094,4.627002955818295,294
2024-12-18,2.1.1,2024-01-19T06:23:01.303+00:00,25469,5,6,0,19094,4.627002955818295,294
2024-12-19,2.1.1,2024-01-19T06:23:01.303+00:00,25482,5,6,0,19096,4.627002955818295,294
2024-12-20,2.1.1,2024-01-19T06:23:01.303+00:00,25495,5,6,0,19099,4.627002955818295,294
2024-12-21,2.1.1,2024-01-19T06:23:01.303+00:00,25504,5,6,0,19100,4.627002955818295,296
2024-12-22,2.1.1,2024-01-19T06:23:01.303+00:00,25515,5,6,0.007839140830165015,19100,4.627002955818295,296
2024-12-23,2.1.1,2024-01-19T06:23:01.303+00:00,25521,5,6,0,19102,4.627002955818295,296
2024-12-24,2.1.1,2024-01-19T06:23:01.303+00:00,25530,5,6,0,19104,4.627002955818295,296
2024-12-25,2.1.1,2024-01-19T06:23:01.303+00:00,25540,5,6,0,19104,4.627002955818295,296
2024-12-26,2.1.1,2024-01-19T06:23:01.303+00:00,25547,5,6,0,19104,4.627002955818295,296
2024-12-27,2.1.1,2024-01-19T06:23:01.303+00:00,25555,5,6,0,19104,4.627002955818295,296
2024-12-28,2.1.1,2024-01-19T06:23:01.303+00:00,25567,5,6,0.007823501799405413,19104,4.627002955818295,297
2024-12-29,2.1.1,2024-01-19T06:23:01.303+00:00,25576,5,6,0,19105,4.627002955818295,297
2024-12-30,2.1.1,2024-01-19T06:23:01.303+00:00,25581,5,6,0,19105,4.627002955818295,297
2024-12-31,2.1.1,2024-01-19T06:23:01.303+00:00,25590,5,6,0.003908081913396905,19106,4.627002955818295,297
2025-01-01,2.1.1,2024-01-19T06:23:01.303+00:00,25601,5,6,0,19106,4.627002955818295,297
2025-01-02,2.1.1,2024-01-19T06:23:01.303+00:00,25607,5,6,0,19109,4.627002955818295,297
2025-01-03,2.1.1,2024-01-19T06:23:01.303+00:00,25616,5,6,0.0039041149371437495,19109,4.627002955818295,297
2025-01-04,2.1.1,2024-01-19T06:23:01.303+00:00,25622,5,6,0,19109,4.627002955818295,299
2025-01-05,2.1.1,2024-01-19T06:23:01.303+00:00,25629,5,6,0,19111,4.627002955818295,299
2025-01-06,2.1.1,2024-01-19T06:23:01.303+00:00,25639,5,6,0,19111,4.627002955818295,299
2025-01-07,2.1.1,2024-01-19T06:23:01.303+00:00,25655,5,6,0.003898939488459139,19111,4.627002955818295,299
2025-01-08,2.1.1,2024-01-19T06:23:01.303+00:00,25675,5,6,0,19111,4.627002955818295,300
2025-01-09,2.1.1,2024-01-19T06:23:01.303+00:00,25698,5,6,0,19112,4.627002955818295,300
2025-01-10,2.1.1,2024-01-19T06:23:01.303+00:00,25713,5,6,0,19112,4.627002955818295,300
2025-01-11,2.1.1,2024-01-19T06:23:01.303+00:00,25730,5,6,0,19112,4.627002955818295,300
2025-01-12,2.1.1,2024-01-19T06:23:01.303+00:00,25739,5,6,0,19112,4.627002955818295,300
2025-01-13,2.1.1,2024-01-19T06:23:01.303+00:00,25749,5,6,0.007768800497203231,19112,4.627002955818295,300
2025-01-14,2.1.1,2024-01-19T06:23:01.303+00:00,25765,5,6,0,19113,4.627002955818295,300
2025-01-15,2.1.1,2024-01-19T06:23:01.303+00:00,25776,5,6,0,19114,4.627002955818295,300
2025-01-16,2.1.1,2024-01-19T06:23:01.303+00:00,25788,5,6,0,19116,4.627002955818295,300
2025-01-17,2.1.1,2024-01-19T06:23:01.303+00:00,25802,5,6,0,19116,4.627002955818295,300
2025-01-18,2.1.1,2024-01-19T06:23:01.303+00:00,25814,5,6,0.007748934521503293,19116,4.627002955818295,300
2025-01-19,2.1.1,2024-01-19T06:23:01.303+00:00,25822,5,6,0.007746233394012162,19116,4.627002955818295,300
2025-01-20,2.1.1,2024-01-19T06:23:01.303+00:00,25833,5,6,0,19116,4.627002955818295,300
2025-01-21,2.1.1,2024-01-19T06:23:01.303+00:00,25844,5,6,0.0038698192794396503,19117,4.627002955818295,300
2025-01-22,2.1.1,2024-01-19T06:23:01.303+00:00,25850,5,6,0,19117,4.627002955818295,316
2025-01-23,2.1.1,2024-01-19T06:23:01.303+00:00,25864,5,6,0,19118,4.627002955818295,316
2025-01-24,2.1.1,2024-01-19T06:23:01.303+00:00,25876,5,6,0,19118,4.627002955818295,316
2025-01-25,2.1.1,2024-01-19T06:23:01.303+00:00,25889,5,6,0,19120,4.627002955818295,316
2025-01-26,2.1.1,2024-01-19T06:23:01.303+00:00,25902,5,6,0.003861003861003861,19120,4.627002955818295,316
2025-01-27,2.1.1,2024-01-19T06:23:01.303+00:00,25915,5,6,0,19120,4.627002955818295,316
2025-01-28,2.1.1,2024-01-19T06:23:01.303+00:00,25927,5,6,0,19120,4.627002955818295,316
2025-01-29,2.1.1,2024-01-19T06:23:01.303+00:00,25937,5,6,0,19120,4.627002955818295,316
2025-01-30,2.1.1,2024-01-19T06:23:01.303+00:00,25945,5,6,0,19120,4.627002955818295,316
2025-01-31,2.1.1,2024-01-19T06:23:01.303+00:00,25958,5,6,0,19120,4.627002955818295,316
2025-02-01,2.1.1,2024-01-19T06:23:01.303+00:00,25971,5,6,0.003850893407270487,19120,4.627002955818295,316
2025-02-02,2.1.1,2024-01-19T06:23:01.303+00:00,25984,5,6,0,19120,4.627002955818295,316
2025-02-03,2.1.1,2024-01-19T06:23:01.303+00:00,26006,5,6,0.007693491306354824,19120,4.627002955818295,317
2025-02-04,2.1.1,2024-01-19T06:23:01.303+00:00,26029,5,6,0,19122,4.627002955818295,317
2025-02-05,2.1.1,2024-01-19T06:23:01.303+00:00,26042,5,6,0.0038409832917226812,19123,4.627002955818295,317
2025-02-06,2.1.1,2024-01-19T06:23:01.303+00:00,26054,5,6,0,19123,4.627002955818295,317
2025-02-07,2.1.1,2024-01-19T06:23:01.303+00:00,26074,5,6,0,19123,4.627002955818295,317
2025-02-08,2.1.1,2024-01-19T06:23:01.303+00:00,26081,5,6,0,19123,4.627002955818295,317
2025-02-09,2.1.1,2024-01-19T06:23:01.303+00:00,26093,5,6,0,19124,4.627002955818295,319
2025-02-10,2.1.1,2024-01-19T06:23:01.303+00:00,26108,5,6,0,19125,4.627002955818295,319
2025-02-11,2.1.1,2024-01-19T06:23:01.303+00:00,26120,5,6,0,19127,4.627002955818295,319
2025-02-12,2.1.1,2024-01-19T06:23:01.303+00:00,26134,5,6,0,19130,4.627002955818295,319
2025-02-13,2.1.1,2024-01-19T06:23:01.303+00:00,26149,5,6,0,19130,4.627002955818295,335
