date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-06-18,0.3.0,2026-06-10T15:06:05.633+00:00,8,5,1,0,7,4.45282799404955,208
2026-06-19,0.3.0,2026-06-10T15:06:05.633+00:00,9,5,1,0,7,4.4526559315498595,209
2026-06-20,0.3.0,2026-06-10T15:06:05.633+00:00,9,5,1,0,7,4.452444613040791,210
2026-06-21,0.3.0,2026-06-10T15:06:05.633+00:00,9,5,1,0,7,4.452423621517478,210
2026-06-22,0.3.0,2026-06-10T15:06:05.633+00:00,10,5,1,0,7,4.4522631504914045,210
2026-06-23,0.3.0,2026-06-10T15:06:05.633+00:00,11,5,1,0,7,4.452128667771303,210
2026-06-24,0.3.0,2026-06-10T15:06:05.633+00:00,11,5,1,0,7,4.452149995415788,210
2026-06-25,0.3.0,2026-06-10T15:06:05.633+00:00,12,5,1,0,7,4.4521336396519695,210
2026-06-26,0.3.0,2026-06-10T15:06:05.633+00:00,14,5,1,0,7,4.452177949331835,210
2026-06-27,0.3.0,2026-06-10T15:06:05.633+00:00,15,4.666666507720947,3,0,7,4.452105150673221,210
2026-06-28,0.3.0,2026-06-10T15:06:05.633+00:00,15,4.666666507720947,3,0,7,4.451953363447687,210
2026-06-29,0.3.0,2026-06-10T15:06:05.633+00:00,15,4.666666507720947,3,0,7,4.452002123880843,211
