date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.1.0,2022-02-24T13:10:30.85+00:00,29845,5,4,0,2680,4.573717663792337,232
2024-11-26,0.1.0,2022-02-24T13:10:30.85+00:00,29852,5,4,0,2680,4.573717663792337,232
2024-11-27,0.1.0,2022-02-24T13:10:30.85+00:00,29860,5,4,0,2680,4.573717663792337,232
2024-11-28,0.1.0,2022-02-24T13:10:30.85+00:00,29890,5,4,0.006693440428380187,2680,4.573717663792337,232
2024-11-29,0.1.0,2022-02-24T13:10:30.85+00:00,29910,5,4,0.006688068485821294,2680,4.573717663792337,232
2024-11-30,0.1.0,2022-02-24T13:10:30.85+00:00,29938,5,4,0,2680,4.573717663792337,232
2024-12-01,0.1.0,2022-02-24T13:10:30.85+00:00,29953,5,4,0,2680,4.573717663792337,232
2024-12-02,0.1.0,2022-02-24T13:10:30.85+00:00,29973,5,4,0.006675121820973233,2680,4.573717663792337,232
2024-12-03,0.1.0,2022-02-24T13:10:30.85+00:00,29995,5,4,0,2680,4.573717663792337,233
2024-12-04,0.1.0,2022-02-24T13:10:30.85+00:00,30021,5,4,0,2680,4.573717663792337,233
2024-12-05,0.1.0,2022-02-24T13:10:30.85+00:00,30042,5,4,0,2681,4.573717663792337,233
2024-12-06,0.1.0,2022-02-24T13:10:30.85+00:00,30061,5,4,0,2681,4.573717663792337,233
2024-12-07,0.1.0,2022-02-24T13:10:30.85+00:00,30077,5,4,0,2681,4.573717663792337,233
2024-12-08,0.1.0,2022-02-24T13:10:30.85+00:00,30094,5,4,0.0033238050920694007,2681,4.573717663792337,234
2024-12-09,0.1.0,2022-02-24T13:10:30.85+00:00,30110,5,4,0,2681,4.573717663792337,254
2024-12-10,0.1.0,2022-02-24T13:10:30.85+00:00,30136,5,4,0,2681,4.573717663792337,254
2024-12-11,0.1.0,2022-02-24T13:10:30.85+00:00,30154,5,4,0.003316969616558312,2681,4.573717663792337,254
2024-12-12,0.1.0,2022-02-24T13:10:30.85+00:00,30179,5,4,0,2681,4.573717663792337,255
2024-12-13,0.1.0,2022-02-24T13:10:30.85+00:00,30192,5,4,0,2682,4.573717663792337,255
2024-12-14,0.1.0,2022-02-24T13:10:30.85+00:00,30205,5,4,0.0033109293778763697,2682,4.573717663792337,255
2024-12-15,0.1.0,2022-02-24T13:10:30.85+00:00,30222,5,4,0,2682,4.573717663792337,255
2024-12-16,0.1.0,2022-02-24T13:10:30.85+00:00,30240,5,4,0,2682,4.573717663792337,255
2024-12-17,0.1.0,2022-02-24T13:10:30.85+00:00,30259,5,4,0,2682,4.573717663792337,255
2024-12-17,0.1.0,2022-02-24T13:10:30.85+00:00,30269,5,4,0.003304692663582287,2682,4.573717663792337,255
2024-12-18,0.1.0,2022-02-24T13:10:30.85+00:00,30286,5,4,0,2682,4.573717663792337,255
2024-12-19,0.1.0,2022-02-24T13:10:30.85+00:00,30305,5,4,0.0033005478909498977,2682,4.573717663792337,255
2024-12-20,0.1.0,2022-02-24T13:10:30.85+00:00,30321,5,4,0,2682,4.573717663792337,255
2024-12-21,0.1.0,2022-02-24T13:10:30.85+00:00,30335,5,4,0,2682,4.573717663792337,260
2024-12-22,0.1.0,2022-02-24T13:10:30.85+00:00,30343,5,4,0,2682,4.573717663792337,260
2024-12-23,0.1.0,2022-02-24T13:10:30.85+00:00,30357,5,4,0,2683,4.573717663792337,260
2024-12-24,0.1.0,2022-02-24T13:10:30.85+00:00,30370,5,4,0,2683,4.573717663792337,261
2024-12-25,0.1.0,2022-02-24T13:10:30.85+00:00,30392,5,4,0,2683,4.573717663792337,261
2024-12-26,0.1.0,2022-02-24T13:10:30.85+00:00,30408,5,4,0,2683,4.573717663792337,261
2024-12-27,0.1.0,2022-02-24T13:10:30.85+00:00,30421,5,4,0,2683,4.573717663792337,261
2024-12-28,0.1.0,2022-02-24T13:10:30.85+00:00,30443,5,4,0,2683,4.573717663792337,261
2024-12-29,0.1.0,2022-02-24T13:10:30.85+00:00,30454,5,4,0,2683,4.573717663792337,261
2024-12-30,0.1.0,2022-02-24T13:10:30.85+00:00,30467,5,4,0,2683,4.573717663792337,261
2024-12-31,0.1.0,2022-02-24T13:10:30.85+00:00,30485,5,4,0,2683,4.573717663792337,261
2025-01-01,0.1.0,2022-02-24T13:10:30.85+00:00,30494,5,4,0,2684,4.573717663792337,261
2025-01-02,0.1.0,2022-02-24T13:10:30.85+00:00,30510,5,4,0,2684,4.573717663792337,261
2025-01-03,0.1.0,2022-02-24T13:10:30.85+00:00,30528,5,4,0,2685,4.573717663792337,261
2025-01-04,0.1.0,2022-02-24T13:10:30.85+00:00,30540,5,4,0,2685,4.573717663792337,263
2025-01-05,0.1.0,2022-02-24T13:10:30.85+00:00,30552,5,4,0,2685,4.573717663792337,263
2025-01-06,0.1.0,2022-02-24T13:10:30.85+00:00,30563,5,4,0,2685,4.573717663792337,263
2025-01-07,0.1.0,2022-02-24T13:10:30.85+00:00,30583,5,4,0,2685,4.573717663792337,264
2025-01-08,0.1.0,2022-02-24T13:10:30.85+00:00,30610,5,4,0,2685,4.573717663792337,265
2025-01-09,0.1.0,2022-02-24T13:10:30.85+00:00,30631,5,4,0.0032653061224489793,2686,4.573717663792337,265
2025-01-10,0.1.0,2022-02-24T13:10:30.85+00:00,30649,5,4,0,2686,4.573717663792337,265
2025-01-11,0.1.0,2022-02-24T13:10:30.85+00:00,30665,5,4,0,2686,4.573717663792337,265
2025-01-12,0.1.0,2022-02-24T13:10:30.85+00:00,30680,5,4,0,2686,4.573717663792337,266
2025-01-13,0.1.0,2022-02-24T13:10:30.85+00:00,30694,5,4,0,2687,4.573717663792337,266
2025-01-14,0.1.0,2022-02-24T13:10:30.85+00:00,30718,5,4,0.0032563743527955972,2687,4.573717663792337,266
2025-01-15,0.1.0,2022-02-24T13:10:30.85+00:00,30738,5,4,0.0032535137948984903,2687,4.573717663792337,267
2025-01-16,0.1.0,2022-02-24T13:10:30.85+00:00,30754,5,4,0,2688,4.573717663792337,269
2025-01-17,0.1.0,2022-02-24T13:10:30.85+00:00,30778,5,4,0.003250024375182814,2688,4.573717663792337,273
2025-01-18,0.1.0,2022-02-24T13:10:30.85+00:00,30791,5,4,0,2689,4.573717663792337,276
2025-01-19,0.1.0,2022-02-24T13:10:30.85+00:00,30806,5,4,0,2689,4.573717663792337,276
2025-01-20,0.1.0,2022-02-24T13:10:30.85+00:00,30821,5,4,0,2689,4.573717663792337,276
2025-01-21,0.1.0,2022-02-24T13:10:30.85+00:00,30842,5,4,0,2690,4.573717663792337,276
2025-01-22,0.1.0,2022-02-24T13:10:30.85+00:00,30861,5,4,0.0032409658078107273,2690,4.573717663792337,276
2025-01-23,0.1.0,2022-02-24T13:10:30.85+00:00,30884,5,4,0,2690,4.573717663792337,285
2025-01-24,0.1.0,2022-02-24T13:10:30.85+00:00,30899,5,4,0.0032369792509630013,2690,4.573717663792337,285
2025-01-25,0.1.0,2022-02-24T13:10:30.85+00:00,30921,5,4,0.0032349896480331265,2690,4.573717663792337,285
2025-01-26,0.1.0,2022-02-24T13:10:30.85+00:00,30934,5,4,0,2690,4.573717663792337,285
2025-01-27,0.1.0,2022-02-24T13:10:30.85+00:00,30948,5,4,0,2690,4.573717663792337,285
2025-01-28,0.1.0,2022-02-24T13:10:30.85+00:00,30972,5,4,0,2691,4.573717663792337,285
2025-01-29,0.1.0,2022-02-24T13:10:30.85+00:00,30996,5,4,0,2691,4.573717663792337,285
2025-01-30,0.1.0,2022-02-24T13:10:30.85+00:00,31029,5,4,0.0032240384305380915,2692,4.573717663792337,286
2025-01-31,0.1.0,2022-02-24T13:10:30.85+00:00,31056,5,4,0,2692,4.573717663792337,287
2025-02-01,0.1.0,2022-02-24T13:10:30.85+00:00,31066,5,4,0.0032191604429564775,2692,4.573717663792337,287
2025-02-02,0.1.0,2022-02-24T13:10:30.85+00:00,31077,5,4,0,2692,4.573717663792337,288
2025-02-03,0.1.0,2022-02-24T13:10:30.85+00:00,31098,5,4,0.006433143555598443,2692,4.573717663792337,289
2025-02-04,0.1.0,2022-02-24T13:10:30.85+00:00,31116,5,4,0,2692,4.573717663792337,291
2025-02-05,0.1.0,2022-02-24T13:10:30.85+00:00,31143,5,4,0,2692,4.573717663792337,292
2025-02-06,0.1.0,2022-02-24T13:10:30.85+00:00,31171,5,4,0,2692,4.573717663792337,292
2025-02-07,0.1.0,2022-02-24T13:10:30.85+00:00,31194,5,4,0,2693,4.573717663792337,293
2025-02-08,0.1.0,2022-02-24T13:10:30.85+00:00,31216,5,4,0,2693,4.573717663792337,293
2025-02-09,0.1.0,2022-02-24T13:10:30.85+00:00,31231,5,4,0.003202356934703942,2693,4.573717663792337,293
2025-02-10,0.1.0,2022-02-24T13:10:30.85+00:00,31250,5,4,0.003200819409768901,2693,4.573717663792337,293
2025-02-11,0.1.0,2022-02-24T13:10:30.85+00:00,31267,5,4,0.0031992833605272416,2693,4.573717663792337,293
2025-02-12,0.1.0,2022-02-24T13:10:30.85+00:00,31284,5,4,0,2693,4.573717663792337,293
2025-02-13,0.1.0,2022-02-24T13:10:30.85+00:00,31299,5,4,0,2693,4.573717663792337,299
2025-02-14,0.1.0,2022-02-24T13:10:30.85+00:00,31317,5,4,0,2693,4.573717663792337,300
2025-02-15,0.1.0,2022-02-24T13:10:30.85+00:00,31328,5,4,0,2693,4.573717663792337,308
2025-02-16,0.1.0,2022-02-24T13:10:30.85+00:00,31338,5,4,0.003191421459117891,2693,4.573717663792337,308
2025-02-17,0.1.0,2022-02-24T13:10:30.85+00:00,31349,5,4,0.006380806533945891,2693,4.573717663792337,308
2025-02-18,0.1.0,2022-02-24T13:10:30.85+00:00,31366,5,4,0.006377347661107745,2693,4.573717663792337,308
2025-02-19,0.1.0,2022-02-24T13:10:30.85+00:00,31381,5,4,0.003187149413564508,2693,4.573717663792337,309
2025-02-20,0.1.0,2022-02-24T13:10:30.85+00:00,31395,5,4,0,2693,4.573717663792337,309
2025-02-21,0.1.0,2022-02-24T13:10:30.85+00:00,31410,5,4,0,2693,4.573717663792337,309
2025-02-22,0.1.0,2022-02-24T13:10:30.85+00:00,31419,5,4,0,2695,4.573717663792337,309
2025-02-23,0.1.0,2022-02-24T13:10:30.85+00:00,31435,5,4,0.003181471112242301,2695,4.573717663792337,309
2025-02-24,0.1.0,2022-02-24T13:10:30.85+00:00,31454,5,4,0.003180155827635554,2696,4.573717663792337,310
2025-02-25,0.1.0,2022-02-24T13:10:30.85+00:00,31471,5,4,0,2696,4.573717663792337,310
2025-02-26,0.1.0,2022-02-24T13:10:30.85+00:00,31490,5,4,0,2696,4.573717663792337,310
2025-02-27,0.1.0,2022-02-24T13:10:30.85+00:00,31519,5,4,0,2696,4.573717663792337,310
2025-02-28,0.1.0,2022-02-24T13:10:30.85+00:00,31537,5,4,0,2696,4.573717663792337,310
2025-03-01,0.1.0,2022-02-24T13:10:30.85+00:00,31552,5,4,0.003169572107765452,2696,4.573717663792337,316
2025-03-02,0.1.0,2022-02-24T13:10:30.85+00:00,31565,5,4,0,2696,4.573717663792337,316
2025-03-03,0.1.0,2022-02-24T13:10:30.85+00:00,31589,5,4,0.0031664608467116308,2696,4.573717663792337,316
2025-03-04,0.1.0,2022-02-24T13:10:30.85+00:00,31608,5,4,0,2696,4.573717663792337,316
2025-03-05,0.1.0,2022-02-24T13:10:30.85+00:00,31627,5,4,0,2696,4.573717663792337,316
2025-03-06,0.1.0,2022-02-24T13:10:30.85+00:00,31650,5,4,0.009481668773704172,2696,4.573717663792337,317
2025-03-07,0.1.0,2022-02-24T13:10:30.85+00:00,31668,5,4,0.0031584599349357254,2697,4.573717663792337,317
