date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-05-30,2.0.2,2026-04-04T16:56:43.313+00:00,104,5,1,0,4,4.503845711673971,102
2026-05-31,2.0.2,2026-04-04T16:56:43.313+00:00,106,5,1,0,4,4.503839176191725,105
2026-06-01,2.0.2,2026-04-04T16:56:43.313+00:00,108,5,1,0.9345794392523363,4,4.503862242482144,108
2026-06-02,2.0.2,2026-04-04T16:56:43.313+00:00,110,5,1,0,4,4.503781509546583,108
2026-06-03,2.0.2,2026-04-04T16:56:43.313+00:00,112,5,1,0,4,4.503716655709269,108
2026-06-04,2.0.2,2026-04-04T16:56:43.313+00:00,114,5,1,0,4,4.5037132858958895,108
2026-06-05,2.0.2,2026-04-04T16:56:43.313+00:00,116,5,1,0,4,4.503605249874365,108
2026-06-06,2.0.2,2026-04-04T16:56:43.313+00:00,117,5,1,0,4,4.503430320908198,108
2026-06-07,2.0.2,2026-04-04T16:56:43.313+00:00,117,5,1,0,4,4.5034299942693785,108
2026-06-08,2.0.2,2026-04-04T16:56:43.313+00:00,121,5,1,0,4,4.5034053148262,108
2026-06-09,2.0.2,2026-04-04T16:56:43.313+00:00,123,5,1,0,4,4.503262384108327,108
2026-06-10,2.0.2,2026-04-04T16:56:43.313+00:00,125,5,1,0,4,4.503080150882752,108
2026-06-11,2.0.2,2026-04-04T16:56:43.313+00:00,127,5,1,0,4,4.502745726328849,108
2026-06-12,2.0.2,2026-04-04T16:56:43.313+00:00,129,5,1,0,4,4.502834026157238,109
2026-06-13,2.0.2,2026-04-04T16:56:43.313+00:00,131,5,1,0,4,4.502656389238906,110
2026-06-14,2.0.2,2026-04-04T16:56:43.313+00:00,132,5,1,0,4,4.502586880288117,111
2026-06-15,2.0.2,2026-04-04T16:56:43.313+00:00,135,5,1,0.7407407407407408,4,4.502623544965589,113
2026-06-16,2.0.2,2026-04-04T16:56:43.313+00:00,137,5,1,0,4,4.502508086560997,114
2026-06-17,2.0.2,2026-04-04T16:56:43.313+00:00,140,5,1,0,4,4.502569957797357,115
2026-06-18,2.0.2,2026-04-04T16:56:43.313+00:00,144,5,1,0,4,4.502570903681409,116
2026-06-19,2.0.2,2026-04-04T16:56:43.313+00:00,146,5,1,0,5,4.502414483227145,119
2026-06-20,2.0.2,2026-04-04T16:56:43.313+00:00,147,5,1,0,5,4.502222375491629,120
2026-06-21,2.0.2,2026-04-04T16:56:43.313+00:00,150,5,1,0,5,4.502203292288616,121
2026-06-22,2.0.2,2026-04-04T16:56:43.313+00:00,156,5,1,0.6578947368421052,5,4.50205740953764,122
2026-06-23,2.0.2,2026-04-04T16:56:43.313+00:00,160,5,1,0,6,4.501935152519366,123
2026-06-24,2.0.2,2026-04-04T16:56:43.313+00:00,160,5,1,0,6,4.5019545412870805,124
2026-06-25,2.0.2,2026-04-04T16:56:43.313+00:00,162,5,1,0,6,4.501939672410881,125
2026-06-26,2.0.2,2026-04-04T16:56:43.313+00:00,165,5,1,0,6,4.501979953938031,126
2026-06-27,2.0.2,2026-04-04T16:56:43.313+00:00,167,5,1,0,6,4.501913773339291,127
