date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-01-19,0.2.1,2025-01-19T07:49:20.06+00:00,1344,5,1,0,60,4.403204729309272,14
2025-01-20,0.2.3,2025-01-19T20:58:13.94+00:00,1347,5,1,0.07423904974016332,84,4.403204729309272,15
2025-01-21,0.2.3,2025-01-19T20:58:13.94+00:00,1351,5,1,0,93,4.403204729309272,22
2025-01-22,0.2.3,2025-01-19T20:58:13.94+00:00,1358,5,1,0,100,4.403204729309272,22
2025-01-23,0.2.3,2025-01-19T20:58:13.94+00:00,1362,5,1,0,106,4.403204729309272,22
2025-01-24,0.2.3,2025-01-19T20:58:13.94+00:00,1362,5,1,0,107,4.403204729309272,22
2025-01-25,0.2.3,2025-01-19T20:58:13.94+00:00,1368,5,1,0,108,4.403204729309272,27
2025-01-26,0.2.3,2025-01-19T20:58:13.94+00:00,1368,5,1,0,109,4.403204729309272,27
2025-01-27,0.2.3,2025-01-19T20:58:13.94+00:00,1372,5,1,0,110,4.403204729309272,27
2025-01-28,0.2.4,2025-01-28T00:14:58.377+00:00,1373,5,1,0,121,4.403204729309272,28
2025-01-29,0.2.4,2025-01-28T00:14:58.377+00:00,1376,5,6,0,133,4.403204729309272,29
2025-01-30,0.2.4,2025-01-28T00:14:58.377+00:00,1379,5,1,0,136,4.403204729309272,29
2025-01-31,0.2.4,2025-01-28T00:14:58.377+00:00,1382,5,6,0,142,4.403204729309272,29
2025-02-01,0.2.4,2025-01-28T00:14:58.377+00:00,1383,5,6,0.07230657989877079,145,4.403204729309272,30
2025-02-02,0.2.4,2025-01-28T00:14:58.377+00:00,1385,5,6,0,145,4.403204729309272,30
2025-02-03,0.2.4,2025-01-28T00:14:58.377+00:00,1387,5,6,0,147,4.403204729309272,31
2025-02-04,0.3.0,2025-02-04T04:13:48.77+00:00,1391,5,6,0,153,4.403204729309272,32
2025-02-05,0.3.0,2025-02-04T04:13:48.77+00:00,1396,5,6,0,164,4.403204729309272,33
2025-02-06,0.3.0,2025-02-04T04:13:48.77+00:00,1400,5,6,0,168,4.403204729309272,33
2025-02-07,0.3.0,2025-02-04T04:13:48.77+00:00,1402,5,6,0,177,4.403204729309272,33
2025-02-08,0.3.0,2025-02-04T04:13:48.77+00:00,1404,5,6,0,177,4.403204729309272,34
2025-02-09,0.3.0,2025-02-04T04:13:48.77+00:00,1405,5,6,0,179,4.403204729309272,34
2025-02-10,0.3.0,2025-02-04T04:13:48.77+00:00,1406,5,6,0,182,4.403204729309272,34
2025-02-11,0.3.0,2025-02-04T04:13:48.77+00:00,1407,5,6,0,188,4.403204729309272,34
2025-02-12,0.3.0,2025-02-04T04:13:48.77+00:00,1411,5,6,0,192,4.403204729309272,34
