date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-07-02,0.1.0,2025-07-02T08:47:21.967+00:00,2,5,1,0,2,4.403204729309272,3
2025-07-03,0.1.0,2025-07-02T08:47:21.967+00:00,2,5,1,0,14,4.403204729309272,6
2025-07-04,0.1.0,2025-07-02T08:47:21.967+00:00,2,5,1,0,14,4.403204729309272,6
2025-07-05,0.1.0,2025-07-02T08:47:21.967+00:00,2,5,1,0,14,4.403204729309272,7
2025-07-06,0.1.0,2025-07-02T08:47:21.967+00:00,2,5,1,0,1,4.403204729309272,10
2025-07-07,0.1.0,2025-07-02T08:47:21.967+00:00,5,5,1,0,1,4.403204729309272,11
2025-07-08,0.1.0,2025-07-02T08:47:21.967+00:00,5,5,1,0,1,4.403204729309272,11
2025-07-09,0.1.0,2025-07-02T08:47:21.967+00:00,6,5,1,0,4,4.403204729309272,12
2025-07-10,0.1.0,2025-07-02T08:47:21.967+00:00,7,5,1,0,1,4.403204729309272,14
2025-07-11,0.1.0,2025-07-02T08:47:21.967+00:00,7,5,2,0,1,4.403204729309272,14
2025-07-12,0.1.0,2025-07-02T08:47:21.967+00:00,7,5,2,0,4,4.403204729309272,14
2025-07-13,0.1.0,2025-07-02T08:47:21.967+00:00,8,5,2,0,4,4.403204729309272,14
2025-07-14,0.1.0,2025-07-02T08:47:21.967+00:00,8,5,2,0,4,4.403204729309272,15
2025-07-15,0.1.0,2025-07-02T08:47:21.967+00:00,8,5,2,0,1,4.403204729309272,16
2025-07-16,0.1.0,2025-07-02T08:47:21.967+00:00,8,5,2,0,1,4.457579009800322,17
2025-07-17,0.1.0,2025-07-02T08:47:21.967+00:00,9,5,2,0,5,4.457495677945172,18
2025-07-18,0.1.0,2025-07-02T08:47:21.967+00:00,10,5,2,0,2,4.4576272381718045,18
2025-07-19,0.1.0,2025-07-02T08:47:21.967+00:00,10,5,2,0,2,4.457726522958932,19
2025-07-20,0.1.0,2025-07-02T08:47:21.967+00:00,10,5,2,0,8,4.4577909951304076,20
2025-07-21,0.1.0,2025-07-02T08:47:21.967+00:00,12,5,2,0,8,4.457829882271712,21
2025-07-22,0.1.0,2025-07-02T08:47:21.967+00:00,12,5,2,0,10,4.457674975355584,22
2025-07-23,0.1.0,2025-07-02T08:47:21.967+00:00,13,5,2,0,4,4.4577087116253535,24
