date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-08-04,0.6.63,2026-07-30T21:06:27.603+00:00,105,5,2,0,2,4.451469531452864,51
2026-08-05,0.6.93,2026-08-04T21:02:06.277+00:00,137,5,1,0,43,4.451517676035931,77
2026-08-06,0.7.1,2026-08-06T11:01:11.71+00:00,176,5,1,0.6211180124223602,90,4.451517676035931,96
2026-08-06,0.7.1,2026-08-06T11:01:11.71+00:00,176,5,1,0.6211180124223602,90,4.451517676035931,96
2026-08-07,0.8.0,2026-08-06T13:55:41.913+00:00,201,5,1,0,164,4.451471856511329,127
2026-08-07,0.8.0,2026-08-06T13:55:41.913+00:00,201,5,1,0,164,4.451471856511329,127
2026-08-08,0.8.0,2026-08-06T13:55:41.913+00:00,229,5,1,0.4484304932735426,175,4.451534334117079,133
2026-08-08,0.8.0,2026-08-06T13:55:41.913+00:00,229,4,1,0.4484304932735426,175,4.451534334117079,133
2026-08-09,0.9.0,2026-08-08T16:38:14.327+00:00,243,5,2,0,200,4.451588794059502,146
2026-08-09,0.9.0,2026-08-08T16:38:14.327+00:00,243,5,1,0,200,4.451588794059502,146
2026-08-10,0.9.2,2026-08-10T12:15:46.61+00:00,268,5,1,0.39215686274509803,233,4.451375295867789,162
2026-08-10,0.9.2,2026-08-10T12:15:46.61+00:00,268,5,1,0.39215686274509803,233,4.451375295867789,162
2026-08-11,0.11.5,2026-08-10T19:29:26.547+00:00,295,5,1,0,339,4.451526416310694,269
2026-08-11,0.11.5,2026-08-10T19:29:26.547+00:00,295,5,1,0,339,4.451526416310694,269
2026-08-12,0.11.5,2026-08-10T19:29:26.547+00:00,337,5,6,0,379,4.451527600414428,291
2026-08-12,0.11.5,2026-08-10T19:29:26.547+00:00,337,5,1,0,379,4.451527600414428,291
2026-08-13,0.11.6,2026-08-13T10:52:19.443+00:00,378,5,2,0.2770083102493075,387,4.451512487656848,294
2026-08-13,0.11.6,2026-08-13T10:52:19.443+00:00,378,5,3,0.2770083102493075,387,4.451512487656848,294
2026-08-14,0.11.7,2026-08-13T14:48:06.23+00:00,409,5,1,0.2518891687657431,521,4.451505338806563,324
2026-08-14,0.11.7,2026-08-13T14:48:06.23+00:00,409,5,1,0.2518891687657431,521,4.451505338806563,324
2026-08-15,0.11.9,2026-08-14T18:22:58.93+00:00,423,5,2,0,606,4.451513328118419,353
2026-08-15,0.11.9,2026-08-14T18:22:58.93+00:00,423,5,2,0,606,4.451513328118419,353
2026-08-16,0.11.9,2026-08-14T18:22:58.93+00:00,438,5,22,0.22988505747126436,619,4.4515605072550954,363
2026-08-16,0.11.9,2026-08-14T18:22:58.93+00:00,438,5,22,0.22988505747126436,619,4.4515605072550954,363
2026-08-17,0.11.9,2026-08-14T18:22:58.93+00:00,448,5,1,0,629,4.4515605072550954,363
2026-08-17,0.11.9,2026-08-14T18:22:58.93+00:00,448,5,1,0,629,4.4515605072550954,363
2026-08-18,0.11.9,2026-08-14T18:22:58.93+00:00,486,5,1,0,679,4.451551611138169,367
2026-08-18,0.11.9,2026-08-14T18:22:58.93+00:00,486,5,11,0,679,4.451551611138169,367
2026-08-19,0.11.9,2026-08-14T18:22:58.93+00:00,521,5,1,0.3898635477582846,691,4.451507610185385,370
2026-08-19,0.11.9,2026-08-14T18:22:58.93+00:00,521,5,1,0.3898635477582846,691,4.451507610185385,370
