date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-12-16,1.0.1,2025-12-15T22:19:37.267+00:00,5,5,1,0,2,4.45108432776979,4
2025-12-17,1.0.1,2025-12-15T22:19:37.267+00:00,14,5,3,0,6,4.451159187079087,6
2025-12-18,1.0.1,2025-12-15T22:19:37.267+00:00,22,5,1,0,4,4.450978315549789,9
2025-12-19,1.0.1,2025-12-15T22:19:37.267+00:00,24,5,1,0,6,4.4510051664031645,10
2025-12-20,1.0.1,2025-12-15T22:19:37.267+00:00,29,5,1,0,23,4.451083470544281,12
2025-12-21,1.0.1,2025-12-15T22:19:37.267+00:00,37,5,3,0,1,4.4510405373244835,13
2025-12-22,1.0.1,2025-12-15T22:19:37.267+00:00,42,5,3,0,4,4.451028730428345,15
2025-12-23,1.0.1,2025-12-15T22:19:37.267+00:00,53,5,1,0,3,4.4510223631618935,16
2025-12-24,1.0.1,2025-12-15T22:19:37.267+00:00,62,5,1,0,1,4.451174493320214,17
2025-12-25,1.0.1,2025-12-15T22:19:37.267+00:00,65,5,1,0,1,4.451266850631775,20
2025-12-26,1.0.1,2025-12-15T22:19:37.267+00:00,75,5,1,0,1,4.451345304797165,22
2025-12-27,1.0.1,2025-12-15T22:19:37.267+00:00,81,5,2,0,1,4.45128002111375,22
2025-12-28,1.0.1,2025-12-15T22:19:37.267+00:00,96,5,2,0,1,4.451149690645489,23
2025-12-29,1.0.1,2025-12-15T22:19:37.267+00:00,101,5,3,0,1,4.451195790500933,24
2025-12-30,1.0.1,2025-12-15T22:19:37.267+00:00,112,5,1,0,2,4.451020461976585,25
2025-12-31,1.0.1,2025-12-15T22:19:37.267+00:00,116,5,1,0,2,4.450981167384915,27
2026-01-01,1.0.1,2025-12-15T22:19:37.267+00:00,119,5,1,0,2,4.451067445705515,31
2026-01-02,1.0.1,2025-12-15T22:19:37.267+00:00,131,5,1,0,2,4.448254770032162,32
2026-01-03,1.0.1,2025-12-15T22:19:37.267+00:00,136,5,1,0,2,4.451049848892868,33
2026-01-04,1.0.1,2025-12-15T22:19:37.267+00:00,146,5,1,0,2,4.451136131821562,35
2026-01-05,1.0.1,2025-12-15T22:19:37.267+00:00,162,5,1,0,2,4.4511825268905625,36
2026-01-06,1.0.1,2025-12-15T22:19:37.267+00:00,170,5,1,0,3,4.451311489423261,37
2026-01-07,1.0.1,2025-12-15T22:19:37.267+00:00,188,5,1,0.5555555555555556,5,4.501266028494305,38
2026-01-08,1.0.1,2025-12-15T22:19:37.267+00:00,197,5,1,0.5154639175257731,6,4.501343194372376,39
2026-01-09,1.0.1,2025-12-15T22:19:37.267+00:00,217,5,1,0.48543689320388345,6,4.502528180383035,39
2026-01-10,1.0.1,2025-12-15T22:19:37.267+00:00,231,5,1,0,6,4.502487562189055,40
2026-01-11,1.0.1,2025-12-15T22:19:37.267+00:00,245,5,1,0,6,4.502411820418731,41
2026-01-12,1.0.1,2025-12-15T22:19:37.267+00:00,258,5,1,0.398406374501992,6,4.502432728224406,42
2026-01-13,1.0.1,2025-12-15T22:19:37.267+00:00,268,5,1,0,6,4.50362666872857,42
2026-01-14,1.0.1,2025-12-15T22:19:37.267+00:00,277,5,1,0,6,4.503650155755832,43
2026-01-15,1.0.1,2025-12-15T22:19:37.267+00:00,285,5,1,0.3546099290780142,6,4.503599033285338,46
2026-01-16,1.0.1,2025-12-15T22:19:37.267+00:00,294,5,1,0,6,4.503621749611055,48
2026-01-17,1.0.1,2025-12-15T22:19:37.267+00:00,302,5,1,0.33557046979865773,6,4.503540624855269,50
2026-01-18,1.0.1,2025-12-15T22:19:37.267+00:00,311,5,1,0,6,4.503616869463839,51
2026-01-19,1.0.1,2025-12-15T22:19:37.267+00:00,327,5,1,0.31746031746031744,6,4.50366288954363,53
