date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,1.0.0,2020-10-02T18:15:04.82+00:00,8769,5,1,0,436,4.457458844826611,147
2024-11-26,1.0.0,2020-10-02T18:15:04.82+00:00,8769,5,1,0,436,4.457458844826611,147
2024-11-27,1.0.0,2020-10-02T18:15:04.82+00:00,8774,5,1,0,436,4.457458844826611,147
2024-11-28,1.0.0,2020-10-02T18:15:04.82+00:00,8781,5,1,0,436,4.457458844826611,147
2024-11-29,1.0.0,2020-10-02T18:15:04.82+00:00,8781,5,1,0,436,4.457458844826611,147
2024-11-30,1.0.0,2020-10-02T18:15:04.82+00:00,8782,5,1,0,436,4.457458844826611,147
2024-12-01,1.0.0,2020-10-02T18:15:04.82+00:00,8785,5,1,0,436,4.457458844826611,147
2024-12-02,1.0.0,2020-10-02T18:15:04.82+00:00,8790,5,1,0,436,4.457458844826611,147
2024-12-03,1.0.0,2020-10-02T18:15:04.82+00:00,8796,5,1,0,436,4.457458844826611,147
2024-12-04,1.0.0,2020-10-02T18:15:04.82+00:00,8804,5,1,0,436,4.457458844826611,149
2024-12-05,1.0.0,2020-10-02T18:15:04.82+00:00,8812,5,1,0,436,4.457458844826611,149
2024-12-06,1.0.0,2020-10-02T18:15:04.82+00:00,8814,5,1,0,436,4.457458844826611,149
2024-12-07,1.0.0,2020-10-02T18:15:04.82+00:00,8827,5,1,0,436,4.457458844826611,153
2024-12-08,1.0.0,2020-10-02T18:15:04.82+00:00,8831,5,1,0,436,4.457458844826611,161
2024-12-09,1.0.0,2020-10-02T18:15:04.82+00:00,8838,5,1,0,436,4.457458844826611,165
2024-12-10,1.0.0,2020-10-02T18:15:04.82+00:00,8847,5,1,0,436,4.457458844826611,165
2024-12-11,1.0.0,2020-10-02T18:15:04.82+00:00,8858,5,1,0,436,4.457458844826611,165
2024-12-12,1.0.0,2020-10-02T18:15:04.82+00:00,8867,5,1,0,436,4.457458844826611,165
2024-12-13,1.0.0,2020-10-02T18:15:04.82+00:00,8878,5,1,0.0225377507324769,436,4.457458844826611,165
2024-12-14,1.0.0,2020-10-02T18:15:04.82+00:00,8887,5,1,0,436,4.457458844826611,169
2024-12-15,1.0.0,2020-10-02T18:15:04.82+00:00,8900,5,1,0.011239743733842868,436,4.457458844826611,173
2024-12-16,1.0.0,2020-10-02T18:15:04.82+00:00,8911,5,1,0,436,4.457458844826611,173
2024-12-17,1.0.0,2020-10-02T18:15:04.82+00:00,8916,5,1,0,436,4.457458844826611,173
2024-12-17,1.0.0,2020-10-02T18:15:04.82+00:00,8919,5,1,0,436,4.457458844826611,173
2024-12-18,1.0.0,2020-10-02T18:15:04.82+00:00,8925,5,1,0,436,4.457458844826611,173
2024-12-19,1.0.0,2020-10-02T18:15:04.82+00:00,8929,5,1,0,436,4.457458844826611,173
2024-12-20,1.0.0,2020-10-02T18:15:04.82+00:00,8934,5,1,0,436,4.457458844826611,173
2024-12-21,1.0.0,2020-10-02T18:15:04.82+00:00,8938,5,1,0,436,4.457458844826611,176
2024-12-22,1.0.0,2020-10-02T18:15:04.82+00:00,8946,5,1,0.011181930001118194,436,4.457458844826611,176
2024-12-23,1.0.0,2020-10-02T18:15:04.82+00:00,8951,5,1,0.011171936096525528,436,4.457458844826611,176
2024-12-24,1.0.0,2020-10-02T18:15:04.82+00:00,8959,5,1,0,436,4.457458844826611,177
2024-12-25,1.0.0,2020-10-02T18:15:04.82+00:00,8962,5,1,0,436,4.457458844826611,177
2024-12-26,1.0.0,2020-10-02T18:15:04.82+00:00,8965,5,1,0,436,4.457458844826611,177
2024-12-27,1.0.0,2020-10-02T18:15:04.82+00:00,8967,5,1,0,436,4.457458844826611,177
2024-12-28,1.0.0,2020-10-02T18:15:04.82+00:00,8972,5,1,0,436,4.457458844826611,179
2024-12-29,1.0.0,2020-10-02T18:15:04.82+00:00,8974,5,1,0,436,4.457458844826611,179
2024-12-30,1.0.0,2020-10-02T18:15:04.82+00:00,8975,5,1,0,436,4.457458844826611,179
2024-12-31,1.0.0,2020-10-02T18:15:04.82+00:00,8977,5,1,0,436,4.457458844826611,179
2025-01-01,1.0.0,2020-10-02T18:15:04.82+00:00,8983,5,1,0,436,4.457458844826611,179
2025-01-02,1.0.0,2020-10-02T18:15:04.82+00:00,8986,5,1,0,436,4.457458844826611,179
2025-01-03,1.0.0,2020-10-02T18:15:04.82+00:00,8988,5,1,0,436,4.457458844826611,179
2025-01-04,1.0.0,2020-10-02T18:15:04.82+00:00,8993,5,1,0.011123470522803115,436,4.457458844826611,182
2025-01-05,1.0.0,2020-10-02T18:15:04.82+00:00,8995,5,1,0,436,4.457458844826611,182
2025-01-06,1.0.0,2020-10-02T18:15:04.82+00:00,9001,5,1,0,436,4.457458844826611,182
2025-01-07,1.0.0,2020-10-02T18:15:04.82+00:00,9005,5,1,0,436,4.457458844826611,182
2025-01-08,1.0.0,2020-10-02T18:15:04.82+00:00,9015,5,1,0,436,4.457458844826611,183
2025-01-09,1.0.0,2020-10-02T18:15:04.82+00:00,9025,5,1,0.011085245538188671,436,4.457458844826611,183
2025-01-10,1.0.0,2020-10-02T18:15:04.82+00:00,9028,5,1,0,437,4.457458844826611,183
2025-01-11,1.0.0,2020-10-02T18:15:04.82+00:00,9039,5,1,0.02214103841470165,437,4.457458844826611,183
2025-01-12,1.0.0,2020-10-02T18:15:04.82+00:00,9041,5,1,0,437,4.457458844826611,183
2025-01-13,1.0.0,2020-10-02T18:15:04.82+00:00,9042,5,1,0,437,4.457458844826611,183
2025-01-14,1.0.0,2020-10-02T18:15:04.82+00:00,9047,5,1,0.011057054400707651,437,4.457458844826611,183
2025-01-15,1.0.0,2020-10-02T18:15:04.82+00:00,9054,5,1,0,437,4.457458844826611,183
2025-01-16,1.0.0,2020-10-02T18:15:04.82+00:00,9059,5,1,0,437,4.457458844826611,183
2025-01-17,1.0.0,2020-10-02T18:15:04.82+00:00,9061,5,1,0,437,4.457458844826611,183
2025-01-18,1.0.0,2020-10-02T18:15:04.82+00:00,9065,5,1,0.011031439602868174,437,4.457458844826611,183
2025-01-19,1.0.0,2020-10-02T18:15:04.82+00:00,9067,5,1,0,437,4.457458844826611,183
2025-01-20,1.0.0,2020-10-02T18:15:04.82+00:00,9071,5,1,0,437,4.457458844826611,183
2025-01-21,1.0.0,2020-10-02T18:15:04.82+00:00,9076,5,1,0,437,4.457458844826611,183
2025-01-22,1.0.0,2020-10-02T18:15:04.82+00:00,9082,5,1,0.011015642211940955,437,4.457458844826611,183
2025-01-23,1.0.0,2020-10-02T18:15:04.82+00:00,9085,5,1,0,437,4.457458844826611,185
2025-01-24,1.0.0,2020-10-02T18:15:04.82+00:00,9092,5,1,0,437,4.457458844826611,185
2025-01-25,1.0.0,2020-10-02T18:15:04.82+00:00,9100,5,1,0,437,4.457458844826611,185
2025-01-26,1.0.0,2020-10-02T18:15:04.82+00:00,9104,5,1,0.010986596352450011,437,4.457458844826611,185
2025-01-27,1.0.0,2020-10-02T18:15:04.82+00:00,9106,5,1,0,437,4.457458844826611,185
2025-01-28,1.0.0,2020-10-02T18:15:04.82+00:00,9111,5,1,0,437,4.457458844826611,185
2025-01-29,1.0.0,2020-10-02T18:15:04.82+00:00,9116,5,1,0,437,4.457458844826611,185
