date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-08-14,0.11.0,2026-08-14T12:28:45.243+00:00,441,5,1,0,5,4.451505338806563,63
2026-08-15,0.12.44,2026-08-14T20:33:41.323+00:00,646,5,1,1.1320754716981132,236,4.501375752834926,151
2026-08-16,0.12.76,2026-08-15T21:08:27.893+00:00,761,5,1,0.41899441340782123,544,4.501418642959177,228
2026-08-17,0.12.76,2026-08-15T21:08:27.893+00:00,822,5,1,0.6265664160401002,625,4.501418642959177,241
2026-08-18,0.12.76,2026-08-15T21:08:27.893+00:00,928,5,1,0,677,4.5014105555801525,276
2026-08-19,0.12.80,2026-08-18T21:18:16.867+00:00,983,5,3,0.21141649048625794,963,4.542923008487821,314
2026-08-20,0.12.80,2026-08-18T21:18:16.867+00:00,1135,5,3,0.09881422924901186,1034,4.578063421069419,337
2026-08-21,0.12.87,2026-08-21T10:17:11.897+00:00,1335,5,3,0.24449877750611246,1389,4.578072699783938,373
2026-08-22,0.12.87,2026-08-21T10:17:11.897+00:00,1434,5,3,0,1705,4.578049638936644,396
2026-08-23,0.12.87,2026-08-21T10:17:11.897+00:00,1511,5,3,0,1764,4.578071561634423,403
2026-08-24,0.12.89,2026-08-23T21:22:23.137+00:00,1612,5,3,0.19430051813471502,2170,4.578078280510395,421
2026-08-25,0.12.89,2026-08-23T21:22:23.137+00:00,1699,5,3,0.12062726176115801,2289,4.5780989990237195,426
2026-08-26,0.12.89,2026-08-23T21:22:23.137+00:00,1784,5,3,0,2337,4.578120601577318,436
2026-08-27,0.12.89,2026-08-23T21:22:23.137+00:00,1867,5,3,0.11025358324145534,2388,4.578072697345355,446
2026-08-28,0.12.89,2026-08-23T21:22:23.137+00:00,1940,5,3,0.21310602024507191,2408,4.5779882508092555,451
