date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-05-27,1.0.4,2026-05-27T13:41:09.957+00:00,5,5,1,0,4,4.503873400590205,37
2026-05-28,1.0.6,2026-05-28T08:41:33.98+00:00,7,5,1,0,5,4.503863306586284,51
2026-05-29,1.0.6,2026-05-28T08:41:33.98+00:00,7,5,1,0,6,4.50382977099922,60
2026-05-30,1.0.6,2026-05-28T08:41:33.98+00:00,8,5,1,0,7,4.503845711673971,70
2026-05-31,1.0.6,2026-05-28T08:41:33.98+00:00,8,5,1,0,7,4.503839176191725,73
2026-06-01,1.0.6,2026-05-28T08:41:33.98+00:00,9,5,1,0,7,4.503862242482144,76
2026-06-02,1.0.6,2026-05-28T08:41:33.98+00:00,9,5,1,0,7,4.503781509546583,77
2026-06-03,1.0.6,2026-05-28T08:41:33.98+00:00,11,5,1,0,8,4.503716655709269,79
2026-06-04,1.0.6,2026-05-28T08:41:33.98+00:00,11,5,1,0,8,4.5037132858958895,80
2026-06-05,1.0.6,2026-05-28T08:41:33.98+00:00,13,5,1,0,8,4.503605249874365,80
2026-06-06,1.0.6,2026-05-28T08:41:33.98+00:00,13,5,1,0,8,4.503430320908198,80
2026-06-07,1.0.6,2026-05-28T08:41:33.98+00:00,13,5,1,0,8,4.5034299942693785,80
2026-06-08,1.0.6,2026-05-28T08:41:33.98+00:00,14,5,1,0,8,4.5034053148262,80
2026-06-09,1.0.6,2026-05-28T08:41:33.98+00:00,16,5,1,0,8,4.503262384108327,80
2026-06-10,1.0.6,2026-05-28T08:41:33.98+00:00,18,5,1,0,8,4.503080150882752,80
2026-06-11,1.0.6,2026-05-28T08:41:33.98+00:00,18,5,1,0,8,4.502745726328849,81
2026-06-12,1.0.6,2026-05-28T08:41:33.98+00:00,20,5,1,0,8,4.502834026157238,83
2026-06-13,1.0.6,2026-05-28T08:41:33.98+00:00,20,5,1,0,8,4.502656389238906,84
2026-06-14,1.0.6,2026-05-28T08:41:33.98+00:00,20,5,1,0,8,4.502586880288117,85
2026-06-15,1.0.6,2026-05-28T08:41:33.98+00:00,20,5,1,0,8,4.502623544965589,87
2026-06-16,1.0.6,2026-05-28T08:41:33.98+00:00,21,5,1,0,8,4.502508086560997,88
2026-06-17,1.0.7,2026-06-17T12:57:31.153+00:00,22,5,1,0,10,4.502569957797357,95
2026-06-18,1.0.7,2026-06-17T12:57:31.153+00:00,25,5,1,0,16,4.502570903681409,103
2026-06-19,1.0.7,2026-06-17T12:57:31.153+00:00,29,5,1,0,17,4.502414483227145,107
2026-06-20,1.0.7,2026-06-17T12:57:31.153+00:00,30,5,1,0,17,4.502222375491629,109
2026-06-21,1.0.7,2026-06-17T12:57:31.153+00:00,32,5,1,0,18,4.502203292288616,112
2026-06-22,1.0.7,2026-06-17T12:57:31.153+00:00,34,5,1,0,18,4.50205740953764,115
2026-06-23,1.0.7,2026-06-17T12:57:31.153+00:00,35,5,1,0,18,4.501935152519366,117
2026-06-24,1.0.7,2026-06-17T12:57:31.153+00:00,36,5,1,0,20,4.5019545412870805,119
2026-06-25,1.0.7,2026-06-17T12:57:31.153+00:00,39,5,1,0,21,4.501939672410881,120
2026-06-26,1.0.7,2026-06-17T12:57:31.153+00:00,43,5,1,0,22,4.501979953938031,121
2026-06-27,1.0.7,2026-06-17T12:57:31.153+00:00,43,5,1,0,22,4.501913773339291,122
2026-06-28,1.0.7,2026-06-17T12:57:31.153+00:00,44,5,1,0,22,4.501775784952443,123
2026-06-29,1.0.7,2026-06-17T12:57:31.153+00:00,46,5,1,0,22,4.501820112618947,125
2026-06-30,1.0.7,2026-06-17T12:57:31.153+00:00,47,5,1,0,22,4.501665054488658,125
2026-07-01,1.0.7,2026-06-17T12:57:31.153+00:00,49,5,1,0,22,4.5017097054826465,125
2026-07-02,1.0.7,2026-06-17T12:57:31.153+00:00,49,5,1,0,22,4.501613195456789,130
2026-07-03,1.0.7,2026-06-17T12:57:31.153+00:00,51,5,1,0,22,4.501516850446745,130
2026-07-04,1.0.7,2026-06-17T12:57:31.153+00:00,54,5,1,0,22,4.5015255916687025,131
2026-07-05,1.0.7,2026-06-17T12:57:31.153+00:00,54,5,1,0,22,4.501438228182627,132
2026-07-06,1.0.7,2026-06-17T12:57:31.153+00:00,54,5,1,0,22,4.501400730816078,132
2026-07-07,1.0.7,2026-06-17T12:57:31.153+00:00,55,5,1,0,22,4.501395221159987,133
2026-07-08,1.0.7,2026-06-17T12:57:31.153+00:00,58,5,1,0,22,4.501352227634575,133
2026-07-09,1.0.7,2026-06-17T12:57:31.153+00:00,59,5,1,0,22,4.501353322568708,133
2026-07-10,1.0.7,2026-06-17T12:57:31.153+00:00,59,5,1,0,22,4.5013679935946485,134
2026-07-11,1.0.7,2026-06-17T12:57:31.153+00:00,59,5,1,0,22,4.501377829248675,135
2026-07-12,1.0.7,2026-06-17T12:57:31.153+00:00,59,5,1,0,22,4.501277669954419,135
2026-07-13,1.0.7,2026-06-17T12:57:31.153+00:00,59,5,1,0,22,4.501304099696087,136
2026-07-14,1.0.7,2026-06-17T12:57:31.153+00:00,59,5,1,0,22,4.501295419060195,137
2026-07-15,1.0.7,2026-06-17T12:57:31.153+00:00,59,5,1,0,22,4.501306525228111,138
2026-07-16,1.0.7,2026-06-17T12:57:31.153+00:00,62,5,1,0,22,4.501312987817196,139
2026-07-17,1.0.7,2026-06-17T12:57:31.153+00:00,62,5,1,0,22,4.5011017845931125,140
2026-07-18,1.0.7,2026-06-17T12:57:31.153+00:00,64,5,1,0,22,4.5010818111774835,142
2026-07-19,1.0.7,2026-06-17T12:57:31.153+00:00,64,5,1,0,22,4.501065879397373,142
