date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.1.0,2023-01-20T16:49:06.457+00:00,1462,5,1,0,3,4.403204729309272,30
2024-11-26,0.1.0,2023-01-20T16:49:06.457+00:00,1463,5,1,0,3,4.403204729309272,30
2024-11-27,0.1.0,2023-01-20T16:49:06.457+00:00,1465,5,1,0,3,4.403204729309272,30
2024-11-28,0.1.0,2023-01-20T16:49:06.457+00:00,1469,5,1,0,3,4.403204729309272,30
2024-11-29,0.1.0,2023-01-20T16:49:06.457+00:00,1470,5,1,0,3,4.403204729309272,30
2024-11-30,0.1.0,2023-01-20T16:49:06.457+00:00,1470,5,1,0,3,4.403204729309272,30
2024-12-01,0.1.0,2023-01-20T16:49:06.457+00:00,1470,5,1,0,3,4.403204729309272,30
2024-12-02,0.1.0,2023-01-20T16:49:06.457+00:00,1472,5,1,0,3,4.403204729309272,30
2024-12-03,0.1.0,2023-01-20T16:49:06.457+00:00,1473,5,1,0,3,4.403204729309272,30
2024-12-04,0.1.0,2023-01-20T16:49:06.457+00:00,1477,5,5,0,3,4.403204729309272,30
2024-12-05,0.1.0,2023-01-20T16:49:06.457+00:00,1478,5,5,0,3,4.403204729309272,30
2024-12-06,0.1.0,2023-01-20T16:49:06.457+00:00,1480,5,5,0,3,4.403204729309272,30
2024-12-07,0.1.0,2023-01-20T16:49:06.457+00:00,1481,5,5,0,3,4.403204729309272,33
2024-12-08,0.1.0,2023-01-20T16:49:06.457+00:00,1482,5,5,0,3,4.403204729309272,38
2024-12-09,0.1.0,2023-01-20T16:49:06.457+00:00,1482,5,5,0,3,4.403204729309272,39
2024-12-10,0.1.0,2023-01-20T16:49:06.457+00:00,1484,5,5,0,3,4.403204729309272,40
2024-12-11,0.1.0,2023-01-20T16:49:06.457+00:00,1484,5,5,0,3,4.403204729309272,40
2024-12-12,0.1.0,2023-01-20T16:49:06.457+00:00,1485,5,5,0,3,4.403204729309272,40
2024-12-13,0.1.0,2023-01-20T16:49:06.457+00:00,1485,5,5,0,3,4.403204729309272,40
2024-12-14,0.1.0,2023-01-20T16:49:06.457+00:00,1486,5,5,0,3,4.403204729309272,40
2024-12-15,0.1.0,2023-01-20T16:49:06.457+00:00,1487,5,5,0,3,4.403204729309272,40
2024-12-16,0.1.0,2023-01-20T16:49:06.457+00:00,1488,5,5,0,3,4.403204729309272,40
2024-12-17,0.1.0,2023-01-20T16:49:06.457+00:00,1488,5,5,0,3,4.403204729309272,40
2024-12-17,0.1.0,2023-01-20T16:49:06.457+00:00,1490,5,5,0,3,4.403204729309272,40
2024-12-18,0.1.0,2023-01-20T16:49:06.457+00:00,1491,5,5,0,3,4.403204729309272,40
2024-12-19,0.1.0,2023-01-20T16:49:06.457+00:00,1491,5,5,0,3,4.403204729309272,40
2024-12-20,0.1.0,2023-01-20T16:49:06.457+00:00,1493,5,5,0,3,4.403204729309272,40
2024-12-21,0.1.0,2023-01-20T16:49:06.457+00:00,1494,5,5,0,3,4.403204729309272,41
2024-12-22,0.1.0,2023-01-20T16:49:06.457+00:00,1494,5,5,0,3,4.403204729309272,42
2024-12-23,0.1.0,2023-01-20T16:49:06.457+00:00,1495,5,5,0,3,4.403204729309272,42
2024-12-24,0.1.0,2023-01-20T16:49:06.457+00:00,1495,5,5,0,3,4.403204729309272,42
2024-12-25,0.1.0,2023-01-20T16:49:06.457+00:00,1496,5,5,0,3,4.403204729309272,42
