date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.1.7,2024-11-05T07:09:10.603+00:00,1361,5,2,0.07358351729212656,1929,4.502670607757727,39
2024-11-26,0.1.7,2024-11-05T07:09:10.603+00:00,1363,5,2,0.07358351729212656,1929,4.502670607757727,39
2024-11-27,0.1.7,2024-11-05T07:09:10.603+00:00,1368,5,2,0.07331378299120235,1929,4.502670607757727,39
2024-11-28,0.1.7,2024-11-05T07:09:10.603+00:00,1378,5,2,0,1934,4.502670607757727,39
2024-11-29,0.1.7,2024-11-05T07:09:10.603+00:00,1382,5,2,0,1938,4.502670607757727,39
2024-11-30,0.1.7,2024-11-05T07:09:10.603+00:00,1384,5,2,0,1941,4.502670607757727,39
2024-12-01,0.1.7,2024-11-05T07:09:10.603+00:00,1398,5,2,0.07178750897343862,1943,4.502670607757727,39
2024-12-02,0.1.7,2024-11-05T07:09:10.603+00:00,1406,5,2,0,1945,4.502670607757727,39
2024-12-03,0.1.7,2024-11-05T07:09:10.603+00:00,1408,5,2,0,1948,4.502670607757727,39
2024-12-04,0.1.7,2024-11-05T07:09:10.603+00:00,1415,5,2,0,1952,4.502670607757727,40
2024-12-05,0.1.7,2024-11-05T07:09:10.603+00:00,1417,5,2,0,1952,4.502670607757727,40
2024-12-06,0.1.7,2024-11-05T07:09:10.603+00:00,1431,5,2,0.1400560224089636,1953,4.502670607757727,40
2024-12-07,0.1.7,2024-11-05T07:09:10.603+00:00,1436,5,2,0,1954,4.502670607757727,40
2024-12-08,0.1.7,2024-11-05T07:09:10.603+00:00,1440,5,2,0,1954,4.502670607757727,40
2024-12-09,0.1.7,2024-11-05T07:09:10.603+00:00,1448,5,2,0.13840830449826988,1954,4.502670607757727,50
2024-12-10,0.1.7,2024-11-05T07:09:10.603+00:00,1458,5,2,0,1956,4.502670607757727,50
2024-12-11,0.1.7,2024-11-05T07:09:10.603+00:00,1464,5,2,0,1957,4.502670607757727,50
2024-12-12,0.1.7,2024-11-05T07:09:10.603+00:00,1472,5,2,0,1959,4.502670607757727,50
2024-12-13,0.1.7,2024-11-05T07:09:10.603+00:00,1475,5,2,0,1961,4.502670607757727,50
2024-12-14,0.1.7,2024-11-05T07:09:10.603+00:00,1480,5,2,0,1962,4.502670607757727,50
2024-12-15,0.1.7,2024-11-05T07:09:10.603+00:00,1486,5,2,0,1963,4.502670607757727,50
2024-12-16,0.1.7,2024-11-05T07:09:10.603+00:00,1490,5,2,0,1967,4.502670607757727,50
2024-12-17,0.1.7,2024-11-05T07:09:10.603+00:00,1492,5,2,0,1967,4.502670607757727,50
2024-12-17,0.1.7,2024-11-05T07:09:10.603+00:00,1495,5,2,0,1967,4.502670607757727,50
2024-12-18,0.1.7,2024-11-05T07:09:10.603+00:00,1498,5,2,0.06680026720106881,1968,4.502670607757727,50
2024-12-19,0.1.7,2024-11-05T07:09:10.603+00:00,1502,5,2,0,1969,4.502670607757727,50
2024-12-20,0.1.7,2024-11-05T07:09:10.603+00:00,1507,5,2,0,1971,4.502670607757727,50
2024-12-21,0.1.7,2024-11-05T07:09:10.603+00:00,1510,5,2,0,1974,4.502670607757727,50
2024-12-22,0.1.7,2024-11-05T07:09:10.603+00:00,1515,5,2,0,1974,4.502670607757727,50
2024-12-23,0.1.7,2024-11-05T07:09:10.603+00:00,1520,5,2,0,1974,4.502670607757727,50
2024-12-24,0.1.7,2024-11-05T07:09:10.603+00:00,1527,5,2,0.0655307994757536,1975,4.502670607757727,50
2024-12-25,0.1.7,2024-11-05T07:09:10.603+00:00,1530,5,2,0,1975,4.502670607757727,50
2024-12-26,0.1.7,2024-11-05T07:09:10.603+00:00,1536,5,2,0,1975,4.502670607757727,50
2024-12-27,0.1.7,2024-11-05T07:09:10.603+00:00,1540,5,2,0,1975,4.502670607757727,50
2024-12-28,0.1.7,2024-11-05T07:09:10.603+00:00,1542,5,2,0,1977,4.502670607757727,50
2024-12-29,0.1.7,2024-11-05T07:09:10.603+00:00,1547,5,2,0,1977,4.502670607757727,50
2024-12-30,0.1.7,2024-11-05T07:09:10.603+00:00,1553,5,2,0.06443298969072164,1979,4.502670607757727,50
2024-12-31,0.1.7,2024-11-05T07:09:10.603+00:00,1559,5,2,0.06414368184733803,1979,4.502670607757727,50
2025-01-01,0.1.7,2024-11-05T07:09:10.603+00:00,1564,5,2,0,1979,4.502670607757727,50
2025-01-02,0.1.7,2024-11-05T07:09:10.603+00:00,1569,5,2,0,1979,4.502670607757727,50
2025-01-03,0.1.7,2024-11-05T07:09:10.603+00:00,1576,5,2,0,1980,4.502670607757727,50
2025-01-04,0.1.7,2024-11-05T07:09:10.603+00:00,1587,5,2,0,1980,4.502670607757727,52
2025-01-05,0.1.7,2024-11-05T07:09:10.603+00:00,1595,5,2,0,1980,4.502670607757727,52
2025-01-06,0.1.7,2024-11-05T07:09:10.603+00:00,1602,5,2,0,1980,4.502670607757727,52
2025-01-07,0.1.7,2024-11-05T07:09:10.603+00:00,1616,5,2,0.06207324643078833,1980,4.502670607757727,52
2025-01-08,0.1.7,2024-11-05T07:09:10.603+00:00,1626,5,2,0.06153846153846154,1980,4.502670607757727,52
2025-01-09,0.1.7,2024-11-05T07:09:10.603+00:00,1635,5,2,0.0612369871402327,1980,4.502670607757727,52
2025-01-10,0.1.7,2024-11-05T07:09:10.603+00:00,1646,5,2,0,1982,4.502670607757727,52
2025-01-11,0.1.7,2024-11-05T07:09:10.603+00:00,1653,5,2,0,1982,4.502670607757727,52
2025-01-12,0.1.7,2024-11-05T07:09:10.603+00:00,1653,5,2,0,1984,4.502670607757727,52
2025-01-13,0.1.7,2024-11-05T07:09:10.603+00:00,1659,5,2,0,1984,4.502670607757727,52
2025-01-14,0.1.7,2024-11-05T07:09:10.603+00:00,1666,5,2,0,1984,4.502670607757727,52
2025-01-15,0.1.7,2024-11-05T07:09:10.603+00:00,1676,5,2,0,1986,4.502670607757727,53
2025-01-16,0.1.7,2024-11-05T07:09:10.603+00:00,1687,5,2,0,1987,4.502670607757727,53
2025-01-17,0.1.7,2024-11-05T07:09:10.603+00:00,1694,5,2,0,1989,4.502670607757727,53
2025-01-18,0.1.7,2024-11-05T07:09:10.603+00:00,1702,5,2,0,1989,4.502670607757727,53
2025-01-19,0.1.7,2024-11-05T07:09:10.603+00:00,1704,5,2,0,1991,4.502670607757727,53
2025-01-20,0.1.7,2024-11-05T07:09:10.603+00:00,1711,5,2,0,1991,4.502670607757727,53
2025-01-21,0.1.7,2024-11-05T07:09:10.603+00:00,1716,5,2,0,1991,4.502670607757727,53
2025-01-22,0.1.7,2024-11-05T07:09:10.603+00:00,1721,5,2,0,1991,4.502670607757727,62
2025-01-23,0.1.7,2024-11-05T07:09:10.603+00:00,1727,5,2,0,1991,4.502670607757727,62
2025-01-24,0.1.7,2024-11-05T07:09:10.603+00:00,1733,5,2,0,1991,4.502670607757727,62
2025-01-25,0.1.7,2024-11-05T07:09:10.603+00:00,1736,5,2,0,1991,4.502670607757727,62
