date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,1.2.0,2024-08-08T11:02:54.017+00:00,1832,5,1,0,381,4.403204729309272,42
2024-11-26,1.2.0,2024-08-08T11:02:54.017+00:00,1833,5,1,0,381,4.403204729309272,42
2024-11-27,1.2.0,2024-08-08T11:02:54.017+00:00,1841,5,1,0.1087547580206634,381,4.403204729309272,42
2024-11-28,1.2.0,2024-08-08T11:02:54.017+00:00,1850,5,1,0.05422993492407809,381,4.403204729309272,42
2024-11-29,1.2.0,2024-08-08T11:02:54.017+00:00,1859,5,1,0,381,4.403204729309272,42
2024-11-30,1.2.0,2024-08-08T11:02:54.017+00:00,1867,5,1,0,381,4.403204729309272,42
2024-12-01,1.2.0,2024-08-08T11:02:54.017+00:00,1874,5,1,0,381,4.403204729309272,42
2024-12-02,1.2.0,2024-08-08T11:02:54.017+00:00,1880,5,3,0,381,4.403204729309272,42
2024-12-03,1.2.0,2024-08-08T11:02:54.017+00:00,1882,5,3,0,381,4.403204729309272,42
2024-12-04,1.2.0,2024-08-08T11:02:54.017+00:00,1890,5,3,0,381,4.403204729309272,42
2024-12-05,1.2.0,2024-08-08T11:02:54.017+00:00,1897,5,3,0,381,4.403204729309272,42
2024-12-06,1.2.0,2024-08-08T11:02:54.017+00:00,1907,3,2,0.1049317943336831,382,4.403204729309272,42
2024-12-07,1.2.0,2024-08-08T11:02:54.017+00:00,1908,3,2,0,383,4.403204729309272,47
2024-12-08,1.2.0,2024-08-08T11:02:54.017+00:00,1910,3,2,0,383,4.403204729309272,47
2024-12-09,1.2.0,2024-08-08T11:02:54.017+00:00,1916,3,2,0,383,4.403204729309272,47
2024-12-10,1.2.0,2024-08-08T11:02:54.017+00:00,1925,3,2,0,383,4.403204729309272,47
2024-12-11,1.2.0,2024-08-08T11:02:54.017+00:00,1927,3,2,0,383,4.403204729309272,47
2024-12-12,1.2.0,2024-08-08T11:02:54.017+00:00,1931,3,2,0,383,4.403204729309272,47
2024-12-13,1.2.0,2024-08-08T11:02:54.017+00:00,1934,3,2,0,383,4.403204729309272,47
2024-12-14,1.2.0,2024-08-08T11:02:54.017+00:00,1938,3,2,0,384,4.403204729309272,47
2024-12-15,1.2.0,2024-08-08T11:02:54.017+00:00,1947,5,1,0,384,4.403204729309272,47
2024-12-16,1.2.0,2024-08-08T11:02:54.017+00:00,1953,5,1,0,384,4.403204729309272,47
2024-12-17,1.2.0,2024-08-08T11:02:54.017+00:00,1955,5,1,0,384,4.403204729309272,47
2024-12-17,1.2.0,2024-08-08T11:02:54.017+00:00,1955,5,1,0,384,4.403204729309272,47
2024-12-18,1.2.0,2024-08-08T11:02:54.017+00:00,1957,5,1,0,384,4.403204729309272,47
2024-12-19,1.2.0,2024-08-08T11:02:54.017+00:00,1962,5,1,0,384,4.403204729309272,47
2024-12-20,1.2.0,2024-08-08T11:02:54.017+00:00,1966,5,1,0,384,4.403204729309272,47
2024-12-21,1.2.0,2024-08-08T11:02:54.017+00:00,1969,5,1,0,384,4.403204729309272,48
2024-12-22,1.2.0,2024-08-08T11:02:54.017+00:00,1971,5,1,0,384,4.403204729309272,48
2024-12-23,1.2.0,2024-08-08T11:02:54.017+00:00,1977,5,1,0,384,4.403204729309272,48
2024-12-24,1.2.0,2024-08-08T11:02:54.017+00:00,1981,5,1,0,384,4.403204729309272,48
2024-12-25,1.2.0,2024-08-08T11:02:54.017+00:00,1983,5,1,0,384,4.403204729309272,48
2024-12-26,1.2.0,2024-08-08T11:02:54.017+00:00,1987,5,1,0,384,4.403204729309272,48
2024-12-27,1.2.0,2024-08-08T11:02:54.017+00:00,1989,5,1,0,384,4.403204729309272,48
2024-12-28,1.2.0,2024-08-08T11:02:54.017+00:00,1992,5,1,0,384,4.403204729309272,48
2024-12-29,1.2.0,2024-08-08T11:02:54.017+00:00,1996,5,1,0,384,4.403204729309272,48
2024-12-30,1.2.0,2024-08-08T11:02:54.017+00:00,1999,5,1,0,384,4.403204729309272,48
2024-12-31,1.2.0,2024-08-08T11:02:54.017+00:00,2003,5,1,0,384,4.403204729309272,48
2025-01-01,1.2.0,2024-08-08T11:02:54.017+00:00,2004,5,1,0,384,4.403204729309272,48
2025-01-02,1.2.0,2024-08-08T11:02:54.017+00:00,2012,5,2,0,384,4.403204729309272,48
2025-01-03,1.2.1,2025-01-02T12:36:21.617+00:00,2017,5,2,0.04957858205255329,412,4.403204729309272,51
2025-01-04,1.2.1,2025-01-02T12:36:21.617+00:00,2017,5,2,0,419,4.403204729309272,54
2025-01-05,1.2.1,2025-01-02T12:36:21.617+00:00,2022,5,2,0,421,4.403204729309272,54
2025-01-06,1.2.1,2025-01-02T12:36:21.617+00:00,2026,5,2,0,428,4.403204729309272,54
2025-01-07,1.2.1,2025-01-02T12:36:21.617+00:00,2035,5,2,0,433,4.403204729309272,54
2025-01-08,1.2.1,2025-01-02T12:36:21.617+00:00,2041,5,2,0,439,4.403204729309272,54
2025-01-09,1.2.1,2025-01-02T12:36:21.617+00:00,2044,5,2,0,443,4.403204729309272,54
2025-01-10,1.2.1,2025-01-02T12:36:21.617+00:00,2051,5,2,0,445,4.403204729309272,54
2025-01-11,1.2.1,2025-01-02T12:36:21.617+00:00,2061,5,2,0,446,4.403204729309272,54
2025-01-12,1.2.1,2025-01-02T12:36:21.617+00:00,2064,5,2,0,446,4.403204729309272,54
2025-01-13,1.2.1,2025-01-02T12:36:21.617+00:00,2070,5,2,0,449,4.403204729309272,54
2025-01-14,1.2.1,2025-01-02T12:36:21.617+00:00,2076,5,2,0,457,4.403204729309272,54
2025-01-15,1.2.1,2025-01-02T12:36:21.617+00:00,2081,5,2,0,459,4.403204729309272,54
2025-01-16,1.2.1,2025-01-02T12:36:21.617+00:00,2089,5,2,0,460,4.403204729309272,54
2025-01-17,1.2.1,2025-01-02T12:36:21.617+00:00,2095,5,2,0,463,4.403204729309272,54
2025-01-18,1.2.1,2025-01-02T12:36:21.617+00:00,2097,5,2,0,464,4.403204729309272,54
2025-01-19,1.2.1,2025-01-02T12:36:21.617+00:00,2098,5,4,0,467,4.403204729309272,54
2025-01-20,1.2.1,2025-01-02T12:36:21.617+00:00,2105,5,2,0,470,4.403204729309272,54
2025-01-21,1.2.1,2025-01-02T12:36:21.617+00:00,2113,5,2,0.047370914258645196,472,4.403204729309272,65
2025-01-22,1.2.1,2025-01-02T12:36:21.617+00:00,2125,5,1,0,474,4.403204729309272,65
2025-01-23,1.2.1,2025-01-02T12:36:21.617+00:00,2131,5,1,0,477,4.403204729309272,65
2025-01-24,1.2.1,2025-01-02T12:36:21.617+00:00,2136,5,1,0,478,4.403204729309272,65
2025-01-25,1.2.1,2025-01-02T12:36:21.617+00:00,2137,5,1,0,480,4.403204729309272,65
2025-01-26,1.2.1,2025-01-02T12:36:21.617+00:00,2143,5,3,0,482,4.403204729309272,65
2025-01-27,1.2.1,2025-01-02T12:36:21.617+00:00,2151,5,4,0.04657661853749418,484,4.403204729309272,65
2025-01-28,1.2.1,2025-01-02T12:36:21.617+00:00,2154,5,4,0,484,4.403204729309272,65
2025-01-29,1.2.1,2025-01-02T12:36:21.617+00:00,2157,5,3,0,488,4.403204729309272,65
2025-01-30,1.2.1,2025-01-02T12:36:21.617+00:00,2162,5,3,0.04627487274409996,490,4.403204729309272,65
2025-01-31,1.2.1,2025-01-02T12:36:21.617+00:00,2171,5,3,0.046061722708429294,491,4.403204729309272,65
2025-02-01,1.2.1,2025-01-02T12:36:21.617+00:00,2175,5,3,0,493,4.403204729309272,65
2025-02-02,1.2.1,2025-01-02T12:36:21.617+00:00,2183,5,3,0,495,4.403204729309272,65
2025-02-03,1.2.1,2025-01-02T12:36:21.617+00:00,2188,5,3,0,495,4.403204729309272,66
2025-02-04,1.2.1,2025-01-02T12:36:21.617+00:00,2195,5,3,0,498,4.403204729309272,66
2025-02-05,1.2.1,2025-01-02T12:36:21.617+00:00,2199,5,3,0.04547521600727603,499,4.403204729309272,66
2025-02-06,1.2.1,2025-01-02T12:36:21.617+00:00,2208,5,3,0.04539264639128461,501,4.403204729309272,66
2025-02-07,1.2.1,2025-01-02T12:36:21.617+00:00,2215,5,3,0,504,4.403204729309272,66
2025-02-08,1.2.1,2025-01-02T12:36:21.617+00:00,2217,5,3,0,507,4.403204729309272,66
2025-02-09,1.2.1,2025-01-02T12:36:21.617+00:00,2223,5,3,0,508,4.403204729309272,66
2025-02-10,1.2.1,2025-01-02T12:36:21.617+00:00,2224,5,3,0,509,4.403204729309272,66
2025-02-11,1.2.1,2025-01-02T12:36:21.617+00:00,2231,5,3,0.04482294935006724,511,4.403204729309272,66
2025-02-12,1.2.1,2025-01-02T12:36:21.617+00:00,2235,5,3,0,511,4.403204729309272,66
2025-02-13,1.2.1,2025-01-02T12:36:21.617+00:00,2240,5,3,0.044662795891022775,511,4.403204729309272,77
2025-02-14,1.2.1,2025-01-02T12:36:21.617+00:00,2242,5,3,0,511,4.403204729309272,77
2025-02-15,1.2.1,2025-01-02T12:36:21.617+00:00,2244,5,3,0,513,4.403204729309272,77
2025-02-16,1.2.1,2025-01-02T12:36:21.617+00:00,2248,5,3,0,514,4.403204729309272,77
2025-02-17,1.2.1,2025-01-02T12:36:21.617+00:00,2251,5,3,0,516,4.403204729309272,78
2025-02-18,1.2.1,2025-01-02T12:36:21.617+00:00,2258,5,3,0,516,4.403204729309272,78
2025-02-19,1.2.1,2025-01-02T12:36:21.617+00:00,2260,5,3,0,517,4.403204729309272,89
2025-02-20,1.2.1,2025-01-02T12:36:21.617+00:00,2268,5,3,0,519,4.403204729309272,89
2025-02-21,1.2.1,2025-01-02T12:36:21.617+00:00,2274,5,3,0,520,4.403204729309272,90
2025-02-22,1.2.1,2025-01-02T12:36:21.617+00:00,2281,5,3,0,522,4.403204729309272,90
2025-02-23,1.2.1,2025-01-02T12:36:21.617+00:00,2288,5,3,0,522,4.403204729309272,90
2025-02-24,1.2.1,2025-01-02T12:36:21.617+00:00,2291,5,3,0,523,4.403204729309272,90
2025-02-25,1.2.1,2025-01-02T12:36:21.617+00:00,2295,5,3,0,525,4.403204729309272,90
2025-02-26,1.2.1,2025-01-02T12:36:21.617+00:00,2300,5,2,0,528,4.403204729309272,90
2025-02-27,1.2.1,2025-01-02T12:36:21.617+00:00,2304,5,2,0,529,4.403204729309272,90
2025-02-28,1.2.1,2025-01-02T12:36:21.617+00:00,2311,5,2,0,529,4.403204729309272,90
2025-03-01,1.2.1,2025-01-02T12:36:21.617+00:00,2315,5,2,0,530,4.403204729309272,90
2025-03-02,1.2.1,2025-01-02T12:36:21.617+00:00,2315,5,2,0,531,4.403204729309272,90
2025-03-03,1.2.1,2025-01-02T12:36:21.617+00:00,2319,5,2,0,531,4.403204729309272,101
2025-03-04,1.2.1,2025-01-02T12:36:21.617+00:00,2322,5,2,0,532,4.403204729309272,101
2025-03-05,1.2.1,2025-01-02T12:36:21.617+00:00,2324,5,2,0.04304778303917348,533,4.403204729309272,101
2025-03-06,1.2.1,2025-01-02T12:36:21.617+00:00,2325,5,2,0,533,4.403204729309272,101
2025-03-07,1.2.1,2025-01-02T12:36:21.617+00:00,2330,5,2,0,534,4.403204729309272,101
2025-03-08,1.2.1,2025-01-02T12:36:21.617+00:00,2340,5,2,0,535,4.403204729309272,101
2025-03-09,1.2.1,2025-01-02T12:36:21.617+00:00,2344,5,2,0,536,4.403204729309272,101
2025-03-10,1.2.1,2025-01-02T12:36:21.617+00:00,2353,5,2,0,537,4.403204729309272,101
2025-03-11,1.2.1,2025-01-02T12:36:21.617+00:00,2363,5,2,0,540,4.403204729309272,101
2025-03-12,1.2.1,2025-01-02T12:36:21.617+00:00,2366,5,2,0,543,4.403204729309272,102
2025-03-13,1.2.1,2025-01-02T12:36:21.617+00:00,2372,5,2,0,546,4.403204729309272,104
2025-03-14,1.2.1,2025-01-02T12:36:21.617+00:00,2379,5,1,0.04206983592763988,547,4.403204729309272,107
2025-03-15,1.2.1,2025-01-02T12:36:21.617+00:00,2386,5,1,0,549,4.403204729309272,109
2025-03-16,1.2.1,2025-01-02T12:36:21.617+00:00,2397,5,2,0.04177109440267335,551,4.403204729309272,110
2025-03-17,1.2.1,2025-01-02T12:36:21.617+00:00,2402,5,2,0,551,4.403204729309272,110
2025-03-18,1.2.1,2025-01-02T12:36:21.617+00:00,2407,5,2,0,553,4.403204729309272,111
2025-03-19,1.2.1,2025-01-02T12:36:21.617+00:00,2413,5,2,0,553,4.403204729309272,112
