date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.1.0,2017-02-13T10:27:52.847+00:00,14467,5,2,0,723,4.502670607757727,92
2024-11-26,0.1.0,2017-02-13T10:27:52.847+00:00,14467,5,2,0,723,4.502670607757727,92
2024-11-27,0.1.0,2017-02-13T10:27:52.847+00:00,14468,5,2,0,723,4.502670607757727,92
2024-11-28,0.1.0,2017-02-13T10:27:52.847+00:00,14468,5,2,0,723,4.502670607757727,92
2024-11-29,0.1.0,2017-02-13T10:27:52.847+00:00,14468,5,2,0,723,4.502670607757727,92
2024-11-30,0.1.0,2017-02-13T10:27:52.847+00:00,14468,5,2,0,723,4.502670607757727,92
2024-12-01,0.1.0,2017-02-13T10:27:52.847+00:00,14471,5,2,0,723,4.502670607757727,92
2024-12-02,0.1.0,2017-02-13T10:27:52.847+00:00,14471,5,2,0,723,4.502670607757727,92
2024-12-03,0.1.0,2017-02-13T10:27:52.847+00:00,14471,5,2,0,723,4.502670607757727,92
2024-12-04,0.1.0,2017-02-13T10:27:52.847+00:00,14471,5,2,0,723,4.502670607757727,92
2024-12-05,0.1.0,2017-02-13T10:27:52.847+00:00,14471,5,2,0,723,4.502670607757727,92
2024-12-06,0.1.0,2017-02-13T10:27:52.847+00:00,14471,5,2,0,723,4.502670607757727,92
2024-12-07,0.1.0,2017-02-13T10:27:52.847+00:00,14471,5,2,0,723,4.502670607757727,92
2024-12-08,0.1.0,2017-02-13T10:27:52.847+00:00,14472,5,2,0,723,4.502670607757727,92
2024-12-09,0.1.0,2017-02-13T10:27:52.847+00:00,14472,5,2,0,723,4.502670607757727,92
2024-12-10,0.1.0,2017-02-13T10:27:52.847+00:00,14473,5,2,0,723,4.502670607757727,92
2024-12-11,0.1.0,2017-02-13T10:27:52.847+00:00,14477,5,2,0,723,4.502670607757727,92
