date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.2.4,2017-06-23T16:51:54.427+00:00,50169,4.5,2,0,5646,4.419337274424393,196
2024-11-26,0.2.4,2017-06-23T16:51:54.427+00:00,50177,4.5,2,0,5646,4.419337274424393,196
2024-11-27,0.2.4,2017-06-23T16:51:54.427+00:00,50196,4.5,2,0,5646,4.419337274424393,197
2024-11-28,0.2.4,2017-06-23T16:51:54.427+00:00,50221,4.5,2,0,5646,4.419337274424393,197
2024-11-29,0.2.4,2017-06-23T16:51:54.427+00:00,50234,4.5,2,0,5646,4.419337274424393,197
2024-11-30,0.2.4,2017-06-23T16:51:54.427+00:00,50254,4.5,2,0.00199008935501204,5647,4.419337274424393,197
2024-12-01,0.2.4,2017-06-23T16:51:54.427+00:00,50273,4.5,2,0.0019894558838157764,5647,4.419337274424393,197
2024-12-02,0.2.4,2017-06-23T16:51:54.427+00:00,50289,4.5,2,0.0019887041603691034,5647,4.419337274424393,197
2024-12-03,0.2.4,2017-06-23T16:51:54.427+00:00,50322,4.5,2,0,5647,4.419337274424393,197
2024-12-04,0.2.4,2017-06-23T16:51:54.427+00:00,50335,4.5,2,0.0019868865487780644,5647,4.419337274424393,197
2024-12-05,0.2.4,2017-06-23T16:51:54.427+00:00,50367,4.5,2,0,5647,4.419337274424393,197
2024-12-06,0.2.4,2017-06-23T16:51:54.427+00:00,50394,4.5,2,0,5648,4.419337274424393,200
2024-12-07,0.2.4,2017-06-23T16:51:54.427+00:00,50413,4.5,2,0.003967624186637041,5648,4.419337274424393,200
2024-12-08,0.2.4,2017-06-23T16:51:54.427+00:00,50428,4.5,2,0,5648,4.419337274424393,200
2024-12-09,0.2.4,2017-06-23T16:51:54.427+00:00,50448,4.5,2,0,5648,4.419337274424393,200
2024-12-10,0.2.4,2017-06-23T16:51:54.427+00:00,50478,4.5,2,0,5648,4.419337274424393,200
2024-12-11,0.2.4,2017-06-23T16:51:54.427+00:00,50499,4.5,2,0,5648,4.419337274424393,200
2024-12-12,0.2.4,2017-06-23T16:51:54.427+00:00,50531,4.5,2,0,5648,4.419337274424393,200
