date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-11-17,1.0.2,2025-11-17T09:29:38.073+00:00,1,5,1,0,5,4.452675505500191,8
2025-11-18,1.0.2,2025-11-17T09:29:38.073+00:00,1,5,1,0,1,4.452735148930454,20
2025-11-19,1.0.2,2025-11-19T08:24:13.23+00:00,1,5,1,0,5,4.452614971466935,26
2025-11-21,1.0.2,2025-11-21T03:42:12.103+00:00,1,5,1,0,5,4.452305566363014,32
2025-11-22,1.0.2,2025-11-21T03:42:12.103+00:00,1,5,1,0,5,4.452153623343882,33
2025-11-23,1.0.2,2025-11-21T03:42:12.103+00:00,1,5,1,0,5,4.452067832964676,35
2025-11-24,1.0.2,2025-11-21T03:42:12.103+00:00,1,5,1,0,1,4.452156957343304,36
2025-11-25,1.0.2,2025-11-21T03:42:12.103+00:00,1,5,1,0,1,4.452130580970114,37
2025-11-26,1.0.2,2025-11-21T03:42:12.103+00:00,1,5,1,0,1,4.452286155925671,39
2025-11-27,1.0.2,2025-11-21T03:42:12.103+00:00,3,5,1,0,1,4.45223875606086,39
2025-11-28,1.0.2,2025-11-21T03:42:12.103+00:00,3,5,1,0,1,4.452517961570593,40
2025-11-29,1.0.2,2025-11-21T03:42:12.103+00:00,3,5,1,0,1,4.45259648724304,40
2025-11-30,1.0.2,2025-11-21T03:42:12.103+00:00,3,5,1,0,1,4.452511019099773,40
2025-12-01,1.0.2,2025-11-21T03:42:12.103+00:00,3,5,1,0,1,4.452530377887569,42
2025-12-02,1.0.2,2025-11-21T03:42:12.103+00:00,3,5,1,0,4,4.4525093432995195,42
2025-12-03,1.0.2,2025-11-21T03:42:12.103+00:00,3,5,1,0,4,4.452543254672305,44
2025-12-04,1.0.2,2025-11-21T03:42:12.103+00:00,3,5,1,0,11,4.452436194895592,44
