date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.0.3,2023-04-13T02:59:08.3+00:00,48,5,1,0,7,4.403204729309272,58
2024-11-26,0.0.3,2023-04-13T02:59:08.3+00:00,48,5,1,0,7,4.403204729309272,58
2024-11-27,0.0.3,2023-04-13T02:59:08.3+00:00,48,5,1,0,7,4.403204729309272,58
2024-11-28,0.0.3,2023-04-13T02:59:08.3+00:00,48,5,1,0,7,4.403204729309272,58
2024-11-29,0.0.3,2023-04-13T02:59:08.3+00:00,48,5,1,0,7,4.403204729309272,58
2024-11-30,0.0.3,2023-04-13T02:59:08.3+00:00,48,5,1,0,7,4.403204729309272,61
2024-12-01,0.0.3,2023-04-13T02:59:08.3+00:00,48,5,1,0,7,4.403204729309272,61
2024-12-02,0.0.3,2023-04-13T02:59:08.3+00:00,48,5,1,0,7,4.403204729309272,61
2024-12-03,0.0.3,2023-04-13T02:59:08.3+00:00,48,5,1,0,7,4.403204729309272,61
2024-12-04,0.0.3,2023-04-13T02:59:08.3+00:00,48,5,1,0,7,4.403204729309272,70
