date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-06-12,1.0.0,2026-06-11T19:14:54.623+00:00,2,5,1,0,1,4.453117428772963,15
2026-06-13,1.0.0,2026-06-11T19:14:54.623+00:00,2,5,1,0,1,4.4529220281627975,20
2026-06-14,1.0.0,2026-06-11T19:14:54.623+00:00,4,5,1,0,8,4.452845568316929,24
2026-06-15,1.0.0,2026-06-11T19:14:54.623+00:00,4,5,1,0,8,4.4528858994621485,26
2026-06-16,1.0.0,2026-06-11T19:14:54.623+00:00,4,5,1,0,8,4.452758895217098,29
2026-06-17,1.0.0,2026-06-11T19:14:54.623+00:00,4,5,1,0,8,4.452826953577093,31
2026-06-18,1.0.0,2026-06-11T19:14:54.623+00:00,4,5,1,0,8,4.45282799404955,34
2026-06-19,1.0.0,2026-06-11T19:14:54.623+00:00,4,5,1,0,8,4.4526559315498595,36
2026-06-20,1.0.0,2026-06-11T19:14:54.623+00:00,4,5,1,0,8,4.452444613040791,39
2026-06-21,1.0.0,2026-06-11T19:14:54.623+00:00,5,5,1,0,22,4.452423621517478,40
2026-06-22,1.0.0,2026-06-11T19:14:54.623+00:00,5,5,2,0,22,4.4522631504914045,41
2026-06-23,1.0.0,2026-06-11T19:14:54.623+00:00,5,5,2,0,23,4.452128667771303,42
2026-06-24,1.0.0,2026-06-11T19:14:54.623+00:00,5,5,1,0,8,4.452149995415788,43
2026-06-25,1.0.0,2026-06-11T19:14:54.623+00:00,5,5,1,0,8,4.4521336396519695,44
2026-06-26,1.0.0,2026-06-11T19:14:54.623+00:00,5,5,1,0,8,4.452177949331835,45
2026-06-27,1.0.0,2026-06-11T19:14:54.623+00:00,5,5,1,0,8,4.452105150673221,45
2026-06-28,1.0.0,2026-06-11T19:14:54.623+00:00,5,5,1,0,4,4.451953363447687,46
2026-06-29,1.0.0,2026-06-11T19:14:54.623+00:00,5,5,1,0,4,4.452002123880843,48
2026-06-30,1.0.0,2026-06-11T19:14:54.623+00:00,5,5,1,0,4,4.451831559937524,49
2026-07-01,1.0.0,2026-06-11T19:14:54.623+00:00,5,5,1,0,4,4.45188067603091,50
