date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-08-01,0.1.2,2025-07-31T21:33:33.493+00:00,4,5,1,0,2,4.457290622788146,4
2025-08-02,0.1.2,2025-07-31T21:33:33.493+00:00,5,5,1,0,4,4.457275942983224,7
2025-08-03,0.1.2,2025-07-31T21:33:33.493+00:00,5,5,1,0,1,4.457285517202743,8
2025-08-04,0.1.2,2025-07-31T21:33:33.493+00:00,7,5,1,0,1,4.457214271711429,9
2025-08-05,0.2.0,2025-08-05T10:12:03.927+00:00,8,5,1,0,5,4.457010693091479,11
2025-08-06,0.2.0,2025-08-05T10:12:03.927+00:00,10,5,1,0,3,4.456822856183454,13
2025-08-07,0.2.0,2025-08-05T10:12:03.927+00:00,11,5,1,0,4,4.456780283167278,16
2025-08-08,0.2.0,2025-08-05T10:12:03.927+00:00,20,5,1,0,4,4.456551666305616,17
2025-08-09,0.2.0,2025-08-05T10:12:03.927+00:00,24,5,4,0,4,4.456438375301226,18
2025-08-10,0.2.0,2025-08-05T10:12:03.927+00:00,29,5,1,0,4,4.456366746971125,18
2025-08-11,0.2.0,2025-08-05T10:12:03.927+00:00,35,5,1,0,4,4.456390316095163,18
2025-08-12,0.2.0,2025-08-05T10:12:03.927+00:00,46,5,1,0,4,4.4563653490562745,19
2025-08-13,0.2.0,2025-08-05T10:12:03.927+00:00,52,5,1,0,4,4.456307971267173,19
2025-08-14,0.2.0,2025-08-05T10:12:03.927+00:00,57,5,1,0,4,4.456267032821507,19
2025-08-15,0.2.0,2025-08-05T10:12:03.927+00:00,61,5,8,0,4,4.456081198754433,20
2025-08-16,0.2.0,2025-08-05T10:12:03.927+00:00,65,5,8,0,4,4.456051532033426,22
2025-08-17,0.2.0,2025-08-05T10:12:03.927+00:00,71,5,1,0,4,4.455973266499583,23
