date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-06-24,1.0.4,2026-04-21T08:56:25.05+00:00,125,5,1,0,3,4.452149995415788,137
2026-06-25,1.0.4,2026-04-21T08:56:25.05+00:00,128,5,1,0,3,4.4521336396519695,138
2026-06-26,1.0.4,2026-04-21T08:56:25.05+00:00,133,5,1,0,3,4.452177949331835,139
2026-06-27,1.0.4,2026-04-21T08:56:25.05+00:00,137,5,1,0,3,4.452105150673221,140
2026-06-28,1.0.4,2026-04-21T08:56:25.05+00:00,140,5,1,0,3,4.451953363447687,141
2026-06-29,1.0.4,2026-04-21T08:56:25.05+00:00,141,5,1,0,3,4.452002123880843,143
2026-06-30,1.0.4,2026-04-21T08:56:25.05+00:00,141,5,1,0,3,4.451831559937524,144
2026-07-01,1.0.4,2026-04-21T08:56:25.05+00:00,143,5,2,0,3,4.45188067603091,145
2026-07-02,1.0.4,2026-04-21T08:56:25.05+00:00,146,5,1,0,3,4.451774515002469,146
2026-07-03,1.0.4,2026-04-21T08:56:25.05+00:00,146,5,1,0,3,4.45166853549142,148
2026-07-04,1.0.4,2026-04-21T08:56:25.05+00:00,147,5,1,0,3,4.451678150835573,149
2026-07-05,1.0.4,2026-04-21T08:56:25.05+00:00,149,5,1,0,3,4.451582051000889,150
2026-07-06,1.0.4,2026-04-21T08:56:25.05+00:00,149,5,1,0,3,4.451540803897686,151
2026-07-07,1.0.4,2026-04-21T08:56:25.05+00:00,152,5,1,0,3,4.451534743275986,153
2026-07-08,1.0.4,2026-04-21T08:56:25.05+00:00,153,5,1,0,3,4.451487450398033,154
2026-07-09,1.0.4,2026-04-21T08:56:25.05+00:00,155,5,2,0.6493506493506493,3,4.451488654825578,155
2026-07-10,1.0.4,2026-04-21T08:56:25.05+00:00,157,5,2,0,3,4.451504792954114,156
2026-07-11,1.0.4,2026-04-21T08:56:25.05+00:00,157,5,2,0,3,4.451515612173543,157
2026-07-12,1.0.4,2026-04-21T08:56:25.05+00:00,158,5,1,0,3,4.4514054369498615,158
2026-07-13,1.0.4,2026-04-21T08:56:25.05+00:00,159,5,1,0,3,4.451434509665696,159
2026-07-14,1.0.4,2026-04-21T08:56:25.05+00:00,162,5,1,0,3,4.451424960966215,160
2026-07-15,1.0.4,2026-04-21T08:56:25.05+00:00,164,5,1,0,3,4.451437177750922,161
2026-07-16,1.0.4,2026-04-21T08:56:25.05+00:00,167,5,1,0,3,4.451444286598915,162
2026-07-17,1.0.4,2026-04-21T08:56:25.05+00:00,167,5,1,0,3,4.451211963052423,163
2026-07-18,1.0.4,2026-04-21T08:56:25.05+00:00,168,5,1,0,3,4.451189992295232,164
2026-07-19,1.0.4,2026-04-21T08:56:25.05+00:00,168,5,1,0,3,4.45117246733711,165
