date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-04-21,0.1.0,2026-04-20T13:03:21.083+00:00,1,5,1,0,2,4.4545426019943895,9
2026-04-22,0.1.0,2026-04-20T13:03:21.083+00:00,1,5,1,0,1,4.454523213579991,12
2026-04-23,0.1.0,2026-04-20T13:03:21.083+00:00,1,5,1,0,2,4.453468401231599,17
2026-04-24,0.2.1,2026-04-24T08:45:10.093+00:00,1,5,1,0,2,4.454509560606915,30
2026-04-25,0.3.0,2026-04-24T21:50:28.3+00:00,2,5,1,0,14,4.4544458084882494,46
2026-04-26,0.3.0,2026-04-24T21:50:28.3+00:00,2,5,1,0,14,4.454483406386975,54
2026-04-27,0.3.0,2026-04-24T21:50:28.3+00:00,2,5,1,0,1,4.454354807409401,57
2026-04-29,0.3.0,2026-04-24T21:50:28.3+00:00,2,5,1,0,1,4.454284499255794,69
2026-04-30,0.3.0,2026-04-24T21:50:28.3+00:00,3,5,1,0,1,4.45437218399855,76
2026-05-01,0.3.0,2026-04-24T21:50:28.3+00:00,3,5,1,0,1,4.45425869478313,80
2026-05-02,0.3.0,2026-04-24T21:50:28.3+00:00,3,5,1,0,1,4.454240102888751,86
2026-05-03,0.3.0,2026-04-24T21:50:28.3+00:00,3,5,1,0,1,4.454280489555443,91
2026-05-06,0.3.0,2026-04-24T21:50:28.3+00:00,4,5,1,0,1,4.454492189934802,99
2026-05-07,0.3.0,2026-04-24T21:50:28.3+00:00,4,5,1,0,1,4.454427651170614,101
2026-05-08,0.3.0,2026-04-24T21:50:28.3+00:00,4,5,1,0,1,4.454476418118554,101
2026-05-09,0.3.0,2026-04-24T21:50:28.3+00:00,4,5,1,0,1,4.454337274424393,101
2026-05-10,0.3.0,2026-04-24T21:50:28.3+00:00,4,5,1,0,1,4.454291526435952,101
2026-05-11,0.3.0,2026-04-24T21:50:28.3+00:00,5,5,1,0,1,4.454356601297433,101
2026-05-14,0.4.1,2026-05-13T14:17:09.88+00:00,5,5,1,0,2,4.45438567072224,119
2026-05-15,0.4.1,2026-05-13T14:17:09.88+00:00,6,5,1,0,2,4.454406049393446,123
2026-05-16,0.4.1,2026-05-13T14:17:09.88+00:00,6,5,1,0,2,4.454322627084988,125
2026-05-17,0.4.1,2026-05-13T14:17:09.88+00:00,6,5,1,0,2,4.454176618381464,127
