date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-03-14,0.0.3,2025-03-14T11:14:41.667+00:00,0,0,0,0,0,0,0
2025-03-15,0.0.5,2025-03-15T10:09:25.26+00:00,11,5,1,0,4,4.403204729309272,7
2025-03-16,0.0.5,2025-03-15T10:09:25.26+00:00,11,5,1,0,3,4.403204729309272,16
2025-03-17,0.0.7,2025-03-17T09:26:31.127+00:00,12,5,1,0,1,4.403204729309272,24
2025-03-18,0.0.7,2025-03-17T09:26:31.127+00:00,17,5,1,0,2,4.403204729309272,33
2025-03-19,0.0.8,2025-03-18T17:26:14.39+00:00,17,5,1,0,2,4.403204729309272,38
2025-03-20,1.0.1,2025-03-19T19:16:44.287+00:00,18,5,1,0,2,4.403204729309272,52
2025-03-21,1.0.3,2025-03-21T11:30:08.39+00:00,21,5,2,0,2,4.403204729309272,80
2025-03-22,1.0.7,2025-03-21T15:31:01.573+00:00,23,5,2,0,2,4.403204729309272,118
2025-03-23,1.0.8,2025-03-22T14:59:48.97+00:00,23,5,2,0,4,4.403204729309272,125
2025-03-24,1.0.8,2025-03-22T14:59:48.97+00:00,24,5,1,0,4,4.403204729309272,182
2025-03-25,1.0.8,2025-03-22T14:59:48.97+00:00,27,5,1,0,5,4.403204729309272,194
2025-03-26,1.0.8,2025-03-22T14:59:48.97+00:00,28,5,2,0,5,4.403204729309272,210
2025-03-27,1.0.8,2025-03-22T14:59:48.97+00:00,30,5,1,0,5,4.403204729309272,211
2025-03-28,1.0.9,2025-03-27T13:55:43.187+00:00,33,5,1,0,6,4.403204729309272,216
2025-03-29,1.0.9,2025-03-27T13:55:43.187+00:00,35,5,1,0,6,4.403204729309272,228
2025-03-30,1.0.9,2025-03-27T13:55:43.187+00:00,35,5,1,0,6,4.403204729309272,229
2025-03-31,1.0.9,2025-03-27T13:55:43.187+00:00,35,5,1,0,6,4.403204729309272,231
2025-04-01,1.0.9,2025-03-27T13:55:43.187+00:00,35,5,1,0,6,4.403204729309272,233
2025-04-02,1.0.9,2025-03-27T13:55:43.187+00:00,36,5,2,0,6,4.403204729309272,255
2025-04-03,1.0.9,2025-03-27T13:55:43.187+00:00,36,5,2,0,6,4.403204729309272,255
2025-04-04,1.0.9,2025-03-27T13:55:43.187+00:00,37,5,2,0,6,4.403204729309272,258
2025-04-05,1.0.9,2025-03-27T13:55:43.187+00:00,37,5,1,0,6,4.403204729309272,264
2025-04-06,1.0.9,2025-03-27T13:55:43.187+00:00,38,5,1,0,6,4.403204729309272,265
2025-04-07,1.0.9,2025-03-27T13:55:43.187+00:00,39,5,1,0,6,4.403204729309272,266
2025-04-08,1.0.9,2025-03-27T13:55:43.187+00:00,39,5,1,0,6,4.403204729309272,267
2025-04-09,1.0.9,2025-03-27T13:55:43.187+00:00,39,5,1,0,6,4.403204729309272,268
2025-04-10,1.0.9,2025-03-27T13:55:43.187+00:00,40,5,1,0,6,4.403204729309272,268
2025-04-11,1.0.9,2025-03-27T13:55:43.187+00:00,43,5,1,0,6,4.403204729309272,269
2025-04-12,1.0.9,2025-03-27T13:55:43.187+00:00,43,5,1,0,6,4.403204729309272,275
2025-04-13,1.0.9,2025-03-27T13:55:43.187+00:00,43,5,1,0,6,4.403204729309272,276
2025-04-14,1.0.9,2025-03-27T13:55:43.187+00:00,43,5,1,0,6,4.403204729309272,278
2025-04-15,1.0.9,2025-03-27T13:55:43.187+00:00,43,5,2,0,6,4.403204729309272,279
2025-04-16,1.0.9,2025-03-27T13:55:43.187+00:00,43,5,2,0,6,4.403204729309272,279
2025-04-17,1.0.9,2025-03-27T13:55:43.187+00:00,43,5,1,0,6,4.403204729309272,281
2025-04-18,1.0.9,2025-03-27T13:55:43.187+00:00,43,5,1,0,6,4.403204729309272,281
2025-04-19,1.0.9,2025-03-27T13:55:43.187+00:00,43,5,1,0,6,4.403204729309272,286
2025-04-20,1.0.9,2025-03-27T13:55:43.187+00:00,43,5,1,0,6,4.403204729309272,288
2025-04-21,1.0.9,2025-03-27T13:55:43.187+00:00,43,5,2,0,6,4.403204729309272,290
2025-04-22,1.0.9,2025-03-27T13:55:43.187+00:00,43,5,2,0,6,4.403204729309272,292
2025-04-23,1.0.9,2025-03-27T13:55:43.187+00:00,44,5,1,0,6,4.403204729309272,294
2025-04-24,1.0.9,2025-03-27T13:55:43.187+00:00,47,5,2,0,6,4.403204729309272,295
2025-04-25,1.0.9,2025-03-27T13:55:43.187+00:00,49,5,1,0,6,4.403204729309272,297
2025-04-26,1.0.9,2025-03-27T13:55:43.187+00:00,51,5,1,0,6,4.403204729309272,303
2025-04-27,1.0.9,2025-03-27T13:55:43.187+00:00,51,5,1,0,6,4.403204729309272,305
2025-04-28,1.0.9,2025-03-27T13:55:43.187+00:00,51,5,1,0,6,4.403204729309272,308
2025-04-29,1.0.9,2025-03-27T13:55:43.187+00:00,53,5,1,0,6,4.403204729309272,310
2025-04-30,1.0.9,2025-03-27T13:55:43.187+00:00,55,5,1,0,6,4.403204729309272,312
2025-05-01,1.0.9,2025-03-27T13:55:43.187+00:00,57,5,1,0,6,4.403204729309272,313
2025-05-02,1.0.9,2025-03-27T13:55:43.187+00:00,60,5,1,0,6,4.403204729309272,315
2025-05-03,1.0.9,2025-03-27T13:55:43.187+00:00,60,5,1,0,6,4.403204729309272,316
