date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.0.15,2021-03-26T05:53:04.59+00:00,40716,5,2,0.004913642729037172,130,4.502670607757727,150
2024-11-26,0.0.15,2021-03-26T05:53:04.59+00:00,40728,5,2,0.004913642729037172,130,4.502670607757727,150
2024-11-27,0.0.15,2021-03-26T05:53:04.59+00:00,40764,5,2,0.0024539275109813257,130,4.502670607757727,150
2024-11-28,0.0.15,2021-03-26T05:53:04.59+00:00,40809,5,2,0.004902681766926509,130,4.502670607757727,150
2024-11-29,0.0.15,2021-03-26T05:53:04.59+00:00,40850,5,2,0,130,4.502670607757727,150
2024-11-30,0.0.15,2021-03-26T05:53:04.59+00:00,40892,5,2,0,130,4.502670607757727,150
2024-12-01,0.0.15,2021-03-26T05:53:04.59+00:00,40915,5,2,0.002444688913335778,130,4.502670607757727,150
2024-12-02,0.0.15,2021-03-26T05:53:04.59+00:00,40946,5,2,0.002442897276169537,130,4.502670607757727,150
2024-12-03,0.0.15,2021-03-26T05:53:04.59+00:00,40981,5,2,0,130,4.502670607757727,150
2024-12-04,0.0.15,2021-03-26T05:53:04.59+00:00,41035,5,2,0.00487578926838782,130,4.502670607757727,150
2024-12-05,0.0.15,2021-03-26T05:53:04.59+00:00,41081,5,2,0.0024348672997321647,131,4.502670607757727,150
2024-12-06,0.0.15,2021-03-26T05:53:04.59+00:00,41123,5,2,0,131,4.502670607757727,150
2024-12-07,0.0.15,2021-03-26T05:53:04.59+00:00,41156,5,2,0,131,4.502670607757727,150
2024-12-08,0.0.15,2021-03-26T05:53:04.59+00:00,41192,5,2,0.004856608630193536,131,4.502670607757727,150
2024-12-09,0.0.15,2021-03-26T05:53:04.59+00:00,41223,5,2,0.004852484472049689,131,4.502670607757727,163
2024-12-10,0.0.15,2021-03-26T05:53:04.59+00:00,41259,5,2,0,131,4.502670607757727,163
2024-12-11,0.0.15,2021-03-26T05:53:04.59+00:00,41301,5,2,0,131,4.502670607757727,163
2024-12-12,0.0.15,2021-03-26T05:53:04.59+00:00,41351,5,2,0.004838982845805812,131,4.502670607757727,163
2024-12-13,0.0.15,2021-03-26T05:53:04.59+00:00,41380,5,2,0.0024169768453618213,131,4.502670607757727,163
2024-12-14,0.0.15,2021-03-26T05:53:04.59+00:00,41416,5,2,0,131,4.502670607757727,163
2024-12-15,0.0.15,2021-03-26T05:53:04.59+00:00,41443,5,2,0,131,4.502670607757727,163
2024-12-16,0.0.15,2021-03-26T05:53:04.59+00:00,41464,5,2,0,131,4.502670607757727,163
2024-12-17,0.0.15,2021-03-26T05:53:04.59+00:00,41484,5,2,0,132,4.502670607757727,163
2024-12-17,0.0.15,2021-03-26T05:53:04.59+00:00,41506,5,2,0,132,4.502670607757727,163
2024-12-18,0.0.15,2021-03-26T05:53:04.59+00:00,41535,5,2,0,132,4.502670607757727,163
2024-12-19,0.0.15,2021-03-26T05:53:04.59+00:00,41581,5,2,0.00240598609340038,132,4.502670607757727,163
2024-12-20,0.0.15,2021-03-26T05:53:04.59+00:00,41617,5,2,0.007210325185665873,132,4.502670607757727,163
2024-12-21,0.0.15,2021-03-26T05:53:04.59+00:00,41651,5,2,0,132,4.502670607757727,164
2024-12-22,0.0.15,2021-03-26T05:53:04.59+00:00,41684,5,2,0.0023996352554411728,132,4.502670607757727,164
2024-12-23,0.0.15,2021-03-26T05:53:04.59+00:00,41707,5,2,0.0023982540710362856,133,4.502670607757727,164
2024-12-24,0.0.15,2021-03-26T05:53:04.59+00:00,41750,5,2,0,133,4.502670607757727,164
