date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-06-18,0.0.4,2025-06-17T17:24:57.177+00:00,1,5,1,0,1,4.403204729309272,7
2025-06-19,0.0.4,2025-06-17T17:24:57.177+00:00,6,5,1,0,1,4.403204729309272,8
2025-06-20,0.0.4,2025-06-17T17:24:57.177+00:00,7,5,1,0,1,4.403204729309272,11
2025-06-21,0.0.4,2025-06-17T17:24:57.177+00:00,8,5,1,0,74,4.403204729309272,12
2025-06-22,0.0.4,2025-06-17T17:24:57.177+00:00,8,5,1,0,74,4.403204729309272,13
2025-06-23,0.0.4,2025-06-17T17:24:57.177+00:00,9,5,1,0,74,4.403204729309272,14
2025-06-24,0.0.4,2025-06-17T17:24:57.177+00:00,9,5,1,0,74,4.403204729309272,15
2025-06-25,0.0.4,2025-06-17T17:24:57.177+00:00,10,5,1,0,74,4.403204729309272,15
2025-06-26,0.0.4,2025-06-17T17:24:57.177+00:00,11,5,1,0,74,4.403204729309272,15
2025-06-27,0.0.4,2025-06-17T17:24:57.177+00:00,12,5,1,0,22,4.403204729309272,16
2025-06-28,0.0.4,2025-06-17T17:24:57.177+00:00,13,5,1,0,22,4.403204729309272,17
2025-06-29,0.0.4,2025-06-17T17:24:57.177+00:00,13,5,1,0,22,4.403204729309272,18
2025-06-30,0.0.4,2025-06-17T17:24:57.177+00:00,15,5,1,0,4,4.403204729309272,19
2025-07-01,0.0.4,2025-06-17T17:24:57.177+00:00,15,5,1,0,4,4.403204729309272,20
2025-07-02,0.0.4,2025-06-17T17:24:57.177+00:00,17,5,1,0,1,4.403204729309272,22
2025-07-03,0.0.4,2025-06-17T17:24:57.177+00:00,20,5,1,0,6,4.403204729309272,22
2025-07-04,0.0.4,2025-06-17T17:24:57.177+00:00,21,5,1,0,6,4.403204729309272,23
2025-07-05,0.0.4,2025-06-17T17:24:57.177+00:00,22,5,1,0,6,4.403204729309272,25
2025-07-06,0.0.4,2025-06-17T17:24:57.177+00:00,22,5,1,0,1,4.403204729309272,27
2025-07-07,0.0.4,2025-06-17T17:24:57.177+00:00,22,5,1,0,1,4.403204729309272,27
2025-07-08,0.0.4,2025-06-17T17:24:57.177+00:00,24,5,2,0,6,4.403204729309272,28
2025-07-09,0.0.4,2025-06-17T17:24:57.177+00:00,25,5,2,0,20,4.403204729309272,28
2025-07-10,0.0.4,2025-06-17T17:24:57.177+00:00,27,5,2,0,23,4.403204729309272,30
2025-07-11,0.0.4,2025-06-17T17:24:57.177+00:00,30,5,2,0,3,4.403204729309272,31
2025-07-12,0.0.4,2025-06-17T17:24:57.177+00:00,31,5,2,0,3,4.403204729309272,31
2025-07-13,0.0.4,2025-06-17T17:24:57.177+00:00,32,5,2,0,3,4.403204729309272,31
2025-07-14,0.0.4,2025-06-17T17:24:57.177+00:00,33,5,2,0,10,4.403204729309272,33
2025-07-15,0.0.4,2025-06-17T17:24:57.177+00:00,34,5,2,0,10,4.403204729309272,34
2025-07-16,0.0.4,2025-06-17T17:24:57.177+00:00,37,5,2,0,1,4.457579009800322,35
2025-07-17,0.0.4,2025-06-17T17:24:57.177+00:00,40,5,2,0,24,4.457495677945172,35
2025-07-18,0.0.4,2025-06-17T17:24:57.177+00:00,41,5,2,0,24,4.4576272381718045,36
2025-07-19,0.0.4,2025-06-17T17:24:57.177+00:00,43,5,2,0,1,4.457726522958932,37
2025-07-20,0.0.4,2025-06-17T17:24:57.177+00:00,44,5,2,0,1,4.4577909951304076,38
2025-07-21,0.0.4,2025-06-17T17:24:57.177+00:00,45,5,2,0,1,4.457829882271712,38
2025-07-22,0.0.4,2025-06-17T17:24:57.177+00:00,46,5,2,0,1,4.457674975355584,38
2025-07-23,0.0.4,2025-06-17T17:24:57.177+00:00,47,5,2,0,4,4.4577087116253535,39
2025-07-24,0.0.4,2025-06-17T17:24:57.177+00:00,48,5,2,0,9,4.457541628268531,40
2025-07-25,0.0.4,2025-06-17T17:24:57.177+00:00,49,5,2,0,10,4.457681971042226,42
2025-07-26,0.0.4,2025-06-17T17:24:57.177+00:00,49,5,2,0,10,4.457387980522629,44
2025-07-27,0.0.4,2025-06-17T17:24:57.177+00:00,49,5,2,0,10,4.457345339102096,46
2025-07-28,0.0.4,2025-06-17T17:24:57.177+00:00,50,5,2,0,10,4.457094307561597,47
2025-07-30,0.0.4,2025-06-17T17:24:57.177+00:00,53,5,1,0,70,4.457146665170178,48
2025-07-31,0.0.4,2025-06-17T17:24:57.177+00:00,54,5,1,0,185,4.457257046697518,49
2025-08-01,0.0.4,2025-06-17T17:24:57.177+00:00,54,5,1,0,70,4.457290622788146,50
2025-08-02,0.0.4,2025-06-17T17:24:57.177+00:00,54,5,1,0,70,4.457275942983224,51
2025-08-03,0.0.4,2025-06-17T17:24:57.177+00:00,54,5,1,0,185,4.457285517202743,52
2025-08-04,0.0.4,2025-06-17T17:24:57.177+00:00,56,5,1,0,129,4.457214271711429,52
2025-08-05,0.0.4,2025-06-17T17:24:57.177+00:00,57,5,1,0,129,4.457010693091479,52
2025-08-06,0.0.4,2025-06-17T17:24:57.177+00:00,59,5,1,0,129,4.456822856183454,53
2025-08-07,0.0.4,2025-06-17T17:24:57.177+00:00,61,5,1,0,129,4.456780283167278,54
2025-08-08,0.0.4,2025-06-17T17:24:57.177+00:00,61,5,1,0,129,4.456551666305616,55
2025-08-09,0.0.4,2025-06-17T17:24:57.177+00:00,61,5,1,0,129,4.456438375301226,55
2025-08-10,0.0.4,2025-06-17T17:24:57.177+00:00,61,5,1,0,6,4.456366746971125,55
2025-08-11,0.0.4,2025-06-17T17:24:57.177+00:00,62,5,1,0,6,4.456390316095163,55
2025-08-12,0.0.4,2025-06-17T17:24:57.177+00:00,69,5,1,0,6,4.4563653490562745,55
2025-08-13,0.0.4,2025-06-17T17:24:57.177+00:00,71,5,1,0,6,4.456307971267173,56
