date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,1.0.7,2022-10-27T03:45:52.98+00:00,19563,5,10,0,39187,4.7016023646546365,358
2024-11-26,1.0.7,2022-10-27T03:45:52.98+00:00,19565,5,10,0,39187,4.7016023646546365,358
2024-11-27,1.0.7,2022-10-27T03:45:52.98+00:00,19568,5,10,0,39187,4.7016023646546365,358
2024-11-28,1.0.7,2022-10-27T03:45:52.98+00:00,19581,5,10,0,39187,4.7016023646546365,358
2024-11-29,1.0.7,2022-10-27T03:45:52.98+00:00,19583,5,10,0,39187,4.7016023646546365,358
2024-11-30,1.0.7,2022-10-27T03:45:52.98+00:00,19587,5,10,0.00510542706897432,39188,4.7016023646546365,359
2024-12-01,1.0.7,2022-10-27T03:45:52.98+00:00,19590,5,10,0,39188,4.7016023646546365,359
2024-12-02,1.0.7,2022-10-27T03:45:52.98+00:00,19593,5,10,0,39188,4.7016023646546365,359
2024-12-03,1.0.7,2022-10-27T03:45:52.98+00:00,19604,5,10,0,39189,4.7016023646546365,359
2024-12-04,1.0.7,2022-10-27T03:45:52.98+00:00,19612,5,10,0,39189,4.7016023646546365,359
2024-12-05,1.0.7,2022-10-27T03:45:52.98+00:00,19621,5,10,0,39190,4.7016023646546365,359
2024-12-06,1.0.7,2022-10-27T03:45:52.98+00:00,19626,5,10,0,39190,4.7016023646546365,359
2024-12-07,1.0.7,2022-10-27T03:45:52.98+00:00,19634,5,10,0,39190,4.7016023646546365,359
2024-12-08,1.0.7,2022-10-27T03:45:52.98+00:00,19635,5,10,0,39190,4.7016023646546365,360
2024-12-09,1.0.7,2022-10-27T03:45:52.98+00:00,19640,5,10,0,39190,4.7016023646546365,369
2024-12-10,1.0.7,2022-10-27T03:45:52.98+00:00,19646,5,10,0,39190,4.7016023646546365,369
2024-12-11,1.0.7,2022-10-27T03:45:52.98+00:00,19653,5,10,0,39190,4.7016023646546365,370
2024-12-12,1.0.7,2022-10-27T03:45:52.98+00:00,19660,5,10,0,39190,4.7016023646546365,370
