date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-12-24,0.5.0,2025-12-14T16:58:01.583+00:00,317,5,1,0,115,4.451174493320214,84
2025-12-25,0.5.0,2025-12-14T16:58:01.583+00:00,328,5,1,0.3058103975535168,115,4.451266850631775,85
2025-12-26,0.5.0,2025-12-14T16:58:01.583+00:00,346,5,1,0,115,4.451345304797165,87
2025-12-27,0.5.0,2025-12-14T16:58:01.583+00:00,364,5,1,0,115,4.45128002111375,88
2025-12-28,0.6.1,2025-12-28T03:14:55.34+00:00,378,5,1,0,136,4.451149690645489,97
2025-12-29,0.7.0,2025-12-29T03:15:13.72+00:00,395,5,2,0,192,4.451195790500933,110
2025-12-30,0.8.0,2025-12-30T04:23:29.12+00:00,413,5,2,0.2457002457002457,257,4.451020461976585,116
2025-12-31,0.9.0,2025-12-31T03:06:13.2+00:00,434,5,1,0,320,4.450981167384915,127
2026-01-01,0.10.0,2026-01-01T02:50:22.5+00:00,443,5,1,0,370,4.451067445705515,140
2026-01-02,0.11.1,2026-01-02T02:28:23.713+00:00,454,5,1,0.22075055187637968,442,4.448254770032162,154
2026-01-03,0.11.1,2026-01-02T02:28:23.713+00:00,475,5,1,0.21321961620469082,483,4.451049848892868,159
