date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-12-22,1.0.2,2024-12-21T19:31:48.217+00:00,1,5,1,0,1,4.403204729309272,4
2024-12-23,1.1.0,2024-12-22T13:22:41.83+00:00,2,5,1,0,1,4.403204729309272,6
2024-12-24,1.1.0,2024-12-22T13:22:41.83+00:00,3,5,1,0,1,4.403204729309272,6
2024-12-25,1.1.0,2024-12-22T13:22:41.83+00:00,4,5,1,0,1,4.403204729309272,6
2024-12-26,1.1.0,2024-12-22T13:22:41.83+00:00,4,5,1,0,1,4.403204729309272,6
2024-12-27,1.1.0,2024-12-22T13:22:41.83+00:00,4,5,1,0,1,4.403204729309272,6
2024-12-28,1.1.0,2024-12-22T13:22:41.83+00:00,5,5,1,0,1,4.403204729309272,9
2024-12-29,1.1.0,2024-12-22T13:22:41.83+00:00,6,5,1,0,1,4.403204729309272,9
2024-12-30,1.1.0,2024-12-22T13:22:41.83+00:00,8,5,1,0,1,4.403204729309272,9
2024-12-31,1.1.0,2024-12-22T13:22:41.83+00:00,8,5,1,0,1,4.403204729309272,9
2025-01-01,1.1.0,2024-12-22T13:22:41.83+00:00,10,5,1,0,1,4.403204729309272,9
2025-01-02,1.1.0,2024-12-22T13:22:41.83+00:00,10,5,1,0,1,4.403204729309272,9
2025-01-03,1.1.0,2024-12-22T13:22:41.83+00:00,11,5,1,0,1,4.403204729309272,9
2025-01-04,1.1.0,2024-12-22T13:22:41.83+00:00,11,5,1,0,1,4.403204729309272,9
2025-01-05,1.1.0,2024-12-22T13:22:41.83+00:00,12,5,1,0,1,4.403204729309272,9
2025-01-06,1.1.0,2024-12-22T13:22:41.83+00:00,12,5,2,0,1,4.403204729309272,9
2025-01-07,1.1.0,2024-12-22T13:22:41.83+00:00,13,5,1,0,1,4.403204729309272,9
2025-01-08,1.1.0,2024-12-22T13:22:41.83+00:00,13,5,1,0,1,4.403204729309272,9
2025-01-09,1.1.0,2024-12-22T13:22:41.83+00:00,14,5,2,0,1,4.403204729309272,9
