date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,4.1.0,2022-02-23T12:56:30.253+00:00,2266,5,2,0,366,4.502670607757727,50
2024-11-26,4.1.0,2022-02-23T12:56:30.253+00:00,2267,5,2,0,366,4.502670607757727,50
2024-11-27,4.1.0,2022-02-23T12:56:30.253+00:00,2270,5,2,0,366,4.502670607757727,50
2024-11-28,4.1.0,2022-02-23T12:56:30.253+00:00,2273,5,2,0.04401408450704226,366,4.502670607757727,50
2024-11-29,4.1.0,2022-02-23T12:56:30.253+00:00,2273,5,2,0,366,4.502670607757727,50
2024-11-30,4.1.0,2022-02-23T12:56:30.253+00:00,2274,5,2,0,366,4.502670607757727,50
2024-12-01,4.1.0,2022-02-23T12:56:30.253+00:00,2274,5,2,0,366,4.502670607757727,50
2024-12-02,4.1.0,2022-02-23T12:56:30.253+00:00,2275,5,2,0,366,4.502670607757727,51
2024-12-03,4.1.0,2022-02-23T12:56:30.253+00:00,2275,5,2,0,366,4.502670607757727,51
2024-12-04,4.1.0,2022-02-23T12:56:30.253+00:00,2275,5,2,0,366,4.502670607757727,51
2024-12-05,4.1.0,2022-02-23T12:56:30.253+00:00,2276,5,2,0,366,4.502670607757727,54
2024-12-06,4.1.0,2022-02-23T12:56:30.253+00:00,2277,5,2,0,366,4.502670607757727,54
2024-12-07,4.1.0,2022-02-23T12:56:30.253+00:00,2278,5,2,0,366,4.502670607757727,54
2024-12-08,4.1.0,2022-02-23T12:56:30.253+00:00,2279,5,2,0,366,4.502670607757727,54
2024-12-09,4.1.0,2022-02-23T12:56:30.253+00:00,2280,5,2,0,366,4.502670607757727,64
2024-12-10,4.1.0,2022-02-23T12:56:30.253+00:00,2281,5,2,0,366,4.502670607757727,64
2024-12-11,4.1.0,2022-02-23T12:56:30.253+00:00,2283,5,2,0,366,4.502670607757727,64
2024-12-12,4.1.0,2022-02-23T12:56:30.253+00:00,2283,5,2,0,366,4.502670607757727,64
2024-12-13,4.1.0,2022-02-23T12:56:30.253+00:00,2285,5,2,0,366,4.502670607757727,64
2024-12-14,4.1.0,2022-02-23T12:56:30.253+00:00,2286,5,2,0,366,4.502670607757727,69
2024-12-15,4.1.0,2022-02-23T12:56:30.253+00:00,2286,5,2,0,366,4.502670607757727,69
2024-12-16,4.1.0,2022-02-23T12:56:30.253+00:00,2286,5,2,0,366,4.502670607757727,69
2024-12-17,4.1.0,2022-02-23T12:56:30.253+00:00,2287,5,2,0,366,4.502670607757727,69
2024-12-17,4.1.0,2022-02-23T12:56:30.253+00:00,2287,5,2,0,366,4.502670607757727,69
2024-12-18,4.1.0,2022-02-23T12:56:30.253+00:00,2287,5,2,0,366,4.502670607757727,69
2024-12-19,4.1.0,2022-02-23T12:56:30.253+00:00,2287,5,2,0,366,4.502670607757727,69
2024-12-20,4.1.0,2022-02-23T12:56:30.253+00:00,2290,5,2,0,366,4.502670607757727,69
2024-12-21,4.1.0,2022-02-23T12:56:30.253+00:00,2290,5,2,0,366,4.502670607757727,76
2024-12-22,4.1.0,2022-02-23T12:56:30.253+00:00,2290,5,2,0,366,4.502670607757727,76
2024-12-23,4.1.0,2022-02-23T12:56:30.253+00:00,2290,5,2,0,366,4.502670607757727,76
2024-12-24,4.1.0,2022-02-23T12:56:30.253+00:00,2290,5,2,0,366,4.502670607757727,76
2024-12-25,4.1.0,2022-02-23T12:56:30.253+00:00,2292,5,2,0,366,4.502670607757727,76
2024-12-26,4.1.0,2022-02-23T12:56:30.253+00:00,2292,5,2,0,366,4.502670607757727,76
2024-12-27,4.1.0,2022-02-23T12:56:30.253+00:00,2294,5,2,0,366,4.502670607757727,76
2024-12-28,4.1.0,2022-02-23T12:56:30.253+00:00,2295,5,2,0,366,4.502670607757727,76
2024-12-29,4.1.0,2022-02-23T12:56:30.253+00:00,2296,5,2,0,366,4.502670607757727,76
2024-12-30,4.1.0,2022-02-23T12:56:30.253+00:00,2297,5,2,0,366,4.502670607757727,76
2024-12-31,4.1.0,2022-02-23T12:56:30.253+00:00,2297,5,2,0,366,4.502670607757727,76
2025-01-01,4.1.0,2022-02-23T12:56:30.253+00:00,2297,5,2,0,366,4.502670607757727,76
2025-01-02,4.1.0,2022-02-23T12:56:30.253+00:00,2301,5,2,0,366,4.502670607757727,76
2025-01-03,4.1.0,2022-02-23T12:56:30.253+00:00,2301,5,2,0,366,4.502670607757727,77
2025-01-04,4.1.0,2022-02-23T12:56:30.253+00:00,2301,5,2,0,366,4.502670607757727,79
2025-01-05,4.1.0,2022-02-23T12:56:30.253+00:00,2301,5,2,0,366,4.502670607757727,79
2025-01-06,4.1.0,2022-02-23T12:56:30.253+00:00,2302,5,2,0,366,4.502670607757727,79
2025-01-07,4.1.0,2022-02-23T12:56:30.253+00:00,2303,5,2,0,366,4.502670607757727,79
2025-01-08,4.1.0,2022-02-23T12:56:30.253+00:00,2303,5,2,0,366,4.502670607757727,79
