date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,2.0.0,2022-11-23T01:00:25.817+00:00,3350,4.7272725105285645,11,0,2,4.403204729309272,27
2024-11-26,2.0.0,2022-11-23T01:00:25.817+00:00,3352,5,6,0,2,4.403204729309272,27
2024-11-27,2.0.0,2022-11-23T01:00:25.817+00:00,3357,5,6,0,2,4.403204729309272,27
2024-11-28,2.0.0,2022-11-23T01:00:25.817+00:00,3361,5,6,0,2,4.403204729309272,27
2024-11-29,2.0.0,2022-11-23T01:00:25.817+00:00,3371,5,6,0.029700029700029697,2,4.403204729309272,27
2024-11-30,2.0.0,2022-11-23T01:00:25.817+00:00,3375,5,1,0,2,4.403204729309272,27
2024-12-01,2.0.0,2022-11-23T01:00:25.817+00:00,3376,5,1,0,2,4.403204729309272,27
2024-12-02,2.0.0,2022-11-23T01:00:25.817+00:00,3379,5,1,0,2,4.403204729309272,27
2024-12-03,2.0.0,2022-11-23T01:00:25.817+00:00,3386,5,1,0,2,4.403204729309272,27
2024-12-04,2.0.0,2022-11-23T01:00:25.817+00:00,3395,5,1,0,2,4.403204729309272,27
2024-12-05,2.0.0,2022-11-23T01:00:25.817+00:00,3398,5,1,0,2,4.403204729309272,27
2024-12-06,2.0.0,2022-11-23T01:00:25.817+00:00,3404,5,1,0,2,4.403204729309272,27
2024-12-07,2.0.0,2022-11-23T01:00:25.817+00:00,3406,5,1,0,2,4.403204729309272,30
2024-12-08,2.0.0,2022-11-23T01:00:25.817+00:00,3407,5,1,0,2,4.403204729309272,32
2024-12-09,2.0.0,2022-11-23T01:00:25.817+00:00,3409,5,1,0,2,4.403204729309272,34
2024-12-10,2.0.0,2022-11-23T01:00:25.817+00:00,3410,5,1,0,2,4.403204729309272,34
2024-12-11,2.0.0,2022-11-23T01:00:25.817+00:00,3415,5,1,0,2,4.403204729309272,34
2024-12-12,2.0.0,2022-11-23T01:00:25.817+00:00,3418,5,1,0,2,4.403204729309272,34
2024-12-13,2.0.0,2022-11-23T01:00:25.817+00:00,3422,5,1,0,2,4.403204729309272,34
2024-12-14,2.0.0,2022-11-23T01:00:25.817+00:00,3424,5,1,0,2,4.403204729309272,36
2024-12-15,2.0.0,2022-11-23T01:00:25.817+00:00,3424,5,1,0,2,4.403204729309272,36
2024-12-16,2.0.0,2022-11-23T01:00:25.817+00:00,3427,5,1,0,2,4.403204729309272,36
2024-12-17,2.0.0,2022-11-23T01:00:25.817+00:00,3428,5,1,0,2,4.403204729309272,36
2024-12-17,2.0.0,2022-11-23T01:00:25.817+00:00,3432,5,1,0,2,4.403204729309272,36
2024-12-18,2.0.0,2022-11-23T01:00:25.817+00:00,3436,5,1,0.029120559114735003,2,4.403204729309272,36
2024-12-19,2.0.0,2022-11-23T01:00:25.817+00:00,3438,5,2,0,2,4.403204729309272,36
2024-12-20,2.0.0,2022-11-23T01:00:25.817+00:00,3440,5,2,0,2,4.403204729309272,36
2024-12-21,2.0.0,2022-11-23T01:00:25.817+00:00,3443,5,5,0,2,4.403204729309272,36
