date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-03-08,0.0.3,2025-03-07T15:46:36+00:00,1,5,1,0,8,4.403204729309272,13
2025-03-09,0.1.1,2025-03-09T10:25:09.98+00:00,1,5,1,0,1,4.403204729309272,13
2025-03-10,0.1.1,2025-03-09T10:25:09.98+00:00,1,5,2,0,3,4.403204729309272,21
2025-03-11,0.1.1,2025-03-09T10:25:09.98+00:00,1,5,1,0,7,4.403204729309272,21
2025-03-12,0.1.1,2025-03-09T10:25:09.98+00:00,1,5,1,0,3,4.403204729309272,22
2025-03-13,0.1.1,2025-03-09T10:25:09.98+00:00,1,5,1,0,3,4.403204729309272,24
2025-03-14,0.1.1,2025-03-09T10:25:09.98+00:00,2,5,1,0,1,4.403204729309272,24
2025-03-15,0.1.1,2025-03-09T10:25:09.98+00:00,2,5,2,0,1,4.403204729309272,27
2025-03-16,0.1.1,2025-03-09T10:25:09.98+00:00,4,5,2,0,1,4.403204729309272,29
2025-03-17,0.1.1,2025-03-09T10:25:09.98+00:00,5,5,1,0,1,4.403204729309272,31
2025-03-18,0.1.1,2025-03-09T10:25:09.98+00:00,5,5,1,0,3,4.403204729309272,32
2025-03-19,0.1.1,2025-03-09T10:25:09.98+00:00,5,5,1,0,3,4.403204729309272,32
