date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.12.0,2020-04-24T22:27:09.123+00:00,8065,5,4,0,3349,4.573717663792337,125
2024-11-26,0.12.0,2020-04-24T22:27:09.123+00:00,8065,5,4,0,3349,4.573717663792337,125
2024-11-27,0.12.0,2020-04-24T22:27:09.123+00:00,8071,5,4,0,3349,4.573717663792337,125
2024-11-28,0.12.0,2020-04-24T22:27:09.123+00:00,8072,5,4,0,3349,4.573717663792337,125
2024-11-29,0.12.0,2020-04-24T22:27:09.123+00:00,8075,5,4,0,3349,4.573717663792337,125
2024-11-30,0.12.0,2020-04-24T22:27:09.123+00:00,8079,5,4,0,3349,4.573717663792337,125
2024-12-01,0.12.0,2020-04-24T22:27:09.123+00:00,8079,5,4,0,3349,4.573717663792337,125
2024-12-02,0.12.0,2020-04-24T22:27:09.123+00:00,8083,5,4,0,3349,4.573717663792337,125
2024-12-03,0.12.0,2020-04-24T22:27:09.123+00:00,8087,5,4,0,3349,4.573717663792337,125
2024-12-04,0.12.0,2020-04-24T22:27:09.123+00:00,8092,5,4,0,3349,4.573717663792337,125
