date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-10-09,0.6.19,2025-10-08T23:50:11.237+00:00,2,5,2,0,9,4.543797112907403,3
2025-10-10,0.7.1,2025-10-10T07:08:59.313+00:00,2,5,2,0,9,4.543512665413295,15
2025-10-11,0.7.1,2025-10-10T07:08:59.313+00:00,2,5,2,0,1,4.543411950541969,20
2025-10-12,0.7.2,2025-10-11T16:58:47.283+00:00,2,5,2,0,1,4.543327094322501,25
2025-10-13,0.7.2,2025-10-11T16:58:47.283+00:00,2,5,2,0,2,4.543354220102551,27
2025-10-14,0.7.4,2025-10-13T22:58:09.87+00:00,3,5,2,0,2,4.543144417084995,33
2025-10-15,0.7.4,2025-10-13T22:58:09.87+00:00,6,5,2,0,3,4.5429714588744,37
2025-10-16,0.7.4,2025-10-13T22:58:09.87+00:00,6,5,2,0,3,4.543278597903017,37
2025-10-17,0.7.4,2025-10-13T22:58:09.87+00:00,7,5,2,0,3,4.543304233613007,40
2025-10-18,0.7.4,2025-10-13T22:58:09.87+00:00,8,5,2,0,3,4.54327820978641,41
2025-10-19,0.7.4,2025-10-13T22:58:09.87+00:00,8,5,2,0,3,4.5432644433581375,41
2025-10-20,0.7.5,2025-10-20T04:27:37.457+00:00,9,5,2,0,4,4.543218214481264,43
