date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,1.0.4,2024-03-18T17:31:09.013+00:00,453,5,1,0,221,4.457458844826611,33
2024-11-26,1.0.4,2024-03-18T17:31:09.013+00:00,453,5,1,0,221,4.457458844826611,33
2024-11-27,1.0.4,2024-03-18T17:31:09.013+00:00,454,5,1,0,221,4.457458844826611,33
2024-11-28,1.0.4,2024-03-18T17:31:09.013+00:00,455,5,1,0,221,4.457458844826611,33
2024-11-29,1.0.4,2024-03-18T17:31:09.013+00:00,455,5,1,0,221,4.457458844826611,33
2024-11-30,1.0.4,2024-03-18T17:31:09.013+00:00,456,5,1,0,221,4.457458844826611,33
2024-12-01,1.0.4,2024-03-18T17:31:09.013+00:00,457,5,1,0,221,4.457458844826611,33
2024-12-02,1.0.4,2024-03-18T17:31:09.013+00:00,458,5,1,0,221,4.457458844826611,33
2024-12-03,1.0.4,2024-03-18T17:31:09.013+00:00,459,5,1,0,221,4.457458844826611,33
2024-12-04,1.0.4,2024-03-18T17:31:09.013+00:00,459,5,1,0,221,4.457458844826611,33
2024-12-05,1.0.4,2024-03-18T17:31:09.013+00:00,460,5,1,0,221,4.457458844826611,33
2024-12-06,1.0.4,2024-03-18T17:31:09.013+00:00,460,5,1,0,221,4.457458844826611,33
2024-12-07,1.0.4,2024-03-18T17:31:09.013+00:00,461,5,1,0,221,4.457458844826611,33
2024-12-08,1.0.4,2024-03-18T17:31:09.013+00:00,461,5,1,0,221,4.457458844826611,33
2024-12-09,1.0.4,2024-03-18T17:31:09.013+00:00,461,5,1,0,221,4.457458844826611,33
2024-12-10,1.0.4,2024-03-18T17:31:09.013+00:00,462,5,1,0.21645021645021645,221,4.457458844826611,33
2024-12-11,1.0.4,2024-03-18T17:31:09.013+00:00,463,5,1,0,221,4.457458844826611,33
2024-12-12,1.0.4,2024-03-18T17:31:09.013+00:00,464,5,1,0,221,4.457458844826611,33
2024-12-13,1.0.4,2024-03-18T17:31:09.013+00:00,465,5,1,0,221,4.457458844826611,33
2024-12-14,1.0.4,2024-03-18T17:31:09.013+00:00,465,5,1,0,221,4.457458844826611,33
2024-12-15,1.0.4,2024-03-18T17:31:09.013+00:00,466,5,1,0,221,4.457458844826611,39
2024-12-16,1.0.4,2024-03-18T17:31:09.013+00:00,467,5,1,0,221,4.457458844826611,39
2024-12-17,1.0.4,2024-03-18T17:31:09.013+00:00,467,5,1,0,221,4.457458844826611,39
2024-12-17,1.0.4,2024-03-18T17:31:09.013+00:00,468,5,1,0,222,4.457458844826611,39
2024-12-18,1.0.4,2024-03-18T17:31:09.013+00:00,470,5,1,0,222,4.457458844826611,39
2024-12-19,1.0.4,2024-03-18T17:31:09.013+00:00,471,5,1,0,222,4.457458844826611,39
2024-12-20,1.0.4,2024-03-18T17:31:09.013+00:00,472,5,1,0,222,4.457458844826611,39
2024-12-21,1.0.4,2024-03-18T17:31:09.013+00:00,472,5,1,0,222,4.457458844826611,40
2024-12-22,1.0.4,2024-03-18T17:31:09.013+00:00,472,5,1,0,222,4.457458844826611,40
2024-12-23,1.0.4,2024-03-18T17:31:09.013+00:00,472,5,1,0,222,4.457458844826611,42
2024-12-24,1.0.4,2024-03-18T17:31:09.013+00:00,473,5,1,0,222,4.457458844826611,42
2024-12-25,1.0.4,2024-03-18T17:31:09.013+00:00,473,5,1,0,222,4.457458844826611,42
2024-12-26,1.0.4,2024-03-18T17:31:09.013+00:00,473,5,1,0,222,4.457458844826611,42
2024-12-27,1.0.4,2024-03-18T17:31:09.013+00:00,473,5,1,0,222,4.457458844826611,42
2024-12-28,1.0.4,2024-03-18T17:31:09.013+00:00,473,5,1,0,222,4.457458844826611,42
2024-12-29,1.0.4,2024-03-18T17:31:09.013+00:00,473,5,1,0,222,4.457458844826611,42
2024-12-30,1.0.4,2024-03-18T17:31:09.013+00:00,473,5,1,0,222,4.457458844826611,42
2024-12-31,1.0.4,2024-03-18T17:31:09.013+00:00,473,5,1,0,222,4.457458844826611,42
2025-01-01,1.0.4,2024-03-18T17:31:09.013+00:00,474,5,1,0,222,4.457458844826611,42
2025-01-02,1.0.4,2024-03-18T17:31:09.013+00:00,474,5,1,0,222,4.457458844826611,42
2025-01-03,1.0.4,2024-03-18T17:31:09.013+00:00,474,5,1,0,222,4.457458844826611,42
2025-01-04,1.0.4,2024-03-18T17:31:09.013+00:00,474,5,1,0,222,4.457458844826611,43
2025-01-05,1.0.4,2024-03-18T17:31:09.013+00:00,474,5,1,0,222,4.457458844826611,43
2025-01-06,1.0.4,2024-03-18T17:31:09.013+00:00,474,5,1,0,222,4.457458844826611,43
2025-01-07,1.0.4,2024-03-18T17:31:09.013+00:00,475,5,1,0,222,4.457458844826611,43
2025-01-08,1.0.4,2024-03-18T17:31:09.013+00:00,475,5,1,0,222,4.457458844826611,43
2025-01-09,1.0.4,2024-03-18T17:31:09.013+00:00,476,5,1,0,222,4.457458844826611,43
2025-01-10,1.0.4,2024-03-18T17:31:09.013+00:00,479,5,1,0,222,4.457458844826611,43
2025-01-11,1.0.4,2024-03-18T17:31:09.013+00:00,479,5,1,0,222,4.457458844826611,43
2025-01-12,1.0.4,2024-03-18T17:31:09.013+00:00,479,5,1,0,222,4.457458844826611,43
2025-01-13,1.0.4,2024-03-18T17:31:09.013+00:00,479,5,1,0,222,4.457458844826611,43
2025-01-14,1.0.4,2024-03-18T17:31:09.013+00:00,480,5,1,0,222,4.457458844826611,43
2025-01-15,1.0.4,2024-03-18T17:31:09.013+00:00,480,5,1,0,222,4.457458844826611,43
2025-01-16,1.0.4,2024-03-18T17:31:09.013+00:00,480,5,1,0,222,4.457458844826611,43
2025-01-17,1.0.4,2024-03-18T17:31:09.013+00:00,481,5,1,0,222,4.457458844826611,43
2025-01-18,1.0.4,2024-03-18T17:31:09.013+00:00,482,5,1,0,222,4.457458844826611,43
2025-01-19,1.0.4,2024-03-18T17:31:09.013+00:00,484,5,1,0,222,4.457458844826611,43
2025-01-20,1.0.4,2024-03-18T17:31:09.013+00:00,484,5,1,0,222,4.457458844826611,43
2025-01-21,1.0.4,2024-03-18T17:31:09.013+00:00,484,5,1,0,222,4.457458844826611,43
2025-01-22,1.0.4,2024-03-18T17:31:09.013+00:00,484,5,1,0,222,4.457458844826611,43
2025-01-23,1.0.4,2024-03-18T17:31:09.013+00:00,485,5,1,0,222,4.457458844826611,43
2025-01-24,1.0.4,2024-03-18T17:31:09.013+00:00,485,5,1,0,222,4.457458844826611,43
2025-01-25,1.0.4,2024-03-18T17:31:09.013+00:00,486,5,1,0,222,4.457458844826611,43
2025-01-26,1.0.4,2024-03-18T17:31:09.013+00:00,486,5,1,0,222,4.457458844826611,43
2025-01-27,1.0.4,2024-03-18T17:31:09.013+00:00,488,5,1,0,222,4.457458844826611,43
2025-01-28,1.0.4,2024-03-18T17:31:09.013+00:00,489,5,1,0,222,4.457458844826611,43
2025-01-29,1.0.4,2024-03-18T17:31:09.013+00:00,491,5,1,0,222,4.457458844826611,43
2025-01-30,1.0.4,2024-03-18T17:31:09.013+00:00,492,5,1,0,222,4.457458844826611,43
2025-01-31,1.0.4,2024-03-18T17:31:09.013+00:00,492,5,1,0,222,4.457458844826611,43
2025-02-01,1.0.4,2024-03-18T17:31:09.013+00:00,492,5,1,0,222,4.457458844826611,43
2025-02-02,1.0.4,2024-03-18T17:31:09.013+00:00,492,5,1,0,223,4.457458844826611,43
2025-02-03,1.0.4,2024-03-18T17:31:09.013+00:00,494,5,1,0,223,4.457458844826611,45
2025-02-04,1.0.4,2024-03-18T17:31:09.013+00:00,494,5,1,0,223,4.457458844826611,45
2025-02-05,1.0.4,2024-03-18T17:31:09.013+00:00,494,5,1,0,224,4.457458844826611,45
2025-02-06,1.0.4,2024-03-18T17:31:09.013+00:00,497,5,1,0,224,4.457458844826611,45
2025-02-07,1.0.4,2024-03-18T17:31:09.013+00:00,499,5,1,0,224,4.457458844826611,45
2025-02-08,1.0.4,2024-03-18T17:31:09.013+00:00,500,5,1,0,224,4.457458844826611,45
2025-02-09,1.0.4,2024-03-18T17:31:09.013+00:00,500,5,1,0,224,4.457458844826611,45
2025-02-10,1.0.4,2024-03-18T17:31:09.013+00:00,500,5,1,0,224,4.457458844826611,45
2025-02-11,1.0.4,2024-03-18T17:31:09.013+00:00,502,5,1,0,224,4.457458844826611,45
2025-02-12,1.0.4,2024-03-18T17:31:09.013+00:00,502,5,1,0,224,4.457458844826611,45
2025-02-13,1.0.4,2024-03-18T17:31:09.013+00:00,502,5,1,0,224,4.457458844826611,53
2025-02-14,1.0.4,2024-03-18T17:31:09.013+00:00,504,5,1,0,224,4.457458844826611,62
2025-02-15,1.0.4,2024-03-18T17:31:09.013+00:00,506,5,1,0,224,4.457458844826611,72
2025-02-16,1.0.4,2024-03-18T17:31:09.013+00:00,507,5,1,0,224,4.457458844826611,72
2025-02-17,1.0.4,2024-03-18T17:31:09.013+00:00,507,5,1,0,224,4.457458844826611,72
2025-02-18,1.0.4,2024-03-18T17:31:09.013+00:00,507,5,1,0,224,4.457458844826611,72
2025-02-19,1.0.4,2024-03-18T17:31:09.013+00:00,509,5,1,0,224,4.457458844826611,72
2025-02-20,1.0.4,2024-03-18T17:31:09.013+00:00,510,5,1,0,224,4.457458844826611,72
2025-02-21,1.0.4,2024-03-18T17:31:09.013+00:00,510,5,1,0,224,4.457458844826611,72
2025-02-22,1.0.4,2024-03-18T17:31:09.013+00:00,511,5,1,0,224,4.457458844826611,72
2025-02-23,1.0.4,2024-03-18T17:31:09.013+00:00,511,5,1,0,224,4.457458844826611,72
2025-02-24,1.0.4,2024-03-18T17:31:09.013+00:00,511,5,1,0,224,4.457458844826611,72
2025-02-25,1.0.4,2024-03-18T17:31:09.013+00:00,512,5,1,0,224,4.457458844826611,72
2025-02-26,1.0.4,2024-03-18T17:31:09.013+00:00,513,5,1,0,224,4.457458844826611,72
2025-02-27,1.0.4,2024-03-18T17:31:09.013+00:00,513,5,1,0,224,4.457458844826611,72
2025-02-28,1.0.4,2024-03-18T17:31:09.013+00:00,514,5,1,0,224,4.457458844826611,80
2025-03-01,1.0.4,2024-03-18T17:31:09.013+00:00,515,5,1,0,224,4.457458844826611,80
