date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-05-15,0.0.2,2026-05-15T00:06:44.053+00:00,4,5,1,0,1,4.454406049393446,19
2026-05-16,0.0.4,2026-05-16T06:24:41.37+00:00,5,5,1,0,1,4.454322627084988,33
2026-05-17,0.0.5,2026-05-16T18:37:06.233+00:00,6,5,1,0,3,4.454176618381464,50
2026-05-18,0.0.6,2026-05-17T23:14:07.25+00:00,7,5,1,0,7,4.454142351270395,63
2026-05-19,0.0.6,2026-05-17T23:14:07.25+00:00,7,5,1,0,7,4.454006707290614,69
2026-05-20,0.0.7,2026-05-20T04:14:12.38+00:00,11,5,1,0,9,4.5036046416628395,81
2026-05-21,0.0.7,2026-05-20T04:14:12.38+00:00,14,5,1,0,13,4.503653120242159,90
2026-05-22,0.0.7,2026-05-20T04:14:12.38+00:00,14,5,1,0,13,4.503706038281658,95
2026-05-23,0.0.7,2026-05-20T04:14:12.38+00:00,14,5,1,0,13,4.503717060232235,104
2026-05-24,0.0.7,2026-05-20T04:14:12.38+00:00,14,5,1,0,13,4.5037974370392355,108
2026-05-25,0.0.7,2026-05-20T04:14:12.38+00:00,15,5,1,0,13,4.503837389563335,112
2026-05-26,0.0.7,2026-05-20T04:14:12.38+00:00,16,5,1,0,13,4.503854365659063,115
2026-05-27,0.0.7,2026-05-20T04:14:12.38+00:00,18,5,1,0,13,4.503873400590205,118
2026-05-28,0.0.7,2026-05-20T04:14:12.38+00:00,19,5,1,0,13,4.503863306586284,120
2026-05-29,0.0.7,2026-05-20T04:14:12.38+00:00,19,5,1,0,13,4.50382977099922,124
2026-05-30,0.0.7,2026-05-20T04:14:12.38+00:00,19,5,1,0,13,4.503845711673971,125
2026-05-31,0.0.7,2026-05-20T04:14:12.38+00:00,19,5,1,0,13,4.503839176191725,127
2026-06-01,0.0.7,2026-05-20T04:14:12.38+00:00,20,5,1,0,14,4.503862242482144,129
2026-06-02,0.0.7,2026-05-20T04:14:12.38+00:00,20,5,1,0,14,4.503781509546583,129
2026-06-03,0.0.7,2026-05-20T04:14:12.38+00:00,20,5,1,0,14,4.503716655709269,129
2026-06-04,0.0.7,2026-05-20T04:14:12.38+00:00,20,5,1,0,14,4.5037132858958895,129
2026-06-05,0.0.7,2026-05-20T04:14:12.38+00:00,21,5,1,0,14,4.503605249874365,130
2026-06-06,0.1.0,2026-06-06T05:24:41.527+00:00,22,5,1,0,15,4.503430320908198,142
2026-06-07,0.1.1,2026-06-07T02:09:46.873+00:00,30,5,1,0,21,4.5034299942693785,158
2026-06-08,0.1.1,2026-06-07T02:09:46.873+00:00,33,5,1,0,25,4.5034053148262,165
2026-06-09,0.1.1,2026-06-07T02:09:46.873+00:00,33,5,1,0,26,4.503262384108327,167
2026-06-10,0.1.1,2026-06-07T02:09:46.873+00:00,35,5,1,0,26,4.503080150882752,169
2026-06-11,0.1.1,2026-06-07T02:09:46.873+00:00,37,5,1,0,26,4.502745726328849,172
2026-06-12,0.1.1,2026-06-07T02:09:46.873+00:00,37,5,1,0,27,4.502834026157238,179
2026-06-13,0.1.1,2026-06-07T02:09:46.873+00:00,37,5,1,0,27,4.502656389238906,186
2026-06-14,0.1.1,2026-06-07T02:09:46.873+00:00,39,5,1,0,27,4.502586880288117,187
2026-06-15,0.1.1,2026-06-07T02:09:46.873+00:00,40,5,1,0,27,4.502623544965589,189
2026-06-16,0.1.1,2026-06-07T02:09:46.873+00:00,42,5,1,0,28,4.502508086560997,191
2026-06-17,0.1.1,2026-06-07T02:09:46.873+00:00,43,5,1,0,28,4.502569957797357,192
2026-06-18,0.1.1,2026-06-07T02:09:46.873+00:00,43,5,1,0,28,4.502570903681409,193
2026-06-19,0.1.1,2026-06-07T02:09:46.873+00:00,47,5,1,0,28,4.502414483227145,195
2026-06-20,0.1.1,2026-06-07T02:09:46.873+00:00,48,5,1,0,28,4.502222375491629,196
2026-06-21,0.1.1,2026-06-07T02:09:46.873+00:00,48,5,1,0,28,4.502203292288616,197
2026-06-22,0.1.1,2026-06-07T02:09:46.873+00:00,50,5,1,0,28,4.50205740953764,198
2026-06-23,0.1.1,2026-06-07T02:09:46.873+00:00,51,5,1,0,28,4.501935152519366,200
2026-06-24,0.1.1,2026-06-07T02:09:46.873+00:00,52,5,1,0,28,4.5019545412870805,202
2026-06-25,0.1.1,2026-06-07T02:09:46.873+00:00,53,5,1,0,28,4.501939672410881,203
2026-06-26,0.1.1,2026-06-07T02:09:46.873+00:00,53,5,1,0,28,4.501979953938031,204
2026-06-27,0.1.1,2026-06-07T02:09:46.873+00:00,54,5,1,0,28,4.501913773339291,205
2026-06-28,0.1.1,2026-06-07T02:09:46.873+00:00,55,5,1,0,28,4.501775784952443,205
2026-06-29,0.1.1,2026-06-07T02:09:46.873+00:00,58,5,1,0,28,4.501820112618947,207
2026-06-30,0.1.1,2026-06-07T02:09:46.873+00:00,60,5,1,0,28,4.501665054488658,208
2026-07-01,0.1.1,2026-06-07T02:09:46.873+00:00,60,5,1,0,28,4.5017097054826465,209
