date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,1.2.6,2022-01-26T06:20:59.58+00:00,72627,5,3,0.004134167516467767,4965,4.540926714853287,982
2024-11-26,1.2.6,2022-01-26T06:20:59.58+00:00,72680,5,3,0.004134167516467767,4965,4.540926714853287,982
2024-11-27,1.2.6,2022-01-26T06:20:59.58+00:00,72816,5,3,0,4966,4.540926714853287,984
2024-11-28,1.2.6,2022-01-26T06:20:59.58+00:00,72974,5,3,0.001371478728364923,4968,4.540926714853287,986
2024-11-29,1.2.6,2022-01-26T06:20:59.58+00:00,73143,5,3,0.00410475330432641,4968,4.540926714853287,989
2024-11-30,1.2.6,2022-01-26T06:20:59.58+00:00,73254,5,3,0.005463286713286713,4968,4.540926714853287,991
2024-12-01,1.2.6,2022-01-26T06:20:59.58+00:00,73350,5,3,0.0027279919251439015,4970,4.540926714853287,992
2024-12-02,1.2.6,2022-01-26T06:20:59.58+00:00,73471,5,3,0.009536135140657993,4972,4.540926714853287,993
2024-12-03,1.2.6,2022-01-26T06:20:59.58+00:00,73609,5,3,0.0013596747657960216,4973,4.540926714853287,994
2024-12-04,1.2.6,2022-01-26T06:20:59.58+00:00,73758,5,3,0.002713741027693727,4976,4.540926714853287,997
2024-12-05,1.2.6,2022-01-26T06:20:59.58+00:00,73908,5,3,0.004062343430513616,4976,4.540926714853287,998
2024-12-06,1.2.6,2022-01-26T06:20:59.58+00:00,74027,5,3,0.004055095227152918,4977,4.540926714853287,999
2024-12-07,1.2.6,2022-01-26T06:20:59.58+00:00,74126,5,3,0.0040490201371268155,4977,4.540926714853287,1004
2024-12-08,1.2.6,2022-01-26T06:20:59.58+00:00,74196,5,3,0,4977,4.540926714853287,1005
2024-12-09,1.2.6,2022-01-26T06:20:59.58+00:00,74300,5,3,0.0013468194857843203,4977,4.540926714853287,1006
2024-12-10,1.2.6,2022-01-26T06:20:59.58+00:00,74441,5,3,0.002688822564598962,4977,4.540926714853287,1008
2024-12-11,1.2.6,2022-01-26T06:20:59.58+00:00,74622,5,3,0.006706458319361545,4978,4.540926714853287,1008
2024-12-12,1.2.6,2022-01-26T06:20:59.58+00:00,74736,5,3,0.002677770488291449,4978,4.540926714853287,1009
2024-12-13,1.2.6,2022-01-26T06:20:59.58+00:00,74873,5,3,0.0026728677197765485,4979,4.540926714853287,1010
2024-12-14,1.2.6,2022-01-26T06:20:59.58+00:00,74978,5,3,0.0013342050139424425,4979,4.540926714853287,1011
2024-12-15,1.2.6,2022-01-26T06:20:59.58+00:00,75056,5,3,0.0013328535060711476,4979,4.540926714853287,1012
2024-12-16,1.2.6,2022-01-26T06:20:59.58+00:00,75156,5,3,0.0013313274666169638,4979,4.540926714853287,1012
2024-12-17,1.2.6,2022-01-26T06:20:59.58+00:00,75221,5,3,0.0013313274666169638,4979,4.540926714853287,1013
2024-12-17,1.2.6,2022-01-26T06:20:59.58+00:00,75274,5,3,0.0013292746148426803,4979,4.540926714853287,1013
2024-12-18,1.2.6,2022-01-26T06:20:59.58+00:00,75403,5,3,0.002654632333421821,4980,4.540926714853287,1017
2024-12-19,1.2.6,2022-01-26T06:20:59.58+00:00,75519,5,3,0.003975247459154333,4980,4.540926714853287,1018
2024-12-20,1.2.6,2022-01-26T06:20:59.58+00:00,75618,5,3,0.002646167687646366,4980,4.540926714853287,1019
2024-12-21,1.2.6,2022-01-26T06:20:59.58+00:00,75693,5,3,0.0013215626156367287,4983,4.540926714853287,1021
2024-12-22,1.2.6,2022-01-26T06:20:59.58+00:00,75759,5,3,0,4983,4.540926714853287,1021
2024-12-23,1.2.6,2022-01-26T06:20:59.58+00:00,75839,5,3,0.005276348766653476,4984,4.540926714853287,1022
2024-12-24,1.2.6,2022-01-26T06:20:59.58+00:00,75934,5,3,0,4984,4.540926714853287,1024
2024-12-25,1.2.6,2022-01-26T06:20:59.58+00:00,75987,5,3,0.003948979188879674,4984,4.540926714853287,1026
2024-12-26,1.2.6,2022-01-26T06:20:59.58+00:00,76056,5,3,0.006576351440220966,4984,4.540926714853287,1026
2024-12-27,1.2.6,2022-01-26T06:20:59.58+00:00,76131,5,3,0.002628051825181993,4984,4.540926714853287,1026
2024-12-28,1.2.6,2022-01-26T06:20:59.58+00:00,76188,5,3,0.0013128873017540174,4984,4.540926714853287,1026
